 	les	cabris	fuient	la	pluie	</S>
a57	0.222172	0.132978	0.124949	0.181605	0.17561	0.162686
a30	0.155554	0.0954873	0.0655911	0.119239	0.211849	0.35228
a57	0.259411	0.14071	0.0690207	0.091417	0.169846	0.269595
a10	0.344713	0.177642	0.080085	0.099597	0.135836	0.162127
a40	0.311236	0.155351	0.0819689	0.117882	0.157479	0.176084
a47	0.414026	0.19786	0.133607	0.0974381	0.07453	0.0825389
a79	0.527829	0.214491	0.0900261	0.0589744	0.048209	0.0604712
a44	0.515669	0.228966	0.103837	0.0654797	0.0438667	0.0421822
a75	0.465416	0.273128	0.120275	0.0626139	0.0411674	0.0373998
a0	0.338182	0.236224	0.144596	0.115143	0.0903341	0.0755211
a13	0.362413	0.310691	0.151134	0.077962	0.0519952	0.0458051
a98	0.283865	0.330623	0.192394	0.0870123	0.0563962	0.0497094
a85	0.198055	0.236014	0.175864	0.155599	0.1298	0.104668
a37	0.13184	0.160035	0.162294	0.186698	0.188668	0.170465
a70	0.171254	0.199107	0.196801	0.181683	0.142615	0.10854
a96	0.0849654	0.14438	0.213871	0.242522	0.186847	0.127415
a25	0.0641771	0.11103	0.180535	0.249369	0.232099	0.162789
a94	0.0308797	0.0617611	0.113468	0.215745	0.321111	0.257036
a90	0.0175206	0.0340038	0.0739607	0.169941	0.348986	0.355588
a98	0.0208119	0.0387994	0.0756273	0.161196	0.340615	0.362951
a47	0.0195468	0.0287909	0.0477207	0.119459	0.316184	0.468298
a36	0.0117442	0.0154548	0.0313646	0.112336	0.317824	0.511276
a57	0.00648413	0.00832053	0.0186785	0.0741132	0.291216	0.601187
a87	0.00233897	0.00216468	0.00692653	0.0659638	0.277578	0.645028
a23	0.0260158	0.0226148	0.0447821	0.161303	0.3245	0.420784
a87	0.0229269	0.0155959	0.0257235	0.13175	0.3564	0.447603
</S>	0.0187876	0.019001	0.0348764	0.135171	0.333359	0.458805
