 	un	animal	pa	tauge	dans	la	boue	</S>
a50	0.0832217	0.0840251	0.197982	0.212841	0.198087	0.122041	0.0630996	0.0387023
a34	0.0351684	0.0455785	0.201334	0.238456	0.154897	0.132693	0.0990223	0.0928506
a21	0.128352	0.124931	0.360903	0.28959	0.0584138	0.0217516	0.00986906	0.00618958
a85	0.221945	0.215759	0.263757	0.17593	0.0532802	0.031312	0.0215057	0.0165118
a56	0.188861	0.199372	0.24135	0.1853	0.0831379	0.0455771	0.0318125	0.024589
a98	0.111635	0.164732	0.178195	0.176781	0.151006	0.0991665	0.0638143	0.0546709
a85	0.0754289	0.132404	0.158286	0.182845	0.161429	0.107372	0.0898142	0.0924208
a66	0.0481318	0.0965961	0.157464	0.198757	0.184237	0.117296	0.100327	0.0971919
a75	0.0181218	0.0346416	0.0551935	0.116543	0.169506	0.169487	0.214056	0.22245
a85	0.0259392	0.0432743	0.0624112	0.126513	0.187926	0.170953	0.172284	0.210699
a98	0.0196241	0.0337541	0.0481779	0.111572	0.184391	0.170121	0.210564	0.221796
a41	0.0146458	0.0309868	0.0371646	0.0863787	0.175607	0.185159	0.226686	0.243373
a11	0.0137667	0.0278013	0.0265681	0.0595853	0.152927	0.195042	0.253878	0.270432
a75	0.0122959	0.0185634	0.014127	0.0259338	0.0744942	0.14808	0.269108	0.437398
a56	0.0130834	0.0256011	0.0191403	0.0349459	0.0858662	0.159995	0.26489	0.396479
a96	0.0102569	0.0173044	0.0125928	0.0214071	0.0489947	0.110324	0.236243	0.542877
a62	0.00636681	0.0106286	0.00806934	0.0152505	0.0369772	0.089405	0.231097	0.602206
a83	0.00418142	0.00653275	0.00652468	0.0128299	0.0311026	0.0763315	0.232497	0.63
a54	0.0022369	0.00365268	0.00350217	0.00777168	0.0207	0.0651673	0.227195	0.669775
a2	0.00598936	0.0105227	0.0108647	0.0232797	0.0518696	0.125494	0.252618	0.519361
a57	0.0151445	0.0243336	0.0348661	0.0493477	0.0599003	0.0981063	0.192179	0.526122
a87	0.0704461	0.0898137	0.129218	0.133635	0.142035	0.157721	0.126237	0.150893
a10	0.0341471	0.0407449	0.107637	0.143309	0.17504	0.200163	0.161984	0.136976
a97	0.05345	0.0666158	0.0904453	0.104162	0.141948	0.173433	0.191748	0.178198
a10	0.0242659	0.045577	0.137742	0.20384	0.176457	0.153529	0.13409	0.124498
a82	0.0304781	0.0603749	0.147483	0.20895	0.159507	0.137049	0.138399	0.117759
</S>	0.0364657	0.0755592	0.167415	0.206017	0.145651	0.125634	0.129046	0.114211
