 	cette	rue	est	animée	de	ce	côté	à	cause	de	la	musique	</S>
a15	0.13658	0.185163	0.159723	0.175311	0.104539	0.100497	0.0767146	0.0278228	0.0112426	0.0063392	0.00505436	0.00517802	0.00583682
a66	0.460256	0.286148	0.0743402	0.0271634	0.0159565	0.0160735	0.0174971	0.0123223	0.0152538	0.015982	0.0178167	0.0226398	0.0185511
a87	0.442475	0.182428	0.0939035	0.0564858	0.0377976	0.030295	0.0154193	0.0097496	0.0113099	0.0159545	0.0251673	0.0414479	0.0375664
a23	0.335002	0.227096	0.111636	0.0676435	0.0458401	0.0396148	0.0293188	0.023393	0.0200613	0.0197288	0.0224137	0.0296306	0.0286226
a79	0.27483	0.164246	0.0642794	0.0313876	0.0220456	0.019442	0.019472	0.0324518	0.0449198	0.0496518	0.0670237	0.108832	0.101418
a7	0.197516	0.108573	0.0814363	0.102348	0.0562583	0.0402081	0.0269497	0.032152	0.0429752	0.0565056	0.0720496	0.0992308	0.0837971
a54	0.19493	0.212971	0.152385	0.156511	0.0636852	0.0452304	0.0295776	0.0240086	0.0254825	0.0226775	0.0249397	0.0275168	0.0200841
a6	0.12346	0.157882	0.168828	0.208753	0.0745401	0.0530783	0.0378031	0.0239772	0.0328886	0.0327282	0.0359486	0.031522	0.0185908
a98	0.0958993	0.109428	0.157188	0.214623	0.109141	0.0750505	0.0584158	0.0317833	0.0353786	0.0297294	0.0364019	0.0288524	0.0181091
a15	0.0687302	0.0832496	0.137258	0.21759	0.130372	0.0895315	0.0643827	0.0317688	0.0329458	0.0322825	0.045116	0.0372685	0.0295039
a98	0.0850087	0.0822444	0.124112	0.196247	0.145786	0.105219	0.0818525	0.0371076	0.028461	0.0226535	0.0343648	0.0322123	0.0247311
a79	0.0704401	0.0737417	0.106728	0.185299	0.148602	0.118071	0.105817	0.0453522	0.0308201	0.0233113	0.0342387	0.0325704	0.0250081
a90	0.063411	0.0655282	0.104186	0.196716	0.190775	0.150457	0.110659	0.0363462	0.0195293	0.0134129	0.0185439	0.0179665	0.0124705
a44	0.0697018	0.0690454	0.102146	0.155843	0.176984	0.154832	0.119402	0.0481583	0.025652	0.0191598	0.022802	0.0214999	0.0147736
a12	0.0270345	0.0280671	0.0537325	0.106618	0.172793	0.167919	0.137489	0.073498	0.0489837	0.0433204	0.0499058	0.048292	0.0423465
a62	0.0117613	0.0132428	0.0283732	0.0730252	0.152067	0.172307	0.162159	0.0859235	0.0586295	0.0549554	0.0642292	0.0653702	0.0579566
a93	0.0087554	0.00845472	0.0158832	0.0458112	0.102868	0.157743	0.196642	0.127411	0.0801167	0.0642412	0.0657997	0.0677433	0.0585309
a34	0.0109372	0.0122083	0.023433	0.054053	0.0794027	0.102839	0.12677	0.108744	0.0899483	0.0897987	0.0987172	0.119875	0.0832726
a93	0.00994898	0.00957272	0.0154446	0.0344901	0.0616552	0.0962013	0.140375	0.129917	0.112122	0.102985	0.0966275	0.109821	0.0808396
a70	0.00916676	0.00840659	0.0126096	0.0256862	0.0450805	0.0692191	0.102987	0.121998	0.115698	0.125632	0.11841	0.138371	0.106736
a62	0.00815211	0.00754465	0.0114258	0.0207829	0.0328118	0.0466888	0.0629646	0.0892319	0.0939801	0.134205	0.141501	0.188893	0.161817
