 	les	plaisirs	du	monde	ont	détourné	ce	garçon	du	droit	chemin	</S>
a23	0.0945893	0.0963869	0.119467	0.129548	0.179554	0.163756	0.0641502	0.0716185	0.0451531	0.0174336	0.0091523	0.00919215
a10	0.164907	0.174667	0.111058	0.100396	0.139623	0.171095	0.0565887	0.026712	0.0192015	0.0134507	0.0076742	0.0146287
a87	0.134068	0.163678	0.119089	0.0977304	0.088981	0.120834	0.0628091	0.0456006	0.0367722	0.023114	0.0314747	0.0758488
a10	0.191211	0.219876	0.132119	0.109415	0.0818958	0.0699148	0.0406902	0.0355431	0.0359199	0.0244664	0.0231021	0.035847
a83	0.330592	0.190098	0.109042	0.0886236	0.0756196	0.0517542	0.02859	0.0277063	0.031412	0.0213348	0.0201046	0.025123
a50	0.218579	0.136044	0.11078	0.0947605	0.106502	0.0648109	0.0339864	0.0400226	0.0455487	0.0341515	0.043386	0.0714279
a0	0.416126	0.15772	0.0846179	0.0717408	0.0704973	0.0540779	0.0224652	0.025236	0.0290316	0.017398	0.0205169	0.0305723
a24	0.245375	0.173554	0.0899386	0.0841428	0.0901873	0.0944653	0.0434808	0.0431578	0.0426179	0.0322488	0.0266797	0.0341521
a62	0.244548	0.175533	0.0909732	0.0836537	0.0861634	0.092106	0.0430432	0.0426546	0.0410579	0.0341354	0.0294282	0.0367033
a75	0.238789	0.204532	0.10091	0.0925044	0.0834852	0.0769291	0.0369302	0.0400713	0.0377221	0.029727	0.0252566	0.0331431
a98	0.218529	0.162894	0.114503	0.102636	0.101753	0.0839764	0.0350558	0.0367033	0.0329729	0.030531	0.0314569	0.0489891
a92	0.157003	0.149672	0.109777	0.0918766	0.0879905	0.0765683	0.0466756	0.0529907	0.0499267	0.0450113	0.0545615	0.0779468
a98	0.142601	0.164995	0.127156	0.116692	0.118209	0.10143	0.0451984	0.0462321	0.038587	0.0268831	0.0272161	0.0448007
a92	0.0780015	0.141604	0.114484	0.0941792	0.0938433	0.0882848	0.0709258	0.0768129	0.0706665	0.0532133	0.0496892	0.068296
a43	0.0776992	0.146851	0.124796	0.113466	0.112751	0.0925333	0.0606632	0.0660284	0.0548747	0.0366439	0.0403318	0.073361
a11	0.0392336	0.127464	0.116514	0.122747	0.122565	0.115296	0.0720182	0.0783849	0.059846	0.0346768	0.039575	0.071679
a21	0.0175408	0.091776	0.109639	0.125207	0.128021	0.143172	0.0855886	0.0879846	0.0655995	0.0424931	0.0387163	0.0642626
