 	il	est	à	bout	de	forces	</S>
a23	0.312258	0.20973	0.132946	0.112317	0.0751707	0.0816904	0.0758879
a87	0.339348	0.261172	0.181994	0.108215	0.0455068	0.0283369	0.0354275
a23	0.279122	0.24243	0.199799	0.133334	0.0687549	0.0353046	0.0412551
a20	0.316196	0.232426	0.159716	0.0999157	0.0544128	0.0570648	0.0802683
a94	0.411635	0.285811	0.171289	0.0741456	0.0269775	0.0180574	0.0120845
a24	0.345653	0.296788	0.231867	0.0915832	0.0208704	0.00804222	0.00519652
a32	0.299635	0.271312	0.225469	0.128308	0.04256	0.0192085	0.0135082
a38	0.248151	0.233434	0.217849	0.165831	0.0651333	0.0366796	0.0329234
a35	0.226475	0.220947	0.217561	0.180195	0.0776639	0.042213	0.0349442
a24	0.186311	0.201249	0.2114	0.193878	0.0991	0.0594926	0.0485692
a32	0.162571	0.175915	0.178185	0.155232	0.12401	0.117334	0.0867531
a25	0.103573	0.139887	0.176893	0.184981	0.137319	0.141607	0.11574
a38	0.0598631	0.087591	0.134414	0.189095	0.188059	0.185821	0.155157
a75	0.0600266	0.0839049	0.124259	0.158826	0.173616	0.204418	0.194949
a14	0.0392993	0.0467504	0.0614036	0.0964398	0.163462	0.281357	0.311288
a30	0.0360505	0.0420766	0.0595988	0.100914	0.173341	0.273998	0.314021
a2	0.0273408	0.0264619	0.0331494	0.0602402	0.12946	0.263582	0.459766
a57	0.00499336	0.00522911	0.00729591	0.0198419	0.075709	0.283001	0.60393
a87	0.00886277	0.00858944	0.0115438	0.0260453	0.0819584	0.254117	0.608883
</S>	0.00823848	0.00910113	0.0153078	0.0419207	0.11636	0.253632	0.55544
