 	le	py	thon	s'	est	enroulé	autour	de	l'	arbre	sur	lequel	mon	mari	a	grimpé	</S>
a15	0.278041	0.201574	0.087053	0.0578256	0.037569	0.0231789	0.0233156	0.0276855	0.0343473	0.0393032	0.0506276	0.0448366	0.0345342	0.0251921	0.0157022	0.0105186	0.00869559
a66	0.455946	0.18012	0.0986062	0.0625513	0.0486859	0.0194999	0.0172694	0.0139083	0.0146187	0.0136686	0.0131004	0.00877778	0.00700595	0.00646685	0.0086267	0.0148378	0.0163105
a87	0.563347	0.216321	0.0681085	0.0313577	0.0197885	0.0169329	0.0109382	0.0125182	0.0125288	0.0108716	0.00733706	0.00369247	0.00299341	0.00279821	0.00342998	0.00627504	0.0107615
a23	0.355312	0.256203	0.129544	0.0621605	0.0412278	0.0275794	0.0159879	0.0147446	0.0160937	0.015366	0.0142528	0.00974094	0.00835225	0.00690127	0.00645972	0.00832307	0.0117506
a18	0.237144	0.160166	0.110502	0.0653328	0.106036	0.0612748	0.0476737	0.0323772	0.0303487	0.0221891	0.018843	0.0143448	0.0153536	0.0136791	0.0146465	0.0211944	0.0288945
a53	0.172787	0.153506	0.176643	0.11772	0.0911613	0.0572023	0.0398729	0.0230563	0.0207433	0.0158522	0.013281	0.0106396	0.0121466	0.0151562	0.0205927	0.0272403	0.0323999
a76	0.37019	0.238226	0.128641	0.0603101	0.0494906	0.0414098	0.0333769	0.0172868	0.0138611	0.00848759	0.00566662	0.00355655	0.00312734	0.0041585	0.00583858	0.0074398	0.00893313
a94	0.299308	0.237574	0.185881	0.0673597	0.054079	0.0439048	0.0359221	0.0162767	0.0119506	0.00714977	0.00513241	0.00281147	0.00249212	0.00339169	0.005405	0.00872932	0.0126321
a98	0.103305	0.176081	0.308903	0.110172	0.0902204	0.071497	0.0514374	0.0161178	0.0110281	0.00522994	0.00389469	0.00243104	0.0029809	0.00456087	0.00786962	0.0132687	0.0210023
a47	0.112783	0.136103	0.166405	0.0809051	0.103307	0.115268	0.104229	0.0356286	0.0262611	0.0156803	0.013102	0.00771628	0.00855487	0.0107433	0.0155144	0.018146	0.0296523
a37	0.0676868	0.0847489	0.104243	0.0648198	0.103103	0.146018	0.150879	0.0556651	0.0437008	0.0277258	0.0235888	0.0137331	0.01521	0.0172734	0.022018	0.0230063	0.0365795
a43	0.032424	0.0507793	0.0807164	0.104493	0.142979	0.192698	0.135708	0.0640277	0.0513949	0.0304763	0.0238725	0.0136165	0.0144083	0.0123702	0.0120504	0.0143641	0.0236204
a24	0.0105981	0.016788	0.0322648	0.0762851	0.124425	0.160124	0.148984	0.114046	0.0981464	0.0635431	0.0467399	0.0268565	0.0232688	0.0155434	0.0120973	0.0116784	0.0186116
a21	0.00619246	0.00894859	0.0181624	0.0576332	0.0727964	0.0851515	0.100835	0.131437	0.143821	0.131457	0.101066	0.04803	0.0320009	0.0159243	0.0109146	0.0127804	0.0228485
a85	0.010583	0.0174069	0.038422	0.0640803	0.0497675	0.0585019	0.0522325	0.0744179	0.0983444	0.119684	0.119697	0.0921184	0.0700321	0.0380861	0.0247222	0.0258877	0.0460164
a5	0.00283112	0.00510588	0.0112119	0.0183771	0.0259539	0.0280622	0.043838	0.059509	0.0824564	0.118351	0.107147	0.119314	0.109544	0.0698505	0.0565273	0.0636574	0.0782631
a12	0.00142242	0.00164162	0.00407581	0.0121638	0.0232936	0.0308571	0.0437732	0.0796076	0.108094	0.145579	0.15606	0.123508	0.0881355	0.0480656	0.031391	0.0364447	0.0658867
a18	0.00129308	0.00126677	0.00248072	0.00792692	0.0169207	0.0266693	0.0444751	0.0833435	0.106192	0.138232	0.161152	0.137496	0.102796	0.0517183	0.0295406	0.0304192	0.0580784
a43	0.00529515	0.00648906	0.00975591	0.0205352	0.0284105	0.0249527	0.0450179	0.0787954	0.0976209	0.106962	0.107497	0.105593	0.097858	0.0558691	0.0393919	0.0563096	0.113647
a90	0.00800103	0.00997243	0.0133082	0.0282411	0.0329075	0.0235406	0.0368434	0.0690819	0.0842886	0.093549	0.0956427	0.105297	0.100467	0.0669518	0.0499402	0.0659923	0.115976
a98	0.00143269	0.00149185	0.00237713	0.00492115	0.008888	0.0103728	0.0217137	0.051644	0.0651383	0.0786484	0.0861903	0.113296	0.134488	0.0927545	0.0630647	0.0849207	0.178657
a92	0.00057394	0.000811915	0.00203102	0.00371696	0.00405507	0.00407405	0.0106209	0.0308638	0.0454237	0.0710664	0.0813656	0.119505	0.143678	0.0946769	0.0681859	0.0950462	0.224304
a21	0.000412991	0.000502856	0.000953375	0.00210574	0.00291939	0.00312559	0.00741544	0.0217744	0.0321434	0.0542647	0.0759195	0.136503	0.162902	0.129083	0.098203	0.104048	0.167724
a24	0.000986136	0.000995774	0.00143082	0.00312662	0.00561369	0.00579551	0.0116948	0.0329245	0.0440047	0.0648368	0.0714204	0.11764	0.15112	0.115557	0.088158	0.098361	0.186334
a31	0.00136819	0.00156288	0.00176282	0.00232592	0.0041566	0.00466456	0.010622	0.0276064	0.0382201	0.0606164	0.0593711	0.103578	0.136352	0.101067	0.0916802	0.124435	0.230611
a21	0.00140704	0.00197822	0.00273911	0.00317264	0.00352276	0.00348582	0.0106715	0.0321504	0.0444975	0.0629853	0.0587193	0.0748782	0.0970924	0.0711104	0.0691046	0.13542	0.327065
a41	0.00309412	0.00309766	0.00322602	0.00471647	0.00639085	0.00553041	0.0113432	0.0289443	0.0368094	0.0536801	0.0506675	0.0906654	0.112684	0.0926319	0.0973134	0.141374	0.257831
a12	0.000681145	0.001042	0.00145538	0.00198083	0.0029408	0.00230982	0.00614865	0.018932	0.0276519	0.0472165	0.0469347	0.0769146	0.099096	0.0841419	0.0963969	0.158432	0.327725
a96	0.00154647	0.00183129	0.00223679	0.0028699	0.00338427	0.00294195	0.00651311	0.0185731	0.0268345	0.0435626	0.0398403	0.0656626	0.0854706	0.0704486	0.0836734	0.161488	0.383122
a93	0.000780745	0.000986391	0.00142911	0.00165056	0.0017291	0.00148537	0.00427203	0.0139234	0.0210426	0.0365027	0.0345239	0.0518438	0.0656508	0.0589202	0.0769433	0.181327	0.446989
