 	le	deuil	du	chef	coutumier	a	été	rétiré	aujourd'	hui	</S>
a87	0.108942	0.0814304	0.0563972	0.0825957	0.13515	0.21045	0.211519	0.0882807	0.0125812	0.00708501	0.005569
a23	0.392953	0.0698951	0.018744	0.0244944	0.0292899	0.0674942	0.183265	0.136273	0.0390119	0.0199324	0.0186471
a87	0.140201	0.0780374	0.0728485	0.091725	0.0845597	0.111214	0.103337	0.111154	0.0625296	0.0568222	0.0875716
a23	0.130896	0.0908362	0.089304	0.106488	0.100631	0.123661	0.108804	0.0981733	0.0582836	0.0429658	0.0499561
a87	0.185288	0.12085	0.0793515	0.104008	0.0836156	0.0913894	0.0992972	0.110299	0.0587553	0.0308377	0.0363077
a23	0.143091	0.0991397	0.0763134	0.0964314	0.077454	0.0958556	0.0999198	0.13775	0.0776344	0.043559	0.0528513
a87	0.185618	0.14357	0.0930688	0.110216	0.103048	0.0925329	0.0799756	0.0622145	0.0441612	0.0337318	0.0518638
a99	0.166632	0.138299	0.0948647	0.111275	0.090051	0.0943487	0.0872406	0.083857	0.0536723	0.0336356	0.0461244
a75	0.155871	0.156428	0.108049	0.110547	0.0816266	0.0716458	0.0734185	0.0646585	0.0572967	0.0461413	0.074317
a47	0.275441	0.221768	0.154431	0.100736	0.0732365	0.0621149	0.0363053	0.0216485	0.0190441	0.0170333	0.0182418
a6	0.224752	0.214687	0.150783	0.127433	0.0921907	0.0716868	0.03732	0.020712	0.0181333	0.0203989	0.0219034
a37	0.106205	0.142451	0.136434	0.152606	0.131055	0.124652	0.0756601	0.0385024	0.0231215	0.0321528	0.0371601
a75	0.095248	0.101896	0.099753	0.121585	0.125934	0.158748	0.106745	0.0691508	0.0364156	0.0420784	0.0424463
a85	0.102278	0.106161	0.113432	0.136359	0.125648	0.135543	0.083232	0.0595783	0.0412746	0.049772	0.0467225
a47	0.112572	0.1338	0.156932	0.137374	0.11328	0.0900008	0.0480416	0.0328735	0.0410295	0.0648782	0.0692183
a37	0.0934533	0.10292	0.130097	0.153665	0.144735	0.149913	0.0653669	0.0352343	0.0301801	0.0450453	0.0493907
a54	0.0789111	0.0780519	0.100942	0.158777	0.166841	0.189175	0.0991267	0.0389281	0.0266978	0.0326257	0.0299237
a37	0.0317014	0.0398407	0.0443373	0.0581894	0.0529621	0.0583762	0.0469314	0.0500339	0.101104	0.235021	0.281503
a85	0.0506299	0.0506702	0.0581908	0.0901527	0.109823	0.132552	0.083869	0.05808	0.081797	0.130929	0.153307
a27	0.0467263	0.0468857	0.0487336	0.0539194	0.0570739	0.0711416	0.0503652	0.0414379	0.0977197	0.208684	0.277312
a75	0.0222005	0.0225186	0.0282178	0.0475207	0.0533166	0.0874799	0.137563	0.164515	0.115702	0.145912	0.175053
a5	0.0158246	0.0168744	0.0188618	0.0271092	0.0296054	0.0458995	0.0428465	0.0507745	0.115179	0.266375	0.370649
a61	0.0171304	0.0169753	0.020199	0.0269886	0.0343364	0.0485915	0.0431636	0.0766683	0.150882	0.257356	0.307709
a62	0.00500081	0.0046099	0.00536744	0.0069203	0.00948994	0.0177068	0.0239338	0.0817127	0.180594	0.297607	0.367057
a83	0.0011413	0.000949344	0.0012465	0.0015176	0.00220172	0.00456167	0.0101803	0.0766157	0.253318	0.325412	0.322855
a9	0.000846357	0.0006332	0.000905844	0.00139576	0.00266356	0.00500786	0.00928048	0.0619527	0.238236	0.338039	0.34104
a75	0.000400922	0.000182103	0.000184241	0.000308443	0.000488466	0.00119455	0.00335315	0.0294161	0.138677	0.345161	0.480634
a98	0.000126346	6.7554e-05	8.24236e-05	0.000111985	0.000237603	0.000657584	0.00154973	0.014723	0.114571	0.318077	0.549796
a69	0.000228255	0.000199456	0.000279272	0.000393604	0.000642418	0.00150698	0.00246377	0.0117522	0.110273	0.354374	0.517887
a54	4.37418e-05	3.05118e-05	3.76751e-05	6.24308e-05	0.000125174	0.000402235	0.00110327	0.0100956	0.0947191	0.305821	0.58756
a37	5.60508e-05	3.34793e-05	3.70165e-05	5.76506e-05	0.000116341	0.000388691	0.00101969	0.00743594	0.0741522	0.278202	0.638501
a83	7.65291e-05	3.25745e-05	3.3267e-05	5.23828e-05	9.40929e-05	0.000276037	0.000888002	0.00873583	0.0800756	0.264125	0.645611
a9	0.00029379	0.000104497	8.90911e-05	0.000124454	0.00017009	0.000314793	0.000918683	0.011505	0.111945	0.309259	0.565276
a87	0.00351185	0.000857016	0.00044425	0.000739617	0.00103739	0.00161796	0.0038247	0.0242021	0.138413	0.328809	0.496543
a82	0.0737509	0.0267776	0.0166018	0.0218743	0.0203204	0.0250411	0.0322556	0.0725185	0.166733	0.2233	0.320827
a87	0.049548	0.0193111	0.0126938	0.0142518	0.0123179	0.0167688	0.026227	0.0547215	0.158288	0.275713	0.360159
a97	0.0327358	0.0119419	0.00780159	0.00977938	0.00907843	0.0151454	0.0297786	0.0449918	0.127758	0.267589	0.4434
a87	0.0260017	0.0115657	0.00873574	0.0121176	0.0124067	0.0245846	0.0509758	0.06259	0.132099	0.252202	0.406721
a23	0.0223338	0.0133541	0.0128477	0.0172112	0.017958	0.0297808	0.0432814	0.0487053	0.106803	0.219551	0.468175
a99	0.0154272	0.00632954	0.00613521	0.0065073	0.00669687	0.0137845	0.0275382	0.0528157	0.123597	0.21732	0.523848
a87	0.0272321	0.00969015	0.00933613	0.0125325	0.0132938	0.0284508	0.0468561	0.0876329	0.16575	0.195957	0.403269
a97	0.0124659	0.00414454	0.00377117	0.00449414	0.0051218	0.0119427	0.0253911	0.061097	0.154391	0.220759	0.496422
</S>	0.0152522	0.00506222	0.00531903	0.00778273	0.0098886	0.020405	0.0336704	0.0778347	0.159652	0.216951	0.448182
