 	tu	n'	es	pas	le	seul	à	t'	abriter	de	la	pluie	dans	cette	case	</S>
a66	0.0987238	0.0810361	0.0924604	0.108865	0.139241	0.145854	0.128092	0.0935212	0.0404525	0.019388	0.0135119	0.00947563	0.00745442	0.00724184	0.00710084	0.00758213
a87	0.245472	0.183112	0.159578	0.077746	0.0667552	0.0526191	0.0523026	0.0433235	0.0196844	0.0084432	0.0112036	0.0106459	0.0132085	0.0179279	0.0189535	0.0190247
a23	0.34302	0.193354	0.113911	0.0660447	0.0624235	0.0553827	0.0445168	0.0401546	0.0171735	0.00832424	0.00744987	0.00661009	0.00819614	0.00928141	0.0112297	0.0129283
a30	0.280375	0.204229	0.124125	0.0500665	0.0457149	0.0407415	0.0342618	0.0269186	0.0158235	0.014926	0.0168842	0.0176665	0.0235591	0.0295736	0.0325591	0.0425754
a93	0.271001	0.169854	0.124109	0.0632806	0.0686717	0.0663629	0.0507982	0.0435689	0.0310294	0.0185814	0.0160647	0.0139836	0.0147635	0.015846	0.0155266	0.0165582
a94	0.220304	0.185575	0.177303	0.104275	0.102649	0.0756924	0.0461907	0.0352528	0.0236739	0.00709998	0.0053713	0.00387696	0.00331509	0.00340967	0.00303721	0.0029747
a43	0.156863	0.161059	0.143801	0.111987	0.109276	0.0871608	0.0519878	0.051501	0.04788	0.0175436	0.0139911	0.0108239	0.00960468	0.009464	0.00825101	0.0088066
a56	0.129728	0.132487	0.119796	0.108226	0.107806	0.0897814	0.0534923	0.0545447	0.0630428	0.0342616	0.0252405	0.0192493	0.0174673	0.0167979	0.0143536	0.0137258
a93	0.124116	0.117858	0.114312	0.107125	0.105148	0.0866066	0.0563497	0.0587232	0.0762978	0.0374161	0.0259355	0.0194276	0.0182404	0.0181356	0.0173933	0.0169144
a56	0.0772148	0.0834569	0.0915718	0.106816	0.114524	0.0976296	0.0636089	0.0631212	0.0805227	0.0463535	0.0337103	0.0263391	0.0269789	0.0274059	0.0308945	0.0298523
a62	0.0668987	0.076936	0.0962704	0.126062	0.136192	0.121357	0.0877572	0.0799856	0.0657467	0.0329479	0.0220471	0.016949	0.0161879	0.0160713	0.0192857	0.0193057
