 	il	a	préféré	le	poisson	à	la	viande	</S>
a66	0.271081	0.194924	0.204819	0.130717	0.0907606	0.0480007	0.0251031	0.0183128	0.0162821
a87	0.374308	0.157971	0.0838218	0.0932084	0.0758248	0.0699421	0.0513675	0.0480077	0.045548
a23	0.499253	0.225444	0.0784856	0.0289205	0.0297553	0.0351637	0.033943	0.0345203	0.0345153
a84	0.418959	0.232234	0.112915	0.0480419	0.0251178	0.0294765	0.0377233	0.0442109	0.0513219
a87	0.314895	0.262567	0.161642	0.0434039	0.0343859	0.0381531	0.0443404	0.0485104	0.0521019
a23	0.301491	0.294654	0.20302	0.0468643	0.0324593	0.0320715	0.0314435	0.0290466	0.0289493
a53	0.28084	0.197802	0.123042	0.044034	0.05302	0.0653791	0.0743459	0.0783613	0.0831754
a15	0.30051	0.2129	0.105291	0.0322867	0.0497055	0.0679714	0.0749989	0.0814781	0.0748587
a79	0.21483	0.172484	0.127097	0.07201	0.0830462	0.0955398	0.0844886	0.0828325	0.0676712
a7	0.225104	0.217362	0.162719	0.0737993	0.063391	0.0696139	0.0608702	0.0665625	0.060578
a56	0.163552	0.193589	0.23439	0.107325	0.0637571	0.0595995	0.0520707	0.0609569	0.0647589
a92	0.223878	0.218619	0.210504	0.102839	0.0608867	0.0463018	0.0380513	0.0464954	0.0524244
a79	0.103954	0.113684	0.155884	0.160732	0.134247	0.0973104	0.0697635	0.0769453	0.0874799
a75	0.103189	0.12937	0.22338	0.18915	0.118946	0.0720478	0.0508207	0.0529469	0.0601494
a85	0.0877345	0.109609	0.24258	0.171764	0.119202	0.0789441	0.0594886	0.0614062	0.0692718
a21	0.0263635	0.0441644	0.149211	0.144777	0.135511	0.124577	0.117223	0.121662	0.136511
a92	0.0524812	0.0674205	0.257984	0.175899	0.118194	0.0743684	0.0635648	0.0834136	0.106673
a98	0.0145883	0.0199971	0.101778	0.120929	0.126093	0.12598	0.132014	0.160009	0.198613
a92	0.0104625	0.0188465	0.0951497	0.131578	0.13385	0.123517	0.126159	0.154791	0.205645
a56	0.0106774	0.0177574	0.092849	0.127627	0.135159	0.120689	0.115583	0.158278	0.22138
a12	0.012177	0.0197235	0.0964894	0.165816	0.154822	0.125624	0.103415	0.136734	0.185199
a96	0.0139477	0.0164953	0.0571889	0.114616	0.12953	0.132355	0.129731	0.170433	0.235703
a88	0.013389	0.0147854	0.038287	0.0793166	0.0796167	0.0991462	0.133126	0.20825	0.334083
a61	0.0112324	0.00982589	0.0179769	0.0362749	0.0418798	0.0783751	0.160966	0.269835	0.373634
a0	0.00758214	0.00639401	0.0144304	0.0324911	0.0442856	0.0870998	0.180468	0.283994	0.343255
a75	0.00525683	0.00492614	0.010032	0.0151527	0.0197783	0.0479607	0.133631	0.29447	0.468792
a92	0.00071959	0.000721356	0.00182947	0.00557536	0.0102013	0.0292605	0.101283	0.269435	0.580975
a75	0.000324243	0.00039343	0.00116081	0.00473831	0.00898884	0.0287414	0.103359	0.275302	0.576992
a85	0.000155369	0.000193455	0.000643905	0.00276458	0.00523878	0.018608	0.0767736	0.245337	0.650286
a92	6.15174e-05	0.000100141	0.000379368	0.00197867	0.00424467	0.0170601	0.0745121	0.246707	0.654956
a85	0.0001427	0.000172931	0.000521924	0.0027485	0.00668117	0.0246089	0.0853235	0.242956	0.636844
a0	8.56728e-05	0.000121893	0.000358946	0.00178014	0.00392316	0.0159873	0.0715699	0.249781	0.656392
a96	0.000408819	0.000417932	0.000971146	0.00566033	0.0166131	0.0443518	0.12529	0.280642	0.525644
a66	0.00218656	0.00159524	0.00259364	0.00833883	0.0294633	0.0734264	0.149458	0.265908	0.46703
a9	0.0193765	0.0112533	0.0160406	0.0286924	0.0686402	0.0943662	0.141718	0.221337	0.398576
a84	0.0871879	0.040289	0.0423296	0.0551539	0.0751564	0.077411	0.104188	0.176914	0.341371
a58	0.118142	0.0569007	0.0470261	0.0636958	0.0821299	0.084533	0.121307	0.174806	0.251459
a82	0.0993045	0.0534424	0.0387454	0.0530921	0.0542595	0.0714964	0.12552	0.211594	0.292546
a87	0.0854104	0.056722	0.0471602	0.0710955	0.0636407	0.0827876	0.130871	0.200654	0.261658
a23	0.0962934	0.0677582	0.0675015	0.0915802	0.0811576	0.0958918	0.131225	0.168319	0.200273
a99	0.0162831	0.00737239	0.00544528	0.0223524	0.0359385	0.0843859	0.159258	0.28236	0.386605
a26	0.0226524	0.011576	0.0129607	0.0354567	0.048786	0.0876448	0.146015	0.260321	0.374587
</S>	0.00863972	0.00520759	0.00688564	0.0273828	0.0420705	0.0784386	0.142482	0.278419	0.410475
