 	le	côté	paternel	de	ma	femme	m'	a	exigé	beaucoup	d'	argent	pour	la	dot	</S>
a23	0.172699	0.172088	0.142302	0.104641	0.0856178	0.0686814	0.0552292	0.0466101	0.0331302	0.0311905	0.0207785	0.0157132	0.0132824	0.0121898	0.0125632	0.0132836
a18	0.38086	0.197344	0.138966	0.050154	0.0310637	0.0284426	0.0333549	0.028478	0.0209448	0.0183592	0.0123954	0.00999607	0.00933089	0.00953608	0.0126088	0.0181655
a83	0.189022	0.156201	0.126739	0.0728733	0.0470198	0.0501408	0.0497882	0.0413307	0.0344638	0.0329537	0.0264768	0.0241403	0.0228836	0.0232116	0.0412819	0.0614729
a9	0.220967	0.212003	0.150304	0.0671814	0.0408054	0.036088	0.030687	0.0321401	0.032939	0.0321602	0.0266996	0.0215816	0.0183064	0.0180902	0.0242744	0.035772
a75	0.296742	0.260265	0.1473	0.0862283	0.042203	0.0270057	0.017778	0.0178933	0.0176923	0.0149994	0.0131098	0.010309	0.00930227	0.00950905	0.0117497	0.0179127
a47	0.309194	0.20194	0.105434	0.0681545	0.049652	0.0421852	0.0260421	0.0228413	0.0221442	0.0196812	0.0189403	0.0166423	0.0160839	0.0187512	0.0249637	0.0373507
a6	0.213446	0.182649	0.126383	0.0993092	0.0618662	0.0441709	0.027013	0.0234001	0.0210816	0.0187768	0.02042	0.0185246	0.019304	0.0238044	0.0372711	0.0625802
a47	0.181222	0.16896	0.137977	0.110853	0.0683009	0.0484863	0.0296786	0.0230824	0.0200167	0.0192713	0.0205108	0.0191679	0.0197715	0.0240777	0.0408542	0.0677695
a0	0.133682	0.126257	0.131219	0.150079	0.1093	0.0763778	0.0409255	0.0305709	0.0268503	0.0244455	0.0204658	0.0165384	0.0150207	0.0175671	0.0296684	0.0510325
a75	0.137576	0.132227	0.152341	0.146652	0.0933783	0.0671115	0.0449038	0.0379184	0.035758	0.0335783	0.0264509	0.0197722	0.017643	0.0154638	0.01802	0.0212051
a6	0.0721317	0.0880517	0.114032	0.1329	0.10265	0.0833222	0.0545143	0.0443958	0.0425576	0.0424647	0.0330291	0.0257495	0.0256666	0.0283929	0.0456534	0.064488
a36	0.0332243	0.051057	0.0800956	0.117424	0.107319	0.0940605	0.0650204	0.0540994	0.0535726	0.0544311	0.0423526	0.0347366	0.035284	0.0385374	0.0600006	0.0787852
a75	0.0195274	0.0347322	0.0639063	0.153392	0.155844	0.130308	0.0865825	0.0641435	0.0533921	0.0482813	0.03376	0.026084	0.0235672	0.0239924	0.0356433	0.0468428
a47	0.00610956	0.0109944	0.024781	0.0764782	0.0901846	0.0876625	0.0743794	0.067914	0.0736511	0.0755668	0.0638503	0.0553673	0.0526025	0.0537571	0.0809862	0.105715
a36	0.00384489	0.00786959	0.0187124	0.0750876	0.131742	0.132869	0.10158	0.0883617	0.0845454	0.0776843	0.0539432	0.0429103	0.0356602	0.0335874	0.0464639	0.0651387
a2	0.00561016	0.00797928	0.0149966	0.0836246	0.20151	0.194995	0.134387	0.0871269	0.0557385	0.0428649	0.0272346	0.0220083	0.0182134	0.0193832	0.0338623	0.0504644
a57	0.010257	0.0134321	0.0194221	0.0656257	0.159728	0.196882	0.161256	0.105207	0.0690098	0.0538645	0.0328803	0.0251822	0.0185065	0.01538	0.0226086	0.0307588
a87	0.0151961	0.0217306	0.0347171	0.0844502	0.129668	0.159365	0.141406	0.10473	0.0750653	0.0710038	0.0457799	0.0325174	0.022971	0.0168655	0.0201418	0.0243929
a23	0.0445696	0.0500988	0.0583315	0.0941275	0.107735	0.11619	0.0978408	0.0775635	0.0585884	0.0615334	0.0514963	0.0409887	0.0328352	0.0281264	0.0339021	0.0460724
a13	0.0178453	0.0276372	0.0499408	0.0923444	0.100286	0.101156	0.087953	0.0764483	0.0650198	0.0637986	0.054799	0.0453815	0.0374477	0.0364695	0.0525631	0.0909095
