 	tu	dis	des	bêtises	</S>
a85	0.264453	0.406119	0.16864	0.109365	0.0514227
a87	0.401749	0.208702	0.136952	0.136243	0.116354
a23	0.416238	0.252212	0.133663	0.107397	0.0904893
a87	0.208439	0.196092	0.171165	0.212473	0.211832
a23	0.319686	0.222351	0.168756	0.149331	0.139876
a79	0.0881726	0.154352	0.178607	0.31482	0.264048
a20	0.294165	0.39341	0.107041	0.13045	0.074934
a73	0.333718	0.437174	0.129448	0.0726855	0.0269747
a32	0.276807	0.452998	0.171981	0.0725985	0.0256145
a11	0.261358	0.39461	0.185713	0.106906	0.0514133
a75	0.290793	0.286547	0.188485	0.149101	0.0850736
a41	0.244942	0.256753	0.206665	0.172577	0.119063
a90	0.0747727	0.0752358	0.213486	0.360323	0.276182
a13	0.113018	0.101557	0.196355	0.301075	0.287995
a24	0.0492463	0.0474499	0.114551	0.359748	0.429005
a98	0.012787	0.0124802	0.0668991	0.330015	0.577819
a62	0.0140563	0.0129285	0.0591938	0.290649	0.623173
a24	0.0111398	0.00927083	0.0442478	0.25861	0.676732
a9	0.012869	0.0117203	0.048485	0.237801	0.689124
a87	0.0189273	0.0242344	0.0636911	0.232012	0.661136
</S>	0.0302483	0.0327916	0.0958808	0.221653	0.619426
