 	vous	le	savez	vous-mêmes	que	le	sida	décime	les	populations	</S>
a66	0.227858	0.185095	0.153978	0.0797935	0.0968767	0.078407	0.0568836	0.0551727	0.0371633	0.0169517	0.0118202
a87	0.22425	0.15167	0.112404	0.0928572	0.0903083	0.098645	0.0975401	0.102037	0.0191158	0.00617985	0.00499288
a23	0.304408	0.257016	0.212901	0.0795033	0.0545303	0.0363967	0.0226463	0.0150313	0.00813161	0.0044959	0.00493969
a83	0.228299	0.208338	0.153751	0.0842485	0.0807259	0.0810422	0.0545309	0.0712395	0.0149706	0.00946791	0.013387
a88	0.272096	0.232823	0.159691	0.0899232	0.0758104	0.0578167	0.0338002	0.0362073	0.0111688	0.0119185	0.0187444
a31	0.245863	0.256893	0.214177	0.103062	0.0775858	0.0507638	0.0262103	0.0194612	0.00272024	0.00149663	0.00176694
a47	0.1762	0.219809	0.20842	0.147042	0.0936309	0.0713737	0.0424588	0.0335567	0.00381125	0.00170696	0.00199149
a62	0.187047	0.228265	0.172377	0.138428	0.094894	0.0701044	0.0445186	0.0477792	0.00688361	0.00392665	0.00577611
a21	0.172492	0.199149	0.155812	0.15318	0.115348	0.0839636	0.0539574	0.0514314	0.00713559	0.00335999	0.00417092
a75	0.0876147	0.109023	0.110858	0.164251	0.159462	0.139793	0.0981178	0.10599	0.0132742	0.0052879	0.00632747
a5	0.0477347	0.0552816	0.0614533	0.120351	0.161373	0.194164	0.14441	0.166082	0.0226049	0.0114353	0.0151118
a12	0.030026	0.0314845	0.0385421	0.0780353	0.159126	0.213133	0.168374	0.205031	0.0367131	0.0176452	0.02189
a56	0.0258659	0.0252563	0.0312559	0.0645195	0.149626	0.210864	0.176954	0.20651	0.0519321	0.0265026	0.0307137
a98	0.0271596	0.0256761	0.031922	0.0547494	0.127156	0.183012	0.167756	0.207523	0.0869146	0.0412955	0.0468357
a92	0.0230211	0.0159969	0.014252	0.0244389	0.0861616	0.129745	0.13116	0.158274	0.161428	0.122529	0.132993
a12	0.00733493	0.0054573	0.0057525	0.0123006	0.0413291	0.0778068	0.117907	0.168482	0.195838	0.178923	0.188869
a18	0.00924978	0.00624894	0.00489164	0.00925674	0.0351123	0.0623233	0.0835904	0.111367	0.251402	0.217963	0.208595
a71	0.00825086	0.00747189	0.00657121	0.00788217	0.0207335	0.0298463	0.0325325	0.0479286	0.156236	0.250773	0.431775
a9	0.0292399	0.0341526	0.0410183	0.0412951	0.0728102	0.0737394	0.0443362	0.0321471	0.0773985	0.19068	0.363183
a99	0.0551428	0.0650768	0.0805993	0.0699688	0.0934988	0.0847477	0.0629392	0.0525243	0.0860272	0.130105	0.21937
a87	0.108804	0.066293	0.0432131	0.0312852	0.0328706	0.0431317	0.0653956	0.0933505	0.170425	0.139629	0.205603
a23	0.198895	0.12032	0.0795711	0.0467321	0.0397381	0.0559352	0.0951271	0.106273	0.108947	0.068146	0.0803151
a10	0.0493951	0.0320652	0.0285378	0.0188009	0.0218608	0.0426838	0.0876406	0.124256	0.188508	0.202378	0.203873
a24	0.0184712	0.0101308	0.0102821	0.0105313	0.0130447	0.0289477	0.0551744	0.0979047	0.202133	0.271442	0.281938
a83	0.00508553	0.00328345	0.00361774	0.00357878	0.00499422	0.0136074	0.0395508	0.0705726	0.183293	0.320807	0.35161
a62	0.00291833	0.00216782	0.00269192	0.0029482	0.00491665	0.016335	0.0640062	0.0973772	0.163379	0.25356	0.389699
a5	0.00317288	0.00215749	0.00236648	0.00294553	0.0049989	0.0112293	0.03582	0.0619557	0.186337	0.248513	0.440503
a85	0.000908832	0.000752142	0.000970998	0.00114909	0.00245645	0.00522435	0.0170153	0.0347846	0.234374	0.310841	0.391523
a6	0.000393873	0.000355087	0.000491757	0.000652633	0.0016758	0.00380759	0.0128284	0.0253957	0.161171	0.304613	0.488614
a0	0.000498418	0.000422103	0.000567664	0.000963256	0.00231601	0.0054981	0.0168639	0.0254057	0.123058	0.277022	0.547385
a21	0.000536719	0.000424218	0.000381306	0.000679805	0.00167216	0.00410598	0.011087	0.0164414	0.109431	0.278248	0.576993
a5	0.000374237	0.000391087	0.000435533	0.00060322	0.00111042	0.00231923	0.00690708	0.0151366	0.147232	0.322126	0.503365
a36	0.000593314	0.000551498	0.000541372	0.000845783	0.00185075	0.00423606	0.0123591	0.0216263	0.127498	0.295633	0.534264
a5	0.00133308	0.00127834	0.00125883	0.00117241	0.00268521	0.0046267	0.00786559	0.00866439	0.0727011	0.300142	0.598272
a37	0.000476127	0.00037228	0.000349853	0.000459174	0.00113499	0.00260457	0.00662235	0.00871076	0.0687965	0.298528	0.611945
a27	0.000530098	0.00044044	0.000443924	0.000608281	0.0017012	0.0036552	0.00706696	0.00828394	0.0696157	0.297608	0.610046
a82	0.0180296	0.0176614	0.0193	0.0207682	0.0313777	0.0354543	0.0406412	0.0255685	0.102853	0.284487	0.403858
a87	0.0683025	0.0523521	0.0553742	0.048851	0.0520258	0.0616326	0.0705783	0.0459405	0.134647	0.202345	0.207951
a23	0.231969	0.12788	0.111938	0.0719917	0.0642449	0.0620397	0.0497473	0.0309037	0.0645049	0.0906992	0.0940815
a87	0.0603362	0.0362886	0.0234434	0.011158	0.00873013	0.012874	0.0233644	0.0199774	0.150937	0.215139	0.437752
</S>	0.0478562	0.02412	0.0137153	0.00917222	0.00836588	0.0138603	0.0293481	0.0291169	0.142741	0.191893	0.489812
