 	pêcher	le	protoptère	au	harpon	est	l'	activité	lucrative	des	natifs	de	ngwooni	</S>
a66	0.0262409	0.0238207	0.0261828	0.0393117	0.0671348	0.0894733	0.136636	0.242406	0.172472	0.133133	0.0286779	0.00726614	0.00438347	0.00286148
a87	0.105122	0.076982	0.0736891	0.0980692	0.107765	0.0952583	0.0868173	0.0985457	0.104928	0.0807563	0.0247952	0.0134025	0.0147548	0.0191159
a23	0.175077	0.119984	0.122277	0.111666	0.103386	0.0771528	0.0803623	0.0687773	0.0504386	0.0351347	0.0205223	0.0115606	0.0121304	0.0115319
a87	0.204844	0.164687	0.152996	0.125091	0.108413	0.0807714	0.0572348	0.0391725	0.0192547	0.0103949	0.00797203	0.00845906	0.0106423	0.0100667
a23	0.198749	0.16799	0.146633	0.115935	0.0912442	0.0687103	0.0564727	0.0467687	0.0313521	0.0189051	0.0126196	0.0129359	0.0159305	0.0157538
a30	0.182407	0.160011	0.150078	0.116342	0.0991466	0.0674303	0.0516753	0.0414606	0.0274191	0.0191354	0.0182361	0.0197012	0.0236805	0.0232763
a4	0.107392	0.116178	0.171116	0.151063	0.130543	0.068455	0.0556679	0.0563813	0.0417085	0.0312211	0.0261567	0.0193245	0.0151966	0.00959847
a57	0.165988	0.16892	0.171285	0.112824	0.0957792	0.0461549	0.0411705	0.0644934	0.0567631	0.0353337	0.0181293	0.0095001	0.00820794	0.00545153
a38	0.154974	0.140795	0.134444	0.0950325	0.0837601	0.0606006	0.0568349	0.0664185	0.0653342	0.046096	0.0326094	0.0218175	0.0224294	0.0188542
a50	0.121141	0.133142	0.137661	0.100277	0.0886496	0.0702023	0.0618267	0.0708098	0.0693159	0.0457495	0.0335387	0.0221967	0.0226798	0.0228103
a96	0.0970491	0.0913851	0.101068	0.094718	0.0889037	0.0864645	0.0711725	0.0876719	0.102865	0.0650443	0.0414419	0.0244477	0.0232388	0.0245301
a21	0.098109	0.0835175	0.0934874	0.0888342	0.0898408	0.0861449	0.0800638	0.115435	0.115697	0.0623468	0.0365942	0.0173215	0.0158186	0.0167893
a85	0.0585242	0.0523791	0.0616012	0.0777052	0.0866204	0.095913	0.106387	0.156524	0.156176	0.0813831	0.0298371	0.0119325	0.0115579	0.0134591
a47	0.0199068	0.0226175	0.0414797	0.0739978	0.0872668	0.101252	0.101272	0.154126	0.18205	0.106296	0.0396092	0.0193599	0.0215989	0.0291663
a36	0.0302492	0.0312137	0.0449735	0.0732831	0.083557	0.110214	0.110586	0.143145	0.158964	0.0863189	0.0346599	0.0214695	0.0293428	0.0420232
a2	0.0214295	0.017748	0.0311022	0.0726249	0.103503	0.143077	0.147184	0.154741	0.129567	0.0712153	0.0297223	0.0173889	0.0225828	0.0381143
a53	0.0213925	0.0194923	0.0274582	0.0580992	0.0857685	0.147116	0.150162	0.120765	0.106556	0.065905	0.0600038	0.0443025	0.0414223	0.0515573
a44	0.0300151	0.0215737	0.0264972	0.0506698	0.0765406	0.108257	0.130932	0.171555	0.158292	0.095529	0.0334979	0.0186592	0.0292574	0.0487254
a12	0.00857962	0.00566653	0.00727442	0.0170357	0.0352184	0.103148	0.128736	0.141529	0.184016	0.123219	0.0537968	0.0343528	0.0552446	0.102183
a94	0.00882675	0.00632341	0.00737556	0.0151943	0.0282463	0.086504	0.124176	0.138204	0.15388	0.13077	0.0698101	0.0502909	0.0647237	0.115674
a93	0.00584605	0.00401424	0.00498421	0.00993887	0.0167744	0.0614975	0.0902153	0.0883903	0.12713	0.101048	0.0848287	0.0711725	0.114894	0.219266
a34	0.00791796	0.00530589	0.00639191	0.0122096	0.0205829	0.0678502	0.100223	0.101917	0.137934	0.110336	0.117015	0.0781995	0.0973809	0.136736
