 	les	femmes	élancées	ont	une	charme	irrésistible	</S>
a15	0.286222	0.197311	0.175185	0.128045	0.103743	0.067972	0.0275555	0.0139652
a66	0.152924	0.141195	0.0948986	0.117204	0.186288	0.173657	0.0729313	0.0609024
a87	0.469318	0.159749	0.081589	0.0598609	0.0662092	0.0539994	0.0463266	0.0629485
a10	0.429601	0.160512	0.129142	0.0692542	0.0707726	0.0544957	0.0379054	0.0483169
a30	0.377239	0.166838	0.142722	0.0699964	0.0659708	0.0599258	0.0534604	0.0638473
a10	0.370881	0.167995	0.128159	0.0639782	0.0593553	0.0610039	0.0651581	0.0834693
a87	0.350171	0.169169	0.12847	0.062517	0.0572923	0.0654696	0.0761899	0.0907213
a23	0.39908	0.166388	0.0960219	0.0537053	0.0520731	0.054473	0.0728929	0.105366
a40	0.275449	0.186759	0.142692	0.0653428	0.0612199	0.082465	0.10454	0.0815324
a5	0.305399	0.135004	0.0993786	0.0446208	0.0384419	0.0448235	0.154119	0.178214
a61	0.208297	0.147374	0.173863	0.113201	0.0921851	0.0747178	0.120513	0.069848
a70	0.173951	0.136655	0.19167	0.157452	0.126421	0.0857429	0.085343	0.0427658
a44	0.159613	0.140652	0.204374	0.175474	0.12804	0.0797568	0.0704765	0.0416143
a98	0.136271	0.128828	0.16582	0.155277	0.115342	0.0943382	0.117405	0.0867181
a85	0.12111	0.134989	0.152095	0.18646	0.164828	0.0863443	0.0834676	0.0707075
a37	0.142143	0.14436	0.159941	0.175678	0.149296	0.0887923	0.0738905	0.0658987
a38	0.150892	0.158169	0.208592	0.202026	0.151011	0.0640025	0.036452	0.0288565
a56	0.108	0.168554	0.200033	0.216175	0.161191	0.0717923	0.0364543	0.0378004
a96	0.0851137	0.151472	0.186931	0.20475	0.166068	0.0934653	0.0541223	0.0580786
a94	0.0529442	0.141744	0.178246	0.228184	0.177012	0.105044	0.0533885	0.0634367
a93	0.0340263	0.118916	0.170049	0.230169	0.17895	0.116778	0.0598655	0.0912459
a34	0.031171	0.10513	0.144782	0.22367	0.1876	0.148939	0.0691491	0.0895586
a13	0.0252523	0.0835719	0.102184	0.200501	0.202273	0.191151	0.0932719	0.101795
a38	0.0164038	0.0677383	0.121884	0.212369	0.181224	0.187595	0.0943574	0.118429
a34	0.0171711	0.048989	0.0958462	0.151041	0.177162	0.227189	0.125992	0.156609
a56	0.0119077	0.0366963	0.0482451	0.105175	0.152423	0.236303	0.195074	0.214176
a93	0.0078226	0.0287206	0.0349397	0.081581	0.121408	0.215272	0.249543	0.260713
a94	0.0074999	0.029212	0.0378564	0.0899911	0.108196	0.187474	0.266621	0.27315
a75	0.00262156	0.00959866	0.0161709	0.0410375	0.0651046	0.180674	0.297296	0.387497
a85	0.0040026	0.0112785	0.0150489	0.0286571	0.0535373	0.13757	0.315109	0.434796
a5	0.00396632	0.00853483	0.0107574	0.0212716	0.0420026	0.10901	0.366015	0.438442
a18	0.00366704	0.00919608	0.0126091	0.0218348	0.0338514	0.0951145	0.34208	0.481647
a61	0.00127163	0.00282857	0.00380313	0.0073165	0.0170631	0.102645	0.312024	0.553048
a21	0.00166141	0.00428975	0.00432763	0.0114481	0.0228033	0.0868604	0.302708	0.565901
a47	0.0022422	0.00593032	0.00604721	0.0129135	0.0231086	0.0959634	0.313483	0.540311
a88	0.00125263	0.0032507	0.00341133	0.00715088	0.0150263	0.0807809	0.271977	0.617151
a62	0.000682824	0.00154687	0.0014646	0.0037513	0.0094461	0.0549374	0.232442	0.695729
a83	0.000816107	0.00167939	0.00153999	0.00464334	0.0118154	0.0658217	0.260785	0.652899
a61	0.00080072	0.00182234	0.00241785	0.00511742	0.0110898	0.0711516	0.28967	0.61793
a62	0.000411474	0.00118927	0.0014121	0.00368618	0.00789335	0.0574447	0.233593	0.69437
a0	0.000683557	0.00190178	0.00180218	0.00449095	0.00847838	0.0501284	0.228911	0.703604
a75	0.00156485	0.0026601	0.00277918	0.00479865	0.00920169	0.0592761	0.238932	0.680788
a85	0.0011035	0.00208365	0.00163027	0.00330995	0.0067161	0.0409388	0.18599	0.758227
a36	0.00256007	0.00401627	0.00340914	0.00569674	0.013212	0.0676137	0.244517	0.658975
a26	0.00124111	0.00206146	0.00128935	0.00225526	0.00562434	0.0427665	0.213807	0.730955
a57	0.0258361	0.0312825	0.0141882	0.0200032	0.0232914	0.0792536	0.243456	0.562689
a87	0.103339	0.0579686	0.0269677	0.0276946	0.0374971	0.0944984	0.214502	0.437533
a23	0.145691	0.0626417	0.029293	0.0311925	0.0456717	0.107278	0.203924	0.374308
a87	0.0712196	0.0353136	0.0150317	0.017537	0.0354265	0.0949043	0.246267	0.4843
a23	0.0342994	0.0237002	0.013639	0.0184766	0.0314606	0.0720275	0.238692	0.567705
</S>	0.0571093	0.0339639	0.0132283	0.0203633	0.0339426	0.0813793	0.241231	0.518783
