 	le	sol	durcit	pendant	la	saison	sèche	</S>
a15	0.227092	0.131825	0.110413	0.189517	0.186195	0.102339	0.0368602	0.0157578
a66	0.0783184	0.0643909	0.138609	0.288486	0.228397	0.12575	0.0487158	0.0273332
a10	0.396965	0.228878	0.167454	0.0717734	0.0441305	0.0436337	0.0256121	0.0215525
a62	0.370729	0.291596	0.199221	0.0562135	0.0287031	0.0244874	0.014702	0.0143478
a21	0.469261	0.250566	0.153109	0.0497313	0.0222456	0.0154546	0.0169906	0.0226416
a18	0.398383	0.304755	0.178267	0.0610837	0.026111	0.0120179	0.0091539	0.0102291
a21	0.376984	0.287773	0.146919	0.0554474	0.0345009	0.0304201	0.0286713	0.0392839
a12	0.26564	0.260735	0.231581	0.146289	0.0635479	0.0169686	0.00806839	0.0071695
a61	0.191702	0.208645	0.221014	0.182752	0.107416	0.0422756	0.0231333	0.0230611
a21	0.148427	0.167747	0.188039	0.175007	0.132365	0.0880129	0.0529701	0.0474328
a47	0.163566	0.151992	0.223318	0.195126	0.145209	0.0725776	0.0281379	0.0200733
a21	0.113175	0.11677	0.19276	0.222491	0.169373	0.0942015	0.0476029	0.0436268
a37	0.0935914	0.0915075	0.173327	0.238419	0.192129	0.112846	0.0546398	0.0435408
a98	0.0629624	0.0587679	0.0901844	0.176106	0.184093	0.161009	0.131664	0.135213
a92	0.0582401	0.0426717	0.0587216	0.137845	0.172105	0.147185	0.167045	0.216187
a85	0.0508848	0.0367441	0.0499371	0.119436	0.155123	0.147199	0.191909	0.248767
a21	0.0414369	0.0294806	0.0319499	0.0672555	0.104344	0.0999426	0.216379	0.409211
a47	0.0340298	0.0272776	0.037389	0.0634745	0.0874716	0.112144	0.252434	0.38578
a96	0.0143712	0.0124793	0.0155598	0.0244743	0.0374302	0.0735957	0.273713	0.548376
a90	0.00636869	0.00498703	0.00592565	0.00851028	0.0141599	0.0425188	0.233165	0.684364
a75	0.00393168	0.00319705	0.00420314	0.00703753	0.0120851	0.0376223	0.222593	0.70933
a21	0.00391925	0.00324451	0.00501111	0.00916384	0.0143953	0.0342758	0.223858	0.706132
a85	0.00711628	0.0045254	0.00530102	0.010428	0.0175761	0.0486749	0.226972	0.679407
a36	0.00583993	0.00462912	0.0053018	0.010634	0.0188173	0.0419298	0.242878	0.66997
a27	0.00205596	0.00146952	0.00164811	0.00226551	0.00511092	0.0171953	0.131674	0.83858
a82	0.0684309	0.0364874	0.0346777	0.0346697	0.0568814	0.0720663	0.187731	0.509055
a87	0.284089	0.120428	0.0966895	0.0610926	0.0582515	0.0576128	0.104947	0.216889
a23	0.264438	0.156713	0.12428	0.0743423	0.0606348	0.0618237	0.105431	0.152338
a87	0.114654	0.0696087	0.0618549	0.0472803	0.04009	0.0462993	0.167371	0.452842
</S>	0.0150125	0.00907196	0.0110958	0.0183647	0.0268066	0.0468707	0.193504	0.679274
