 	leur	fils	est	mort	</S>
a66	0.38509	0.239246	0.187165	0.112003	0.0764954
a87	0.316718	0.200558	0.177375	0.150325	0.155024
a23	0.616115	0.151604	0.0863393	0.0723706	0.0735714
a99	0.49607	0.165259	0.124296	0.111253	0.103122
a54	0.405753	0.169204	0.15133	0.138516	0.135197
a47	0.499857	0.235862	0.141193	0.0720418	0.0510465
a15	0.35225	0.272674	0.178665	0.107108	0.0893029
a37	0.293156	0.284679	0.202779	0.121884	0.097502
a54	0.194085	0.199842	0.187367	0.193205	0.225501
a85	0.140595	0.208362	0.218978	0.214915	0.21715
a5	0.220315	0.265696	0.205953	0.157852	0.150184
a37	0.13591	0.18236	0.194084	0.213297	0.274349
a96	0.0778306	0.122602	0.163996	0.248838	0.386733
a66	0.0487007	0.077109	0.119883	0.264962	0.489346
a75	0.018999	0.0322719	0.0617437	0.217236	0.66975
a85	0.0174897	0.036322	0.0772187	0.230278	0.638692
a27	0.00855106	0.0211928	0.0536101	0.205563	0.711083
a21	0.0284372	0.0411629	0.0711591	0.198165	0.661076
a12	0.021889	0.0335961	0.0639802	0.20884	0.671694
a83	0.0178773	0.0303495	0.0573241	0.193139	0.70131
a9	0.0128872	0.022753	0.0491842	0.18764	0.727536
a87	0.0945733	0.0913547	0.11261	0.222322	0.479141
a23	0.357127	0.168526	0.133544	0.14438	0.196424
a87	0.319813	0.161072	0.127402	0.139804	0.251909
</S>	0.0874144	0.0780845	0.0941175	0.180729	0.559655
