 	l'	oiseau	donne	la	becquée	à	ses	petits	</S>
a23	0.415244	0.253724	0.0581884	0.0262634	0.0258719	0.0356426	0.0396791	0.0500078	0.0953789
a13	0.423366	0.23727	0.0903125	0.0749724	0.0588622	0.0373517	0.0268164	0.0214914	0.0295569
a50	0.410904	0.291603	0.104943	0.0500596	0.0420725	0.0315434	0.0197157	0.0190423	0.0301172
a76	0.407533	0.349733	0.146605	0.0526632	0.0251568	0.00998693	0.00389532	0.0022846	0.00214193
a94	0.214369	0.266342	0.21627	0.120589	0.0805917	0.0439056	0.028323	0.0160557	0.0135541
a32	0.186715	0.24277	0.232713	0.155084	0.103057	0.0408046	0.0194367	0.00988822	0.00953004
a24	0.134325	0.17381	0.213097	0.193288	0.161618	0.0647283	0.0307422	0.0151177	0.0132742
a18	0.115902	0.132411	0.176437	0.191659	0.193937	0.0938442	0.0480811	0.0261208	0.0216084
a20	0.100274	0.104122	0.154057	0.195009	0.216874	0.111128	0.0571291	0.033485	0.0279223
a73	0.119071	0.135229	0.119073	0.120376	0.145252	0.110346	0.0932522	0.0852099	0.0721904
a7	0.120844	0.112288	0.108479	0.126444	0.16927	0.117657	0.0859128	0.0842898	0.0748147
a26	0.110599	0.0862293	0.0797345	0.10479	0.181492	0.161634	0.107768	0.0891357	0.0786166
a75	0.0676719	0.050494	0.0520153	0.0741557	0.171491	0.192353	0.142415	0.129217	0.120187
a41	0.0647558	0.0511161	0.0349723	0.0441226	0.0908368	0.132878	0.136115	0.197764	0.247438
a56	0.0315927	0.0230983	0.0212216	0.0363803	0.0957278	0.15913	0.16782	0.222562	0.242467
a0	0.0350692	0.0331994	0.035763	0.0460325	0.0864628	0.156108	0.182272	0.216065	0.209028
a75	0.0325358	0.0270236	0.0270178	0.0303272	0.0500909	0.0990998	0.168974	0.273689	0.291242
a73	0.0236869	0.0181682	0.0186512	0.0269201	0.0524151	0.106147	0.187258	0.281913	0.28484
a94	0.0212686	0.0118592	0.0117826	0.0160692	0.038643	0.0888019	0.181606	0.305791	0.324178
a76	0.0169036	0.00786164	0.006835	0.0108068	0.0329851	0.0735342	0.158798	0.308952	0.383323
a73	0.0372278	0.0189482	0.01544	0.0234225	0.0481334	0.0922748	0.169331	0.282655	0.312567
a94	0.0102012	0.00547778	0.00599428	0.0106683	0.027249	0.0610242	0.145171	0.318743	0.415471
a15	0.0153094	0.00673409	0.0062114	0.0120714	0.0343621	0.0706561	0.145918	0.301485	0.407252
a73	0.0373255	0.0187178	0.0148577	0.0208348	0.0447957	0.0818557	0.154899	0.271613	0.355101
a58	0.0129241	0.0062814	0.00442659	0.00515002	0.0129959	0.0309912	0.0786536	0.283486	0.565091
a84	0.00606532	0.00254484	0.00240458	0.00358617	0.00809432	0.0248985	0.0807892	0.285989	0.585628
a57	0.00715729	0.00312628	0.0023722	0.00299198	0.00603595	0.0163154	0.0559328	0.26718	0.638888
a87	0.00650304	0.00295872	0.00232002	0.00240359	0.0047246	0.0134612	0.0487905	0.261299	0.65754
a23	0.043521	0.0174837	0.0132955	0.0135588	0.0250577	0.0628171	0.133902	0.250628	0.439736
a87	0.0680995	0.0306096	0.0230475	0.0262261	0.0479566	0.0936647	0.157727	0.239433	0.313235
</S>	0.0461334	0.0183862	0.0128093	0.0119977	0.0222266	0.0860917	0.165933	0.250803	0.385619
