 	oboa	nous	a	humiliés	devant	les	beaux	parents	</S>
a87	0.14632	0.108504	0.12748	0.217955	0.131166	0.105163	0.0886021	0.0454536	0.0293551
a57	0.159293	0.120809	0.11603	0.115703	0.0667599	0.0770085	0.112853	0.118201	0.113342
a87	0.445141	0.121266	0.0858621	0.052463	0.0320943	0.0337132	0.0542306	0.0733563	0.101874
a23	0.438458	0.14102	0.0787149	0.0377692	0.0301826	0.0379023	0.0688643	0.0776276	0.0894606
a93	0.31636	0.13727	0.0810171	0.0401255	0.0416922	0.0560094	0.116678	0.112982	0.0978653
a13	0.468614	0.171753	0.100093	0.0572106	0.0431587	0.0354888	0.0325711	0.0451936	0.0459167
a93	0.467063	0.227424	0.118734	0.0464453	0.0318662	0.0267441	0.0262072	0.0294754	0.0260411
a90	0.387251	0.193538	0.123221	0.0488529	0.0404586	0.0409192	0.0438588	0.0596741	0.062226
a98	0.18883	0.176156	0.180149	0.120595	0.0875331	0.0670686	0.0525456	0.0577463	0.0693769
a73	0.173191	0.174105	0.211475	0.175062	0.102902	0.0546543	0.0316702	0.034194	0.0427471
a44	0.211919	0.160632	0.17966	0.148742	0.108667	0.0648782	0.0390518	0.0395845	0.0468652
a13	0.150007	0.163884	0.211871	0.169341	0.109184	0.0644036	0.0390833	0.0409143	0.051312
a90	0.145916	0.161827	0.211765	0.157083	0.0977356	0.0629743	0.0453291	0.0512145	0.066156
a25	0.118194	0.130235	0.186412	0.184888	0.135437	0.0872484	0.0505913	0.0490731	0.0579196
a56	0.120726	0.136389	0.185935	0.188652	0.125496	0.0813055	0.0484753	0.0510105	0.0620104
a11	0.106402	0.11627	0.199001	0.202022	0.135653	0.092509	0.0535476	0.045941	0.0486556
a24	0.0926837	0.0997794	0.185588	0.212774	0.140584	0.0992767	0.0575095	0.0512875	0.0605171
a83	0.0870256	0.0986624	0.166224	0.211627	0.140796	0.100558	0.0635935	0.0583689	0.0731444
a66	0.056016	0.0606147	0.10602	0.171532	0.158848	0.135566	0.106075	0.0968697	0.108458
a61	0.0426277	0.0408013	0.0686586	0.122835	0.159004	0.157127	0.135753	0.129913	0.143281
a11	0.0526642	0.0442252	0.0696721	0.127376	0.161782	0.162372	0.136047	0.127906	0.117957
a90	0.0395725	0.0297078	0.0414474	0.0792205	0.129411	0.152278	0.171507	0.190045	0.166811
a56	0.0275036	0.0215425	0.0306042	0.0574972	0.125372	0.161993	0.182049	0.198656	0.194782
a70	0.0207614	0.0169693	0.0284274	0.0650967	0.135702	0.165478	0.166472	0.195884	0.20521
a61	0.00847038	0.00632313	0.0102049	0.0222472	0.0528763	0.082729	0.140029	0.274985	0.402135
a0	0.0115476	0.00780075	0.0127565	0.0286164	0.0664431	0.092494	0.138055	0.25234	0.389947
a83	0.0045136	0.00288163	0.00446676	0.0118663	0.0314525	0.0521329	0.10951	0.265717	0.517459
a34	0.00346607	0.00248804	0.00447773	0.0119691	0.0340492	0.0561702	0.114774	0.265504	0.507101
a98	0.00786053	0.00541326	0.00979366	0.0247338	0.0537948	0.0755224	0.121292	0.235816	0.465773
a15	0.00488095	0.0043063	0.00696246	0.0150953	0.0346526	0.0505359	0.0874199	0.239119	0.557028
a44	0.00262977	0.00253344	0.0041858	0.00841521	0.0185004	0.0329973	0.0723063	0.234013	0.624419
a57	0.000697049	0.000535052	0.00110292	0.00309011	0.00878339	0.0189242	0.0496695	0.204641	0.712556
a26	0.00141386	0.000784551	0.00116245	0.00329656	0.0084669	0.0216007	0.0714175	0.254519	0.637338
a90	0.0230376	0.0113405	0.0100795	0.0122343	0.0180614	0.0360368	0.101619	0.271439	0.516153
a93	0.000887748	0.000512607	0.000634842	0.0017171	0.00367284	0.00930774	0.0435619	0.206707	0.732998
a18	0.000459204	0.000325062	0.000633275	0.00263327	0.00703313	0.0143893	0.0342499	0.170778	0.769499
a25	0.000823505	0.000587106	0.00098927	0.00268475	0.00738509	0.0187187	0.0441701	0.212666	0.711976
a87	0.00457283	0.00328727	0.00317728	0.00623443	0.010198	0.0225271	0.0652409	0.251976	0.632787
a23	0.0413274	0.0281898	0.0298772	0.0375618	0.0342573	0.0538534	0.118725	0.269004	0.387205
a87	0.0502481	0.0297509	0.0270229	0.0307455	0.029112	0.045654	0.0803492	0.229824	0.477293
</S>	0.0416728	0.021806	0.0212186	0.023625	0.0244549	0.0335333	0.061334	0.206452	0.565903
