 	cette	femme	est	criblée	de	dettes	</S>
a66	0.283817	0.233835	0.192244	0.106355	0.0758446	0.0613193	0.046585
a87	0.286524	0.202151	0.1702	0.105019	0.0922241	0.0886004	0.0552822
a23	0.38226	0.272793	0.185277	0.0721175	0.0314476	0.0312957	0.0248097
a97	0.406449	0.251451	0.191203	0.0717862	0.0322665	0.0262134	0.0206308
a87	0.382794	0.202321	0.156182	0.0929452	0.0614088	0.0531231	0.0512258
a97	0.476311	0.175221	0.127184	0.0784414	0.0534131	0.0453643	0.0440655
a87	0.488743	0.161178	0.102307	0.0677573	0.0608366	0.0583876	0.0607898
a97	0.498993	0.157554	0.1009	0.0675298	0.0597207	0.0590382	0.0562644
a30	0.490683	0.171594	0.100662	0.0653731	0.0578245	0.0569205	0.0569434
a99	0.386546	0.15784	0.109251	0.0870701	0.082909	0.0783738	0.0980107
a70	0.216812	0.18349	0.155162	0.131616	0.108241	0.0871248	0.117554
a53	0.249245	0.198479	0.165266	0.123358	0.0845742	0.0717972	0.107282
a20	0.284448	0.212035	0.162755	0.106503	0.0749448	0.0646915	0.0946223
a44	0.28739	0.229553	0.159409	0.0992676	0.0718276	0.0668776	0.0856749
a4	0.204566	0.193706	0.160255	0.117807	0.0897962	0.092005	0.141866
a70	0.172889	0.178824	0.167584	0.124932	0.0919497	0.10129	0.162531
a94	0.0923795	0.125989	0.139911	0.143061	0.118744	0.144958	0.234959
a24	0.0784419	0.127964	0.147833	0.147056	0.114378	0.142497	0.24183
a50	0.0281296	0.066521	0.0957119	0.119226	0.111058	0.175411	0.403943
a96	0.0222779	0.0660354	0.0961989	0.130194	0.126841	0.180716	0.377736
a35	0.0287365	0.0782089	0.110674	0.130829	0.124017	0.172192	0.355342
a36	0.0235251	0.0537798	0.0752883	0.0968401	0.124843	0.201	0.424723
a70	0.00808927	0.0237565	0.041424	0.0745925	0.121108	0.216802	0.514228
a98	0.00572181	0.014476	0.0267879	0.0573575	0.111203	0.232259	0.552195
a13	0.0159873	0.0415235	0.0582075	0.0787684	0.13332	0.245198	0.426996
a50	0.00142948	0.00333917	0.00636794	0.019283	0.0780625	0.24778	0.643737
a24	0.00210435	0.00339109	0.00613296	0.0213326	0.0957431	0.286784	0.584511
a96	0.00213271	0.00276751	0.00398773	0.015271	0.079764	0.295515	0.600562
a83	0.00139483	0.00207618	0.00366702	0.0130802	0.0626593	0.26575	0.651372
a13	0.000881637	0.00147954	0.00280649	0.012278	0.0682227	0.280601	0.633731
a9	0.00104519	0.00159488	0.00244537	0.0104795	0.0637744	0.274686	0.645974
a97	0.0148813	0.0164401	0.0180139	0.0339064	0.109159	0.33651	0.471089
a87	0.0847599	0.0677776	0.0569692	0.0654295	0.117585	0.271438	0.336041
a97	0.10771	0.108963	0.0971568	0.101762	0.128705	0.217381	0.238322
a87	0.131589	0.187391	0.176341	0.132013	0.118234	0.133421	0.12101
a97	0.111705	0.141571	0.134181	0.115622	0.135757	0.173551	0.187614
</S>	0.11954	0.153758	0.154254	0.127219	0.137989	0.148181	0.15906
