 	cette	liane	a	des	bosses	</S>
a66	0.43692	0.273566	0.139908	0.0823197	0.0503253	0.0169606
a87	0.465592	0.256729	0.149645	0.0829508	0.0333636	0.0117196
a23	0.532451	0.260595	0.110946	0.0480751	0.0243684	0.0235652
a96	0.507957	0.215113	0.101264	0.0613443	0.0470938	0.0672273
a83	0.506942	0.203468	0.0934476	0.0633972	0.0641956	0.06855
a93	0.36176	0.294244	0.179825	0.0861385	0.0490832	0.0289491
a79	0.219616	0.237709	0.252303	0.148795	0.0917023	0.0498756
a56	0.0987842	0.177191	0.291353	0.23186	0.136604	0.0642077
a31	0.104227	0.156003	0.253616	0.237129	0.149506	0.0995181
a18	0.112417	0.160015	0.257602	0.222494	0.141568	0.105904
a31	0.0638078	0.0824305	0.180848	0.259539	0.239936	0.173439
a88	0.0594207	0.0690703	0.132688	0.223294	0.267575	0.247953
a61	0.0256653	0.0256058	0.0499035	0.130194	0.306347	0.462285
a75	0.0241073	0.0199188	0.0321801	0.0900003	0.28029	0.553503
a85	0.0117006	0.0100707	0.0188486	0.0613436	0.240746	0.65729
a15	0.00748409	0.00574359	0.0090312	0.041581	0.175679	0.760481
a79	0.00471967	0.00422134	0.00745201	0.0305603	0.149316	0.803731
a44	0.00420911	0.00424268	0.00854016	0.0340696	0.149752	0.799187
a94	0.00309779	0.00211968	0.00285289	0.0120305	0.0876589	0.89224
a57	0.00441311	0.00353709	0.00652325	0.0230725	0.0871786	0.875275
a3	0.0598239	0.0481579	0.0563159	0.0889595	0.15473	0.592013
a87	0.303314	0.151439	0.084887	0.074587	0.107552	0.278221
a23	0.31067	0.246441	0.153147	0.0992688	0.0895819	0.100891
a87	0.222091	0.159075	0.10083	0.0937148	0.141735	0.282554
a23	0.0664581	0.0392523	0.0352575	0.0718055	0.174734	0.612493
a99	0.117057	0.0854358	0.06942	0.101464	0.195339	0.431283
a97	0.109879	0.0855987	0.0909489	0.134422	0.196991	0.38216
</S>	0.0742848	0.0583939	0.082651	0.146253	0.200163	0.438255
