 	le	vent	s'	apaise	</S>
a23	0.513043	0.220389	0.107315	0.0720808	0.0871727
a87	0.508792	0.203438	0.104375	0.0940657	0.0893295
a10	0.389217	0.217902	0.131308	0.123268	0.138305
a57	0.302741	0.193943	0.123132	0.163383	0.2168
a87	0.241064	0.164423	0.133905	0.18432	0.276289
a23	0.26951	0.198744	0.16274	0.169327	0.199679
a20	0.189979	0.138623	0.114627	0.260494	0.296277
a58	0.369306	0.281015	0.150218	0.140112	0.0593488
a84	0.369962	0.369136	0.169128	0.0720905	0.0196837
a54	0.244002	0.300465	0.251672	0.153935	0.0499264
a14	0.294531	0.285752	0.211295	0.142853	0.0655684
a44	0.411024	0.265123	0.174383	0.110143	0.039326
a57	0.327407	0.233585	0.218835	0.163298	0.0568752
a38	0.195473	0.18731	0.242105	0.258115	0.116998
a41	0.216121	0.184871	0.21283	0.254315	0.131864
a35	0.266239	0.168193	0.172236	0.232662	0.160671
a76	0.181117	0.109522	0.162041	0.284548	0.262772
a90	0.147572	0.0905997	0.143336	0.305781	0.312711
a57	0.125411	0.0887311	0.128799	0.289347	0.367711
a53	0.0122636	0.013617	0.040212	0.297666	0.636241
a90	0.0185449	0.0237538	0.053458	0.279523	0.62472
a76	0.0223964	0.0282532	0.0601398	0.252477	0.636734
a69	0.0239056	0.0323983	0.0753088	0.302115	0.566272
a58	0.0174864	0.0200547	0.0452605	0.272325	0.644874
a87	0.00945408	0.00641515	0.021181	0.23281	0.73014
</S>	0.0149999	0.0134666	0.0476774	0.259832	0.664024
