 	mon	père	est	déjà	arrivé	</S>
a66	0.416738	0.2193	0.155344	0.101341	0.0594412	0.0478366
a87	0.567861	0.198559	0.103659	0.0603611	0.0297727	0.0397867
a97	0.53024	0.196896	0.0849769	0.0535451	0.0486268	0.0857148
a87	0.510774	0.225298	0.11302	0.0546555	0.0390681	0.057184
a97	0.527479	0.218465	0.103088	0.0500404	0.0407273	0.0602007
a87	0.558552	0.200535	0.0945469	0.0483076	0.0408755	0.057183
a97	0.50346	0.212823	0.100049	0.0547534	0.0489997	0.0799152
a79	0.5474	0.200599	0.102967	0.0532414	0.0387635	0.0570288
a54	0.431029	0.212101	0.139435	0.0782806	0.058081	0.0810737
a47	0.361432	0.261804	0.17419	0.0807836	0.0569657	0.0648243
a92	0.191218	0.211218	0.215628	0.147361	0.10957	0.125005
a85	0.204752	0.24179	0.212945	0.136826	0.102176	0.101511
a92	0.137836	0.2214	0.207415	0.151012	0.135267	0.147069
a37	0.132396	0.193235	0.211605	0.161249	0.142706	0.15881
a43	0.092603	0.138977	0.161347	0.148469	0.192885	0.265719
a25	0.0204929	0.0368737	0.0682861	0.126536	0.294993	0.452818
a92	0.00192784	0.00343428	0.00995928	0.0400319	0.263948	0.680698
a21	0.00755869	0.0134207	0.0328788	0.0911443	0.313299	0.541699
a6	0.00631516	0.0124275	0.030385	0.0882063	0.316275	0.546391
a36	0.00373909	0.00691135	0.018828	0.0647635	0.288054	0.617704
a2	0.00248618	0.00328609	0.00747597	0.0318365	0.243158	0.711757
a57	0.0176969	0.0254476	0.0430971	0.0879778	0.274451	0.551329
a97	0.11993	0.0706421	0.0664536	0.102917	0.236096	0.40396
a3	0.33868	0.156971	0.101987	0.0943602	0.130184	0.177819
a10	0.227624	0.129215	0.0991048	0.110651	0.170337	0.263068
a97	0.201626	0.107141	0.0824101	0.0970508	0.178749	0.333023
</S>	0.136096	0.0845539	0.0745267	0.0910968	0.190165	0.423562
