 	la	manière	dont	il	avale	les	aliments	est	mauvaise	</S>
a66	0.252248	0.16377	0.105869	0.0916125	0.0886346	0.0712104	0.0709169	0.0692392	0.0550346	0.0314645
a87	0.0723799	0.0389554	0.0393552	0.0794284	0.119722	0.130321	0.20398	0.157536	0.104756	0.0535663
a23	0.286405	0.235046	0.183826	0.0831109	0.0402657	0.0219394	0.0308097	0.0339463	0.0411854	0.0434655
a62	0.250984	0.286723	0.272874	0.0722156	0.0222728	0.0155992	0.0162969	0.0155729	0.0211345	0.026327
a31	0.357401	0.281585	0.17811	0.0762418	0.0371389	0.0191103	0.0206662	0.0147763	0.00765906	0.00731164
a21	0.217416	0.221495	0.210842	0.166209	0.081726	0.03813	0.0288861	0.017952	0.00993474	0.00740909
a12	0.131816	0.187122	0.246093	0.210462	0.0950743	0.050212	0.0382938	0.0201213	0.0120291	0.00877705
a21	0.151512	0.201311	0.19331	0.164037	0.112463	0.0772757	0.0498785	0.0237012	0.0149252	0.0115858
a85	0.0931477	0.110412	0.12084	0.127969	0.127583	0.173396	0.127146	0.0650599	0.0352051	0.0192414
a98	0.0244271	0.0299914	0.0483256	0.0827184	0.120023	0.235268	0.203858	0.128194	0.0748744	0.0523205
a79	0.0255854	0.0207239	0.0329919	0.0553766	0.0787048	0.174779	0.170265	0.17166	0.140295	0.129618
a7	0.0181211	0.0148011	0.0235863	0.0447626	0.0631678	0.12764	0.130364	0.165283	0.193245	0.21903
a37	0.0157351	0.0105063	0.0113366	0.016455	0.0272556	0.0692277	0.0809339	0.149872	0.246705	0.371972
a47	0.00572364	0.00315471	0.0030401	0.00324701	0.00548328	0.0200521	0.0271529	0.0852019	0.233579	0.613365
a62	0.00352482	0.00129573	0.00084002	0.00100124	0.00194699	0.00953102	0.0141631	0.0729142	0.264612	0.630171
a88	0.00124018	0.00071378	0.000439156	0.000845638	0.00195939	0.0094961	0.0187132	0.0782806	0.287838	0.600474
a62	0.000770119	0.000394335	0.000227268	0.000470357	0.00103189	0.00386596	0.00831513	0.043756	0.220947	0.720222
a88	0.000755339	0.000479348	0.000315709	0.000668098	0.00157243	0.00525843	0.0124593	0.0525548	0.235266	0.690671
a71	0.00128547	0.000730567	0.000398581	0.000969678	0.00185185	0.00482158	0.00918717	0.037885	0.160441	0.782429
a9	0.00939068	0.00475365	0.00233699	0.00525733	0.00938512	0.0206656	0.0304867	0.0920934	0.227719	0.597912
a87	0.0654259	0.0294882	0.0170989	0.0185689	0.023516	0.0342003	0.0429763	0.0941727	0.198521	0.476032
a23	0.202021	0.102535	0.0570603	0.0458636	0.0483936	0.0600437	0.0726832	0.0958179	0.128158	0.187423
a87	0.0827685	0.0404649	0.0223505	0.0206694	0.0282714	0.0501915	0.0698257	0.0967432	0.17914	0.409575
</S>	0.0078222	0.00465433	0.00326586	0.00573494	0.0129735	0.0364257	0.0546331	0.0812918	0.182676	0.610523
