 	tourne	le	poisson	que	tu	grilles	là	</S>
a66	0.246052	0.172412	0.125314	0.12002	0.172052	0.095733	0.0403834	0.0280325
a87	0.351014	0.14713	0.116229	0.162869	0.160317	0.0385739	0.0139402	0.00992801
a23	0.43583	0.261603	0.152131	0.0758534	0.0395774	0.0170421	0.00964594	0.0083169
a87	0.318387	0.311971	0.18346	0.0806184	0.0433777	0.0209923	0.019188	0.0220052
a23	0.339099	0.318488	0.177596	0.0801469	0.0437161	0.0163783	0.0122356	0.0123409
a5	0.255322	0.254022	0.159979	0.0936153	0.0962876	0.054506	0.0417288	0.0445385
a12	0.188556	0.237826	0.218991	0.123327	0.0760192	0.0809164	0.0426851	0.031679
a43	0.17838	0.194518	0.224797	0.171005	0.094709	0.0739591	0.038551	0.0240811
a75	0.183386	0.186214	0.206893	0.175885	0.106383	0.0785743	0.0368238	0.0258409
a5	0.109976	0.123588	0.195205	0.255696	0.171328	0.0685468	0.0412463	0.0344138
a21	0.173702	0.145739	0.178924	0.224347	0.147466	0.0561282	0.0374899	0.0362031
a5	0.160571	0.1085	0.135751	0.247524	0.176577	0.069747	0.0513238	0.0500057
a85	0.103806	0.0592341	0.072867	0.200445	0.23865	0.110669	0.103397	0.110932
a6	0.0477582	0.0311257	0.0393367	0.087937	0.112864	0.113235	0.228589	0.339154
a85	0.0320535	0.0156474	0.019126	0.0583585	0.143148	0.195259	0.254465	0.281943
a92	0.00802076	0.004106	0.00527237	0.0145443	0.0602501	0.182433	0.30784	0.417533
a56	0.00397352	0.00201992	0.00245189	0.00596129	0.0399301	0.180647	0.335237	0.429779
a93	0.00375839	0.00204708	0.00207644	0.00297244	0.0157982	0.0883326	0.307992	0.577023
a4	0.00131238	0.000764045	0.000768735	0.00103432	0.0055827	0.0516042	0.298636	0.640298
a13	0.000596523	0.000255071	0.000242406	0.000402203	0.00250338	0.0331721	0.306696	0.656132
a57	0.000835608	0.0003621	0.000372899	0.000823687	0.00464838	0.0348508	0.311584	0.646523
a3	0.0134582	0.00774939	0.00996696	0.0121405	0.0157399	0.0468774	0.305947	0.588121
a97	0.153905	0.113561	0.13148	0.117675	0.0776713	0.0616382	0.154548	0.189521
a87	0.194523	0.138342	0.132103	0.129108	0.125255	0.072794	0.107077	0.100799
a23	0.193853	0.122495	0.0949148	0.0856966	0.098353	0.103413	0.142745	0.15853
a87	0.0567263	0.0350876	0.0294298	0.0283571	0.0342061	0.0969544	0.27769	0.441549
a23	0.0247928	0.0141102	0.0122149	0.011366	0.0239804	0.0717404	0.277537	0.564259
a99	0.0360178	0.023348	0.0234599	0.0301482	0.0621961	0.104537	0.256213	0.46408
a97	0.0434567	0.0222815	0.0227844	0.0428103	0.0869657	0.120045	0.255001	0.406656
</S>	0.0468072	0.0184939	0.0155297	0.0231506	0.0430824	0.0757402	0.259657	0.517539
