 	cet	enfant	veut	partir	à	brazaville	clandestinement	</S>
a66	0.407837	0.219332	0.146515	0.0962945	0.0617438	0.0386911	0.0163506	0.0132362
a87	0.517078	0.18234	0.11899	0.0801205	0.0503834	0.0274008	0.0117514	0.0119354
a23	0.404582	0.206474	0.113884	0.0682656	0.0510875	0.0537194	0.0487393	0.0532488
a97	0.350766	0.182417	0.110213	0.0745823	0.0637638	0.0712512	0.0657769	0.0812296
a99	0.332285	0.188243	0.137174	0.0900171	0.0648969	0.0600444	0.0594026	0.0679373
a53	0.278177	0.163882	0.143863	0.109351	0.0882204	0.0834395	0.063147	0.0699213
a79	0.248424	0.241261	0.209572	0.143072	0.0794297	0.037923	0.0196994	0.0206179
a54	0.198863	0.220017	0.215254	0.184421	0.101497	0.0438451	0.0174956	0.0186061
a79	0.114981	0.171178	0.192425	0.191601	0.117036	0.0779712	0.0608226	0.0739844
a90	0.123398	0.198839	0.203661	0.178165	0.0994	0.0682333	0.0596233	0.0686804
a98	0.104076	0.174884	0.206937	0.194623	0.101647	0.073975	0.0661899	0.0776673
a47	0.113408	0.208711	0.217005	0.184208	0.107317	0.0748381	0.0465316	0.0479802
a36	0.0765782	0.146227	0.215723	0.227745	0.144051	0.0868445	0.0479971	0.0548344
a90	0.0604539	0.0984903	0.143465	0.18947	0.140792	0.117573	0.103407	0.14635
a25	0.0529627	0.0775081	0.113396	0.169585	0.162704	0.161448	0.11888	0.143517
a79	0.0225654	0.0433914	0.078647	0.131762	0.174888	0.214644	0.172812	0.16129
a44	0.0132262	0.0205342	0.0408274	0.0836532	0.141911	0.230503	0.243305	0.22604
a92	0.00807844	0.0106349	0.0193702	0.0441951	0.0975874	0.207088	0.299783	0.313262
a37	0.00193453	0.00349871	0.00858422	0.0223715	0.0604474	0.158685	0.351611	0.392868
a21	0.00147434	0.00204777	0.00325002	0.00707007	0.0206625	0.0841835	0.366316	0.514996
a5	0.00112171	0.00150849	0.00245833	0.00507753	0.0136826	0.0598816	0.343346	0.572923
a92	0.000737257	0.00122037	0.00205477	0.00405268	0.0108979	0.0451453	0.324993	0.610899
a47	0.000454017	0.000872637	0.00153182	0.00313881	0.0098497	0.0420354	0.320238	0.62188
a79	0.000274448	0.000522151	0.000831221	0.00178749	0.00642496	0.0342082	0.300117	0.655834
a37	0.000128679	0.00025181	0.000433678	0.00105794	0.00423993	0.0250785	0.292017	0.676792
a43	0.000591904	0.00112561	0.00159941	0.00283759	0.00901487	0.0396178	0.298487	0.646726
a11	0.0017039	0.00339732	0.00527298	0.0110648	0.0321277	0.106548	0.310372	0.529513
a10	0.0061701	0.00752112	0.00879029	0.0173342	0.0423309	0.123725	0.31278	0.481348
a87	0.071814	0.0457823	0.0330246	0.0428988	0.0721654	0.144787	0.271912	0.317616
a23	0.308809	0.143104	0.0758529	0.0744596	0.0825621	0.094823	0.104959	0.11543
a10	0.0406993	0.0201673	0.0114973	0.0114111	0.019094	0.0569827	0.29596	0.544189
a97	0.00461534	0.00291998	0.0026805	0.00404524	0.00944335	0.0470398	0.343793	0.585462
</S>	0.00797993	0.00472857	0.00427154	0.00576601	0.0115876	0.056853	0.340288	0.568525
