 	la	maison	sur	pilotis	avance	sur	le	fleuve	</S>
a23	0.193839	0.117209	0.0951151	0.151693	0.173562	0.119758	0.071899	0.0433482	0.0335764
a87	0.286054	0.196379	0.152447	0.147057	0.0810553	0.0573678	0.0352802	0.025331	0.0190286
a23	0.136235	0.147896	0.164866	0.198661	0.0954885	0.0814424	0.0658402	0.0578029	0.0517681
a83	0.215966	0.26519	0.205506	0.144305	0.0581796	0.0389127	0.0257518	0.0240978	0.0220904
a62	0.378019	0.350683	0.141797	0.0496832	0.0229379	0.0176662	0.0113675	0.0139104	0.0139356
a41	0.274558	0.407404	0.202461	0.0724474	0.017363	0.00905885	0.00506358	0.00573516	0.00590965
a30	0.206345	0.304484	0.225876	0.125148	0.0470706	0.0311092	0.0207196	0.0196635	0.0195837
a73	0.137207	0.168356	0.168407	0.163672	0.102412	0.0796463	0.0648767	0.0597198	0.0557032
a44	0.134162	0.130813	0.128273	0.139714	0.1437	0.0929177	0.0790707	0.0761517	0.0751975
a27	0.151692	0.158513	0.167384	0.160674	0.120074	0.0750902	0.057829	0.0543822	0.0543608
a11	0.103366	0.0986876	0.122222	0.159235	0.139183	0.0938007	0.0828809	0.093906	0.10672
a94	0.0967439	0.0990547	0.148021	0.206213	0.139576	0.0910119	0.0698997	0.070664	0.0788156
a35	0.093582	0.0956893	0.157732	0.235559	0.143143	0.0926802	0.0608123	0.0578804	0.0629217
a90	0.0915538	0.0873249	0.127179	0.198512	0.158128	0.114931	0.0802146	0.0708992	0.071257
a38	0.0990235	0.0861747	0.102265	0.17681	0.184877	0.129679	0.0850488	0.0692494	0.0668731
a90	0.055768	0.0494631	0.0651202	0.133923	0.206435	0.163153	0.11823	0.100605	0.107302
a92	0.07235	0.05733	0.0560844	0.0902231	0.202921	0.165325	0.130714	0.112668	0.112384
a21	0.0698184	0.0531593	0.055264	0.0913536	0.19237	0.147377	0.126279	0.120866	0.143512
a41	0.0739786	0.058934	0.0677845	0.110266	0.167237	0.137535	0.12473	0.123507	0.136028
a32	0.0556706	0.045624	0.0494183	0.0725141	0.143153	0.127524	0.135328	0.158492	0.212276
a71	0.0468149	0.0357602	0.0390252	0.0545966	0.165807	0.140918	0.153384	0.155636	0.208058
a38	0.0588702	0.0436837	0.0497227	0.0743806	0.213433	0.125733	0.139433	0.124602	0.170141
a21	0.0606621	0.0397243	0.0405393	0.0578086	0.169487	0.11188	0.138899	0.155749	0.225251
a34	0.0429235	0.0282743	0.0270502	0.0396219	0.110785	0.112622	0.15004	0.208168	0.280515
a21	0.0446929	0.0372694	0.0387424	0.0493266	0.113437	0.106572	0.151937	0.191682	0.26634
a43	0.0331951	0.0254425	0.0255607	0.03428	0.0896625	0.0949749	0.146997	0.220364	0.329524
a11	0.0240897	0.0212323	0.0285344	0.0427599	0.0916042	0.086696	0.136818	0.215523	0.352743
a21	0.019946	0.0145892	0.0182519	0.0310062	0.0858946	0.0817016	0.141595	0.22873	0.378285
a41	0.0316963	0.025692	0.0268398	0.0330061	0.0573393	0.0586338	0.111037	0.208386	0.44737
a35	0.0193906	0.0153513	0.0173958	0.0220808	0.03524	0.0425515	0.0929924	0.217742	0.537255
a66	0.0335854	0.0242866	0.0267591	0.0326604	0.0597041	0.0548351	0.105724	0.20907	0.453375
a54	0.0162037	0.0109757	0.0144855	0.024541	0.0727021	0.0530208	0.117357	0.209226	0.481489
a14	0.0299878	0.0205881	0.0240999	0.0343123	0.0840191	0.0643562	0.120386	0.207882	0.414368
a73	0.0314793	0.0211666	0.0230129	0.0264537	0.0667497	0.0613459	0.118038	0.219462	0.432292
a57	0.011982	0.00802049	0.0111921	0.0197241	0.045825	0.0469551	0.112145	0.231273	0.512882
a87	0.0129136	0.00730885	0.0086378	0.0183039	0.0309359	0.0438702	0.112325	0.22434	0.541364
</S>	0.0203345	0.0109111	0.00907099	0.0133575	0.0302077	0.0561538	0.128214	0.249009	0.482742
