 	si	je	refuse	de	préparer	qui	boudera	contre	moi	</S>
a66	0.206454	0.144478	0.147159	0.276177	0.157439	0.0354982	0.0224192	0.00643891	0.00221207	0.00172435
a87	0.314555	0.185434	0.178939	0.144256	0.0748707	0.0323038	0.0236732	0.0203116	0.0122814	0.0133749
a23	0.298395	0.214969	0.197512	0.159239	0.0560049	0.0184646	0.015286	0.0121181	0.0123327	0.0156785
a53	0.230448	0.208779	0.193936	0.124142	0.0680795	0.0410646	0.0418338	0.0279923	0.025457	0.0382678
a15	0.228875	0.189047	0.176543	0.192078	0.111737	0.0376047	0.0371999	0.0135791	0.00673734	0.00659982
a79	0.131497	0.154653	0.156944	0.203398	0.183443	0.0730218	0.0637982	0.0172366	0.00780233	0.00820467
a12	0.141161	0.174889	0.157906	0.154102	0.137434	0.0935237	0.108957	0.0204121	0.00642172	0.00519372
a96	0.175334	0.18707	0.159241	0.146385	0.116034	0.0734166	0.101272	0.0216602	0.0103066	0.00928103
a18	0.152599	0.162859	0.153972	0.152283	0.135132	0.0824284	0.111109	0.0243522	0.0131359	0.0121303
a75	0.08426	0.103254	0.131984	0.127635	0.15513	0.119712	0.158527	0.0507411	0.0334212	0.0353341
a98	0.0440381	0.0490033	0.0676736	0.0822002	0.114756	0.153654	0.283563	0.104819	0.0548478	0.0454452
a85	0.0253152	0.0344036	0.053723	0.0647402	0.10105	0.129495	0.230008	0.151808	0.10874	0.100716
a47	0.0232096	0.0303019	0.050307	0.0639867	0.118965	0.145991	0.223283	0.138171	0.107048	0.0987375
a7	0.0279795	0.0346552	0.0675303	0.108043	0.189877	0.154383	0.178285	0.0899718	0.073402	0.0758739
a54	0.0211667	0.0234986	0.0395617	0.0534886	0.115114	0.139847	0.192278	0.14007	0.138609	0.136366
a36	0.0253255	0.0261521	0.030546	0.036518	0.0800594	0.0906494	0.121316	0.128491	0.210674	0.250269
a2	0.0158707	0.015295	0.015716	0.0143915	0.0348578	0.0610531	0.0924117	0.153108	0.283126	0.31417
a57	0.0169271	0.016914	0.0210616	0.0156379	0.0211596	0.0233787	0.0354458	0.0972599	0.309971	0.442244
a87	0.0268611	0.023027	0.028495	0.0308736	0.0479147	0.0432536	0.0633925	0.136654	0.271633	0.327895
a23	0.0667834	0.0417722	0.048774	0.0635666	0.10608	0.111107	0.162751	0.12626	0.133133	0.139773
a30	0.0130209	0.0118022	0.018335	0.0310653	0.0751894	0.105955	0.150062	0.176988	0.213284	0.204298
a44	0.00511151	0.00597503	0.011764	0.019015	0.0412015	0.0803668	0.134352	0.194188	0.263654	0.244371
a43	0.00421453	0.00455036	0.0104302	0.0182862	0.0559456	0.104318	0.158636	0.214683	0.22388	0.205056
a36	0.00299297	0.00294917	0.00593617	0.011651	0.0321896	0.0649345	0.1215	0.187936	0.259774	0.310137
a56	0.00166761	0.00151983	0.00290596	0.00690676	0.0245706	0.0434692	0.0835277	0.165286	0.296203	0.373944
a11	0.0010069	0.000913964	0.00152583	0.00469106	0.0191999	0.0419688	0.0810063	0.176425	0.31329	0.359973
a75	0.00207296	0.00166255	0.00214339	0.00451025	0.0138805	0.024944	0.0447177	0.123585	0.324425	0.458059
a85	0.000397927	0.000407319	0.000682813	0.0013252	0.00644955	0.0183654	0.0352737	0.10933	0.355805	0.471963
a92	0.000348511	0.00045727	0.000817178	0.00135468	0.00698707	0.0199514	0.0347364	0.110982	0.329281	0.495084
a85	0.000711294	0.000654463	0.000993131	0.00132357	0.00489893	0.016294	0.0297169	0.0944972	0.342169	0.508741
a92	0.000407513	0.000435233	0.000658318	0.000614705	0.00253835	0.00848651	0.0147018	0.0653534	0.3333	0.573504
a37	0.000829888	0.00074598	0.00109875	0.00103761	0.00303409	0.00690597	0.0114689	0.0504819	0.311022	0.613375
a36	0.00198682	0.00172432	0.00265941	0.00167515	0.00342833	0.00719014	0.0102294	0.0524578	0.317187	0.601462
a27	0.00522622	0.00548567	0.00908808	0.00669856	0.0127752	0.0247332	0.0289611	0.0966987	0.32639	0.483943
a57	0.109615	0.0812088	0.0784283	0.0551517	0.0435722	0.048323	0.0527789	0.10591	0.199048	0.225964
a87	0.22187	0.130125	0.117376	0.0976538	0.0558614	0.0409386	0.0437112	0.0687421	0.109161	0.114561
a23	0.258066	0.155829	0.153681	0.134918	0.0664851	0.036945	0.0322664	0.0421953	0.0593665	0.0602476
a99	0.0448645	0.0244721	0.0195499	0.0100567	0.0066772	0.00963799	0.0151971	0.069636	0.313297	0.486612
a38	0.0159144	0.00897893	0.00811954	0.00594261	0.00742413	0.0149273	0.0284131	0.0906094	0.321097	0.498573
</S>	0.00856147	0.0056571	0.00603426	0.00526786	0.00757657	0.0159761	0.031564	0.0920761	0.312137	0.515149
