 	il	est	bête	</S>
a85	0.592454	0.223112	0.086667	0.0977668
a87	0.496675	0.210513	0.13129	0.161522
a23	0.55372	0.236067	0.107952	0.102261
a20	0.381507	0.192831	0.161523	0.264139
a73	0.419368	0.259836	0.213901	0.106895
a44	0.532749	0.328602	0.0986299	0.040019
a26	0.48251	0.348189	0.11521	0.0540917
a11	0.429713	0.363772	0.141982	0.0645324
a24	0.346612	0.331069	0.215168	0.107151
a83	0.218069	0.231937	0.292881	0.257113
a9	0.258158	0.230584	0.264268	0.24699
a38	0.196382	0.217631	0.276572	0.309414
a12	0.160613	0.200107	0.319489	0.319791
a88	0.0770889	0.100568	0.324474	0.497869
a71	0.121829	0.0991603	0.216019	0.562991
a24	0.173839	0.123111	0.202923	0.500128
a32	0.0280377	0.0459259	0.204135	0.721901
a96	0.0430073	0.0516045	0.184494	0.720894
a62	0.0361308	0.050825	0.202271	0.710773
a24	0.0197146	0.0385828	0.193868	0.747835
a9	0.0158935	0.0330385	0.195334	0.755734
a87	0.0220624	0.0309665	0.148265	0.798706
</S>	0.0176002	0.0286249	0.132265	0.82151
