 	j'	aime	plaisanter	avec	mes	amis	</S>
a66	0.484937	0.253701	0.111352	0.0691658	0.0471977	0.0202226	0.0134233
a97	0.435808	0.123529	0.0723054	0.0621545	0.0869932	0.101326	0.117884
a3	0.353561	0.152072	0.124915	0.052395	0.0844721	0.094275	0.13831
a97	0.430767	0.203148	0.169639	0.0402117	0.040548	0.0454105	0.0702757
a3	0.405536	0.202222	0.171746	0.0533193	0.0490398	0.0470889	0.0710478
a97	0.391021	0.1853	0.154949	0.0578259	0.0592396	0.0585131	0.093151
a3	0.453456	0.202083	0.0930166	0.0410327	0.0518527	0.0604062	0.0981528
a97	0.429514	0.229271	0.0933517	0.0447935	0.0464626	0.0577189	0.0988886
a99	0.366767	0.18845	0.103208	0.0560384	0.0639856	0.0781496	0.143401
a3	0.525009	0.234908	0.0425925	0.0308185	0.0358006	0.049207	0.0816644
a97	0.512017	0.232918	0.048857	0.0352365	0.0391766	0.0508949	0.0808999
a3	0.452411	0.233993	0.0607908	0.0434536	0.0481299	0.0614917	0.0997302
a97	0.410003	0.231114	0.0670734	0.0440498	0.0530932	0.0728671	0.1218
a3	0.392894	0.205921	0.0656915	0.0452232	0.0595297	0.084901	0.14584
a99	0.402506	0.231782	0.0635889	0.0438962	0.0551793	0.0777101	0.125337
a83	0.463164	0.239416	0.0516938	0.0383417	0.0455116	0.0639051	0.0979677
a50	0.40642	0.35072	0.080298	0.0289911	0.0291823	0.040942	0.0634464
a62	0.338144	0.389447	0.163971	0.0363092	0.0223635	0.0219866	0.0277791
a83	0.325303	0.406085	0.198921	0.0323169	0.0134588	0.0108338	0.0130816
a50	0.295434	0.394993	0.225985	0.0394464	0.0158519	0.0130157	0.0152746
a62	0.268696	0.386136	0.259155	0.044468	0.0145197	0.0119492	0.0150756
a47	0.263212	0.344656	0.273565	0.0693335	0.0196627	0.0131009	0.0164708
a75	0.165479	0.231909	0.355131	0.142098	0.0457264	0.0269619	0.0326951
a79	0.185052	0.291235	0.301177	0.11336	0.0445904	0.02988	0.0347052
a37	0.146984	0.257978	0.303698	0.143592	0.060569	0.0424321	0.0447463
a90	0.14481	0.228669	0.322342	0.162384	0.0651888	0.0367925	0.0398134
a56	0.123071	0.215578	0.306769	0.165379	0.0810198	0.0542656	0.0539187
a43	0.0672876	0.12483	0.286915	0.219324	0.124063	0.0863939	0.0911871
a56	0.0473785	0.0875944	0.238412	0.242163	0.164339	0.107627	0.112485
a93	0.0373645	0.0618295	0.204732	0.244652	0.190366	0.131549	0.129508
a4	0.0237525	0.0393945	0.166765	0.247458	0.228521	0.157299	0.13681
a75	0.0108204	0.0164825	0.102112	0.208403	0.250707	0.219991	0.191484
a5	0.00652089	0.0111539	0.0744411	0.182125	0.220281	0.249469	0.256009
a36	0.00628359	0.00920637	0.0632368	0.128082	0.198897	0.286206	0.308089
a43	0.00189042	0.00271261	0.0220519	0.0600397	0.143431	0.356347	0.413528
a62	0.000464023	0.000560486	0.00463479	0.0215112	0.110443	0.367399	0.494988
a88	0.000951889	0.00116646	0.00651666	0.0266912	0.126853	0.385867	0.451954
a0	0.00027332	0.000312434	0.00294742	0.0170491	0.0998132	0.361094	0.518511
a12	0.00129224	0.00113296	0.00361953	0.0280356	0.136351	0.31804	0.511528
a75	0.000167591	0.000230662	0.0017644	0.0131015	0.0870255	0.321495	0.576215
a6	0.000137157	0.000258855	0.00318799	0.0168001	0.0956495	0.327192	0.556774
a36	6.95948e-05	0.000134173	0.00142293	0.0077249	0.0518394	0.279092	0.659717
a26	0.000127825	0.000152156	0.000654306	0.00397667	0.0386694	0.270479	0.685941
a11	0.00511293	0.00410063	0.00574067	0.0276712	0.12168	0.299776	0.535918
a18	0.00947224	0.00748537	0.0116276	0.0368875	0.113371	0.275678	0.545477
a27	0.0167669	0.0133246	0.0171698	0.0398714	0.101104	0.260445	0.551318
a82	0.046804	0.0287564	0.0297003	0.0563526	0.142026	0.2728	0.423561
a3	0.0603259	0.0231481	0.0232712	0.033018	0.11256	0.261817	0.485859
a97	0.0337953	0.0169432	0.0239869	0.0403271	0.137614	0.300109	0.447224
a99	0.0282724	0.0199676	0.0448261	0.0549113	0.162303	0.300181	0.389538
a57	0.00962716	0.0090822	0.027933	0.0350212	0.114371	0.333304	0.470661
</S>	0.0106376	0.0102517	0.0256301	0.0272462	0.0911866	0.319477	0.515571
