 	les	jeunes	gens	ont	implanté	une	église	ici	dans	le	village	</S>
a66	0.120072	0.118123	0.136486	0.225735	0.190656	0.101873	0.0548605	0.0206828	0.0105124	0.00702654	0.00637995	0.00759239
a87	0.307629	0.207966	0.121609	0.112398	0.103896	0.0570839	0.0203928	0.0124154	0.0116053	0.0109221	0.014051	0.0200295
a23	0.354376	0.216101	0.137328	0.107974	0.0860661	0.0348697	0.0144284	0.00740679	0.00645616	0.00675074	0.0105429	0.0177
a83	0.320569	0.15661	0.0947821	0.0826376	0.0797255	0.0357916	0.0295776	0.0274175	0.0277062	0.0271996	0.0395428	0.0784405
a50	0.171403	0.0987096	0.0836638	0.125844	0.137437	0.077149	0.0502123	0.0360609	0.0376397	0.0414984	0.0586306	0.0817514
a21	0.213666	0.184275	0.126934	0.154452	0.160675	0.0881281	0.0337664	0.0111785	0.00755876	0.00598261	0.00640567	0.0069783
a12	0.165678	0.142148	0.0983735	0.136784	0.183985	0.128363	0.069832	0.0250399	0.0159979	0.0107441	0.0105721	0.0124822
a18	0.17458	0.127995	0.0868939	0.128351	0.178339	0.130006	0.0773719	0.0314006	0.0208462	0.0138257	0.0136941	0.0166961
a31	0.123785	0.0924311	0.0801302	0.112245	0.150896	0.119057	0.0825686	0.0494636	0.0428158	0.0371579	0.0468954	0.0625542
a47	0.109013	0.0920221	0.0871315	0.131419	0.167733	0.132045	0.0981973	0.0478534	0.0356063	0.0278794	0.0318438	0.0392571
a12	0.0695699	0.073727	0.0991965	0.153438	0.17364	0.131342	0.105953	0.0545862	0.0388876	0.0290162	0.0307013	0.0399428
a47	0.0489024	0.0646044	0.0913936	0.141961	0.1781	0.165921	0.130809	0.0551169	0.0367815	0.0247897	0.0267572	0.034863
a21	0.0302537	0.0425863	0.0951089	0.137978	0.16681	0.160877	0.149839	0.0792524	0.0485206	0.0282716	0.0260028	0.0344998
a85	0.0345796	0.0504988	0.0938049	0.117789	0.132291	0.127937	0.138136	0.0795498	0.0653909	0.0494355	0.047885	0.062702
a5	0.017143	0.0250982	0.0495411	0.0619947	0.0622279	0.0702063	0.117563	0.11387	0.12138	0.109647	0.109929	0.1414
a37	0.0134998	0.0159614	0.0429563	0.0581038	0.0755105	0.095964	0.162276	0.129887	0.104493	0.0835687	0.0926942	0.125084
a5	0.0136873	0.0153525	0.0386161	0.0521265	0.0659846	0.0850212	0.151086	0.151023	0.12083	0.0927181	0.0936946	0.119859
a37	0.0128208	0.0148029	0.0316932	0.0425339	0.0528874	0.0641134	0.12091	0.154382	0.131598	0.106703	0.114434	0.153122
a12	0.0111926	0.0131656	0.0255016	0.0316539	0.0308574	0.032869	0.0624736	0.127386	0.132421	0.126022	0.158343	0.248114
a43	0.00415844	0.00476658	0.00990305	0.0110856	0.0135721	0.0211667	0.0556585	0.131163	0.167495	0.186663	0.180273	0.214094
a75	0.0040445	0.00525846	0.0111363	0.0146229	0.0138131	0.0158708	0.0312739	0.0938516	0.138305	0.184617	0.207207	0.279999
a92	0.000581906	0.000645131	0.00140713	0.00165016	0.0021962	0.00451228	0.0188033	0.0852791	0.145539	0.199123	0.232077	0.308186
a36	0.000761606	0.000830011	0.00178634	0.0020594	0.00256176	0.00468241	0.015928	0.069514	0.131077	0.211369	0.250628	0.308802
a44	0.00128816	0.00138615	0.00252548	0.00306358	0.00248007	0.00284277	0.00527077	0.027978	0.0663955	0.151852	0.265886	0.469031
a93	0.000640345	0.000654052	0.00107254	0.00131722	0.00129796	0.00167332	0.00287429	0.0189661	0.0554525	0.153126	0.286561	0.476365
a4	0.000524805	0.000534415	0.000876554	0.00110281	0.0013743	0.00209967	0.0041427	0.0225403	0.0591944	0.15623	0.287333	0.464047
a15	0.00056022	0.000650014	0.000996529	0.00125925	0.00141596	0.0020788	0.00262333	0.0171212	0.052764	0.159816	0.29566	0.465055
a7	0.000171964	0.000164336	0.000239962	0.000304751	0.000379679	0.000686985	0.000949692	0.00852254	0.0312005	0.116771	0.280492	0.560117
a84	0.000321278	0.000339544	0.000475124	0.000562233	0.000591175	0.000858097	0.000851695	0.0074139	0.0302479	0.128341	0.297935	0.532063
a57	0.0180597	0.015656	0.0197813	0.0207067	0.0216398	0.025452	0.0269084	0.0602238	0.0949383	0.174324	0.233157	0.289153
a87	0.128477	0.0948578	0.093529	0.0964068	0.0750053	0.0418912	0.0337809	0.0520765	0.0668717	0.0955881	0.106909	0.114607
a23	0.155284	0.133423	0.126703	0.116816	0.0958595	0.0512852	0.0318386	0.04045	0.0488021	0.0623336	0.0662244	0.0709807
a99	0.0743017	0.0494351	0.0273004	0.0170973	0.0126725	0.0109314	0.0125175	0.0409199	0.0891129	0.149628	0.227223	0.288861
a10	0.0365615	0.0228257	0.0165196	0.0135706	0.0135234	0.0133757	0.0169595	0.0371485	0.0724507	0.124909	0.24163	0.390526
</S>	0.00942687	0.00738722	0.00817742	0.00780965	0.00862808	0.010071	0.0151231	0.0341381	0.0663646	0.124283	0.255871	0.452721
