 	il	arrache	les	lianes	qui	entourent	l'	arbre	</S>
a23	0.190914	0.151502	0.161434	0.120158	0.127488	0.134703	0.047154	0.0359967	0.0306512
a85	0.336106	0.199748	0.148137	0.100557	0.10062	0.0357711	0.0225655	0.024008	0.0324876
a87	0.239135	0.203952	0.15599	0.0894117	0.0845411	0.0458853	0.0367144	0.0519202	0.0924505
a23	0.30096	0.219584	0.14974	0.0830829	0.0711124	0.0291413	0.0337387	0.0453501	0.0672908
a79	0.157909	0.129752	0.154085	0.0992656	0.0810211	0.0315841	0.0541339	0.0986639	0.193585
a20	0.249223	0.213854	0.169431	0.106169	0.0801141	0.065018	0.035049	0.0402568	0.0408852
a73	0.224544	0.212669	0.225952	0.156539	0.122007	0.0331613	0.0108435	0.00733289	0.00695258
a94	0.222911	0.192617	0.198199	0.169756	0.143519	0.0383888	0.0158371	0.00939276	0.00937887
a20	0.23655	0.2124	0.195063	0.15059	0.124263	0.0393313	0.0173925	0.012144	0.0122657
a35	0.202186	0.16409	0.160584	0.152431	0.15249	0.0822218	0.0381319	0.0249831	0.0228828
a41	0.13531	0.107672	0.119416	0.168271	0.187003	0.151509	0.0616425	0.0360641	0.0331131
a20	0.0612024	0.051503	0.0695674	0.154022	0.196589	0.23909	0.111381	0.0620854	0.0545588
a41	0.051848	0.0531458	0.0721728	0.152429	0.17651	0.214694	0.096588	0.0853102	0.097302
a94	0.0264615	0.0229938	0.0356286	0.0959531	0.131744	0.279779	0.186488	0.123716	0.0972352
a76	0.0129028	0.0100987	0.0174211	0.0513795	0.0730427	0.233666	0.212196	0.210891	0.178402
a25	0.0233065	0.0213491	0.026423	0.0529441	0.0704516	0.256901	0.218134	0.176831	0.15366
a32	0.0152082	0.0137035	0.0176679	0.0397794	0.0521416	0.231985	0.249448	0.216383	0.163684
a24	0.00689843	0.00590136	0.00887241	0.0197751	0.0263273	0.152927	0.220932	0.28511	0.273256
a41	0.0040286	0.00333837	0.00462004	0.0091663	0.0115598	0.0961577	0.196664	0.314468	0.359996
a94	0.0047583	0.00402719	0.00557415	0.0100713	0.0120978	0.0875351	0.185614	0.316283	0.374039
a24	0.00308503	0.00240863	0.00336294	0.00628814	0.00767656	0.060337	0.154838	0.32466	0.437343
a32	0.00262088	0.00188891	0.00250825	0.00430086	0.0057262	0.0407601	0.126358	0.315476	0.50036
a71	0.00175466	0.00139483	0.00182217	0.00329502	0.00444119	0.0313651	0.128688	0.326614	0.500625
a38	0.00747881	0.00481149	0.00574329	0.00680763	0.00983544	0.0398442	0.102852	0.273208	0.549419
a24	0.00132936	0.000768543	0.0013124	0.0024638	0.00390811	0.0233277	0.0961335	0.301731	0.569025
a35	0.00212266	0.00131759	0.00188606	0.00323297	0.00631608	0.0333288	0.112167	0.298243	0.541386
a94	0.00138385	0.000794513	0.00132254	0.00275101	0.00533645	0.0295481	0.129733	0.336671	0.49246
a75	0.00155937	0.000829837	0.00145151	0.00304474	0.00637594	0.0317295	0.121297	0.331861	0.501851
a14	0.00106227	0.000621047	0.00129869	0.00331995	0.00615329	0.0343262	0.143103	0.353112	0.457004
a30	0.00119037	0.00093522	0.0018068	0.00378009	0.00611022	0.0346118	0.145477	0.354061	0.452028
a0	0.00274493	0.00176609	0.00255569	0.00393882	0.00624219	0.0380751	0.120671	0.303608	0.520398
a24	0.00101087	0.000513584	0.00075483	0.00122866	0.00246821	0.01941	0.095598	0.322619	0.556397
a71	0.000975772	0.000626251	0.000784278	0.00136563	0.00266088	0.0165316	0.104806	0.330973	0.541276
a9	0.00284568	0.00158808	0.00206379	0.0029133	0.00612311	0.0316902	0.111264	0.304626	0.536886
a38	0.00549971	0.00413982	0.00554646	0.00719718	0.00968858	0.0469874	0.120046	0.288415	0.512479
a76	0.00286888	0.0023587	0.00273873	0.00470019	0.0079563	0.0434925	0.110687	0.287849	0.537349
a73	0.000738573	0.00052835	0.000770234	0.00256189	0.0055173	0.0289468	0.0906608	0.274327	0.595949
a84	0.000565504	0.000274995	0.00035407	0.000665043	0.00135291	0.0119224	0.0622301	0.253237	0.669398
a57	0.0028064	0.00202487	0.00221155	0.00276939	0.00337343	0.0173158	0.0722434	0.272519	0.624736
a87	0.00551383	0.00485815	0.00388773	0.0048421	0.00595709	0.0215307	0.0903857	0.28437	0.578654
</S>	0.00339219	0.00322693	0.0028777	0.00437567	0.00537851	0.0284157	0.0878719	0.264922	0.599539
