 	ce	brusque	retour	des	pluies	nous	a	surpris	</S>
a23	0.252147	0.151582	0.192194	0.171531	0.0827434	0.0523131	0.0390266	0.03372	0.0247428
a87	0.320388	0.103169	0.104675	0.0700983	0.0454656	0.0507659	0.0704241	0.117252	0.117761
a23	0.314672	0.122705	0.0931521	0.0482261	0.0349697	0.0461652	0.0623866	0.120421	0.157302
a97	0.477933	0.153347	0.0857889	0.028895	0.0242434	0.0251347	0.0395691	0.0761496	0.0889394
a87	0.254975	0.109846	0.0651835	0.0357334	0.0434394	0.0544667	0.0865165	0.154947	0.194893
a23	0.207672	0.0965472	0.0683003	0.0419138	0.0472975	0.0670014	0.107382	0.175594	0.188291
a62	0.263369	0.125615	0.0715834	0.0382646	0.0462744	0.0504813	0.0800219	0.147956	0.176434
a66	0.610216	0.225202	0.0859464	0.0261022	0.0145806	0.00955043	0.00901339	0.0105412	0.00884815
a11	0.472152	0.246311	0.10417	0.044637	0.0330196	0.0259738	0.0234687	0.0255602	0.0247071
a93	0.370681	0.270683	0.137664	0.0584206	0.04444	0.0307392	0.0272767	0.0285725	0.0315237
a34	0.28087	0.312102	0.19161	0.0764274	0.0452398	0.0265886	0.0213535	0.0218453	0.023963
a75	0.28776	0.322894	0.187041	0.0745554	0.0424847	0.0230946	0.0180643	0.0199767	0.0241298
a47	0.192498	0.248381	0.201415	0.109744	0.073532	0.0435177	0.033786	0.0427658	0.0543605
a37	0.133744	0.266871	0.258107	0.131308	0.0699916	0.039995	0.0281332	0.0320318	0.0398174
a11	0.127954	0.241763	0.245071	0.137649	0.0822377	0.05244	0.0352685	0.0354612	0.0421561
a90	0.100849	0.223416	0.265168	0.159813	0.0824372	0.0568831	0.0370586	0.0352904	0.0390859
a98	0.0717486	0.181038	0.276387	0.182155	0.107266	0.0675605	0.0400607	0.0354011	0.0383827
a47	0.0471521	0.107201	0.216471	0.158023	0.119357	0.104129	0.0775426	0.0772437	0.0928796
a37	0.0522814	0.0805089	0.187623	0.159216	0.129681	0.0974152	0.0697646	0.0793696	0.144141
a98	0.0941773	0.0741954	0.11822	0.101481	0.107214	0.0964601	0.0781602	0.103332	0.22676
a85	0.0617209	0.0703985	0.1168	0.125851	0.12265	0.114376	0.0947156	0.102981	0.190507
a47	0.0542559	0.0603499	0.111222	0.130601	0.129886	0.124381	0.100931	0.112651	0.175721
a2	0.0616221	0.0529242	0.0763215	0.0818809	0.098391	0.114783	0.107078	0.13778	0.269219
a38	0.0422256	0.0274268	0.0339295	0.0306902	0.0389075	0.0610456	0.0993006	0.21313	0.453344
a90	0.0444926	0.0262518	0.0365	0.030019	0.0455728	0.065888	0.088379	0.176828	0.486069
a92	0.0243103	0.0267093	0.0517334	0.0512748	0.0949813	0.133604	0.150715	0.177066	0.289606
a27	0.0362133	0.0287154	0.052138	0.0418925	0.0631171	0.0859107	0.113751	0.191477	0.386785
a38	0.00284841	0.00290267	0.00594307	0.0072562	0.0167011	0.0408375	0.0872819	0.230964	0.605266
a21	0.00339047	0.003386	0.00589672	0.0063039	0.0123693	0.0294992	0.070788	0.241607	0.626759
a96	0.00867627	0.00654395	0.0122239	0.0119968	0.0248095	0.0455156	0.0923442	0.22451	0.573379
a62	0.00219198	0.00241425	0.0053545	0.00882049	0.0149846	0.0365329	0.0809326	0.223052	0.625717
a0	0.00239169	0.00239535	0.0046331	0.00802783	0.0138063	0.0335287	0.0796993	0.226558	0.62896
a75	0.00243761	0.0022396	0.00462845	0.00766681	0.0153432	0.0411455	0.0999565	0.239485	0.587097
a47	0.00241686	0.0025871	0.00507985	0.00800092	0.0166577	0.0369598	0.0949578	0.258603	0.574737
a35	0.000882386	0.00117213	0.00236625	0.00446072	0.00966421	0.0266535	0.0744566	0.25074	0.629604
a66	0.00124236	0.00136005	0.00313997	0.00574552	0.0132999	0.0358189	0.0958571	0.273081	0.570455
a26	0.00202767	0.00196818	0.00422002	0.006995	0.0168861	0.0399403	0.106593	0.270335	0.551035
a57	0.0229347	0.00997914	0.011197	0.0172675	0.0380421	0.0803702	0.154974	0.227423	0.437813
a9	0.084976	0.0255706	0.0210257	0.0330963	0.0495595	0.104833	0.170379	0.209986	0.300574
a10	0.130143	0.042758	0.0354257	0.0380681	0.0500356	0.118205	0.167009	0.199073	0.219283
a87	0.109617	0.0417305	0.0404093	0.0383316	0.0472685	0.103201	0.144172	0.224879	0.250391
a10	0.0986165	0.0402176	0.0491801	0.0430634	0.0484233	0.106898	0.141261	0.219046	0.253294
a87	0.103723	0.0462997	0.0559204	0.0450616	0.0477307	0.0911698	0.118629	0.210636	0.28083
</S>	0.104958	0.050001	0.053293	0.0385977	0.0385741	0.0862596	0.115607	0.208574	0.304136
