 	qui	s'	inquiète	pour	moi	</S>
a66	0.572406	0.253477	0.0508514	0.0311779	0.0371247	0.054963
a87	0.190021	0.115287	0.131114	0.206896	0.221419	0.135263
a10	0.31826	0.240244	0.184696	0.109723	0.0912933	0.0557828
a97	0.328439	0.288788	0.19271	0.0958007	0.0622134	0.0320489
a30	0.32308	0.281277	0.211795	0.104871	0.0545657	0.0244117
a13	0.360212	0.287432	0.199113	0.0949605	0.0407004	0.0175821
a38	0.370047	0.264215	0.26525	0.0644731	0.0224821	0.0135322
a62	0.392764	0.308538	0.199046	0.0530745	0.0248027	0.021775
a47	0.219987	0.338016	0.261072	0.095803	0.0513572	0.0337644
a62	0.122227	0.253128	0.325662	0.151416	0.0916676	0.0558998
a47	0.114455	0.219288	0.273846	0.163702	0.127746	0.100962
a61	0.10721	0.112847	0.172406	0.195444	0.21007	0.202023
a75	0.052972	0.0488976	0.0868522	0.188731	0.292334	0.330213
a92	0.0118021	0.0100346	0.0266395	0.138626	0.354054	0.458843
a37	0.00562104	0.00461807	0.0122887	0.0780193	0.300282	0.599171
a75	0.00127486	0.000780143	0.00225979	0.0181795	0.156596	0.82091
a36	0.0017348	0.00111481	0.00304067	0.0183506	0.120375	0.855384
a27	0.00778054	0.00438795	0.00820976	0.0336213	0.14372	0.80228
a82	0.0595223	0.0406244	0.0591695	0.125047	0.232634	0.483002
a3	0.185974	0.128425	0.109899	0.150021	0.206424	0.219258
a97	0.117445	0.099323	0.103043	0.149076	0.243386	0.287727
a30	0.0984938	0.0918952	0.0987935	0.132035	0.246197	0.332585
</S>	0.021316	0.0170752	0.0301129	0.0781549	0.231697	0.621644
