 	qui	a	attendri	mes	pieds	de	porc	de	la	sorte	</S>
a66	0.204163	0.137231	0.129875	0.14296	0.116974	0.122302	0.0890227	0.0228491	0.0132239	0.010849	0.010549
a87	0.323455	0.108996	0.139767	0.155753	0.118777	0.0619772	0.04006	0.0162753	0.0126771	0.0104378	0.0118242
a23	0.430432	0.191212	0.184924	0.0947307	0.0376215	0.020208	0.0128486	0.00622127	0.0058849	0.00621862	0.00969811
a87	0.490396	0.212818	0.179571	0.0554631	0.0192802	0.0117905	0.00863969	0.00402643	0.00392543	0.00409451	0.00999528
a23	0.465003	0.216175	0.18233	0.0585697	0.0231938	0.0158928	0.012781	0.00647294	0.00591683	0.00535418	0.00831046
a87	0.430251	0.183001	0.193643	0.0506552	0.0307181	0.0259404	0.0264034	0.0138064	0.0121801	0.0131781	0.0202234
a23	0.447881	0.166038	0.154127	0.0569399	0.0364774	0.0373172	0.0356867	0.0191383	0.0155075	0.0133412	0.0175462
a53	0.418341	0.142597	0.215107	0.0686013	0.0416496	0.0307797	0.0312474	0.0144573	0.0110667	0.011078	0.0150758
a4	0.242663	0.180721	0.254909	0.14483	0.0687977	0.041475	0.0304657	0.0144386	0.00859746	0.00693097	0.0061719
a58	0.11893	0.221974	0.301717	0.167933	0.0653821	0.0378791	0.0279909	0.0223984	0.014364	0.0115658	0.00986592
a53	0.0898497	0.155855	0.23454	0.149967	0.0839747	0.058831	0.0444683	0.0624487	0.0493692	0.0374739	0.0332224
a93	0.0852659	0.131198	0.218522	0.15975	0.098918	0.0717998	0.0496725	0.0616954	0.0498651	0.0398047	0.0335087
a96	0.047433	0.0937851	0.156305	0.147153	0.115053	0.0971843	0.0625722	0.0738715	0.0701374	0.0731293	0.0633765
a11	0.0699154	0.105649	0.148273	0.176887	0.141429	0.121404	0.0739298	0.0506903	0.0414634	0.0385884	0.0317704
a75	0.0498119	0.0571586	0.07828	0.147626	0.167801	0.167409	0.0985923	0.0631618	0.055704	0.059468	0.0549866
a47	0.0222111	0.0241767	0.0336557	0.0720008	0.117253	0.140101	0.0963349	0.107428	0.117493	0.142357	0.126989
a73	0.0420051	0.0330059	0.0304963	0.0743091	0.133812	0.176054	0.118857	0.0777594	0.0801708	0.112112	0.121419
a40	0.0137216	0.0126714	0.0125412	0.0368819	0.0914183	0.144321	0.114465	0.123033	0.13103	0.163953	0.155964
a25	0.0154262	0.0131326	0.0121273	0.0338535	0.0838588	0.134593	0.120471	0.127661	0.131765	0.160692	0.166419
a56	0.00460447	0.00498293	0.00479689	0.0161951	0.0587258	0.121406	0.122561	0.165291	0.156774	0.171264	0.173398
a75	0.0088211	0.00893931	0.00732784	0.0192517	0.0641716	0.125815	0.120179	0.124335	0.138573	0.168535	0.214051
a47	0.00241491	0.00260788	0.00199041	0.0046598	0.017861	0.052925	0.0643222	0.112476	0.157085	0.249773	0.333885
a37	0.00237031	0.00213497	0.0013634	0.00322902	0.0170115	0.052747	0.0691126	0.107948	0.129795	0.227013	0.387275
a75	0.0022104	0.00202045	0.000986819	0.00185773	0.00812556	0.0278088	0.044174	0.0923678	0.141603	0.244127	0.434718
a79	0.0014645	0.00162093	0.000899479	0.0016365	0.0056023	0.0190961	0.0401803	0.101427	0.16399	0.270663	0.393419
a7	0.00074907	0.000944992	0.000468868	0.000808129	0.00295421	0.00943266	0.020268	0.0692215	0.140925	0.288955	0.465272
a44	0.00087566	0.000950599	0.000425042	0.000560713	0.00135522	0.00277996	0.0060472	0.0318449	0.0892992	0.233462	0.6324
a93	0.000770474	0.000843643	0.000383408	0.000457119	0.000938264	0.00167712	0.00372563	0.0230431	0.079381	0.227838	0.660942
a44	0.00052062	0.000599834	0.000271106	0.000281201	0.000622057	0.00141061	0.00338934	0.0211567	0.0790947	0.248496	0.644157
a66	0.000380886	0.000375696	0.000183952	0.00021407	0.000479115	0.000841711	0.00171628	0.0127761	0.057121	0.215625	0.710286
a27	0.00792183	0.00673678	0.00495492	0.00540296	0.00783997	0.0096328	0.0142989	0.0522572	0.107611	0.255995	0.527348
a57	0.0364543	0.0230981	0.0175756	0.0226161	0.0346744	0.0296517	0.031254	0.0742862	0.117718	0.211353	0.401318
a87	0.0764028	0.0545923	0.0448192	0.0766621	0.0958039	0.0784165	0.0788207	0.0840637	0.106577	0.134256	0.169586
a23	0.0372864	0.0205349	0.0178516	0.0223875	0.0275967	0.0241924	0.0278062	0.0591872	0.134384	0.269612	0.359161
a97	0.0164766	0.00982157	0.00890682	0.00973305	0.0112149	0.00978027	0.0123172	0.0437682	0.118123	0.260935	0.498924
a99	0.0088085	0.00624675	0.0060521	0.00588248	0.0081897	0.00923231	0.00891429	0.0192318	0.0684232	0.255531	0.603488
a87	0.013365	0.0119659	0.0115047	0.00965077	0.0148063	0.0151758	0.0137904	0.0240996	0.075503	0.234359	0.575779
a97	0.0231259	0.0217426	0.0218417	0.0178558	0.0234105	0.0227651	0.0186578	0.0266208	0.0707219	0.20231	0.550948
a87	0.0472616	0.0353208	0.0341963	0.0344	0.0616018	0.0544512	0.0394391	0.0365988	0.0707101	0.156613	0.429407
a23	0.0596006	0.0547245	0.0641164	0.0600039	0.0961237	0.0921572	0.0655207	0.0461804	0.0722983	0.123758	0.265517
a99	0.0189206	0.0237651	0.0218019	0.0191096	0.0339961	0.0271176	0.0177269	0.0324213	0.0802195	0.191183	0.533739
a97	0.0216354	0.0231824	0.0255409	0.0250715	0.0420073	0.0285329	0.0186063	0.0390719	0.0936638	0.215106	0.467581
a87	0.0694847	0.0422733	0.0476526	0.054781	0.0716121	0.0501164	0.0332792	0.0423417	0.0820723	0.162634	0.343753
</S>	0.0885313	0.0603643	0.0651912	0.063503	0.0970898	0.0740302	0.0492771	0.0495747	0.0784015	0.126979	0.247058
