 	elle	changea	d'	avis	et	rentra	chez	son	mari	</S>
a23	0.346334	0.239953	0.119779	0.0839016	0.0584409	0.0420521	0.027106	0.024571	0.0268805	0.0309813
a53	0.309307	0.21536	0.135256	0.106597	0.064593	0.0394198	0.0270664	0.0291757	0.0364979	0.0367272
a20	0.325061	0.222869	0.144563	0.0911915	0.0650404	0.0383667	0.0255073	0.0236299	0.026289	0.0374813
a44	0.447291	0.265932	0.147002	0.0700763	0.0299521	0.0189333	0.00788351	0.00495064	0.00373315	0.00424545
a84	0.365161	0.317463	0.16402	0.0882983	0.0241718	0.0145531	0.00780305	0.00669062	0.00602312	0.0058163
a54	0.257179	0.305443	0.177404	0.117598	0.0386926	0.0273742	0.0173449	0.016935	0.020406	0.0216235
a41	0.127928	0.209452	0.158978	0.139735	0.0720395	0.056447	0.0413902	0.046555	0.063358	0.0841177
a32	0.199347	0.253425	0.197134	0.14021	0.0555848	0.0380747	0.024688	0.0258904	0.0309925	0.0346528
a24	0.176908	0.268707	0.213492	0.149712	0.049004	0.0326151	0.0207327	0.0230084	0.0301221	0.0356991
a26	0.152848	0.227922	0.232135	0.180004	0.0594792	0.0375655	0.0217655	0.0226777	0.0302634	0.0353387
a24	0.0710568	0.116622	0.187848	0.228687	0.0928337	0.0650897	0.0427531	0.0464675	0.0671807	0.081461
a76	0.0776236	0.119907	0.206956	0.253899	0.116433	0.0726474	0.0347585	0.0311162	0.0400173	0.0466421
a90	0.122399	0.134859	0.177796	0.204165	0.105225	0.0696381	0.0373643	0.0368978	0.0512104	0.0604451
a38	0.101374	0.111257	0.160629	0.192953	0.116934	0.085474	0.0509659	0.0479973	0.0613665	0.0710502
a24	0.0657284	0.0758157	0.121461	0.185441	0.147029	0.109335	0.0640664	0.0600757	0.0767939	0.0942535
a41	0.0253066	0.0289982	0.0449896	0.106659	0.142847	0.129907	0.100502	0.106375	0.134719	0.179696
a35	0.0468799	0.0562179	0.0673732	0.103904	0.129166	0.113548	0.0980196	0.103194	0.125936	0.155761
a7	0.0486165	0.0623867	0.0706526	0.0973941	0.130995	0.114844	0.0910565	0.0945184	0.126965	0.162572
a57	0.0392697	0.0520432	0.0599311	0.0859982	0.125408	0.12491	0.108687	0.105597	0.132202	0.165953
a87	0.0337938	0.0325204	0.044365	0.0857379	0.130623	0.12521	0.104694	0.0985126	0.135917	0.208627
a40	0.026329	0.019775	0.0577599	0.150283	0.161381	0.146599	0.118874	0.104556	0.105562	0.108881
a73	0.0664337	0.0432118	0.0507333	0.0639056	0.0619534	0.0623522	0.0725887	0.110325	0.169997	0.298499
a44	0.0339092	0.0329134	0.0544682	0.0814219	0.0924465	0.0846291	0.0916766	0.117048	0.160721	0.250767
a13	0.0296626	0.0259249	0.0299101	0.0448518	0.0675064	0.0767635	0.0901477	0.125167	0.193609	0.316457
a38	0.0236091	0.0212105	0.0263126	0.0392659	0.0602524	0.0717619	0.0899382	0.128945	0.204964	0.333741
a90	0.0333707	0.0286238	0.0287904	0.0388069	0.0568931	0.0724826	0.0937165	0.130767	0.200036	0.316513
a35	0.0360274	0.0355206	0.0340608	0.0469897	0.0673804	0.0827799	0.102128	0.129044	0.186768	0.279302
a56	0.0164393	0.0119436	0.0131322	0.0228596	0.0376931	0.0529875	0.0998398	0.15662	0.248652	0.339833
a35	0.0271117	0.0212908	0.0229915	0.032401	0.0499249	0.0711976	0.11436	0.15289	0.221312	0.28652
a75	0.0148279	0.0114758	0.0146858	0.0252097	0.0367217	0.0522741	0.0982008	0.158945	0.255942	0.331717
a56	0.0278418	0.0197079	0.0213021	0.0340085	0.0481994	0.0560761	0.094885	0.143362	0.241297	0.31332
a35	0.0167132	0.0132213	0.0189774	0.0329651	0.0444943	0.0577839	0.101818	0.157496	0.244252	0.312279
a90	0.021905	0.0154407	0.0182293	0.0299258	0.040965	0.0536413	0.09852	0.156853	0.253517	0.311003
a93	0.0358033	0.0259716	0.0276845	0.0429225	0.0558862	0.0656245	0.110133	0.151155	0.22283	0.261989
a70	0.0180255	0.0153891	0.0195015	0.0329576	0.0478045	0.0575526	0.103863	0.158867	0.24488	0.301158
a99	0.019065	0.0135812	0.0159138	0.0262701	0.0380595	0.0414567	0.0800962	0.147983	0.253927	0.363647
a9	0.00712959	0.00513203	0.00731773	0.016801	0.0291868	0.036858	0.0803517	0.155657	0.267437	0.39413
a99	0.00476305	0.0026005	0.00253879	0.0050347	0.0115499	0.0180775	0.055011	0.154769	0.295376	0.450279
a87	0.00200093	0.000989178	0.000964925	0.00182935	0.00525548	0.0090305	0.0417445	0.139431	0.322835	0.475919
</S>	0.00994426	0.00401123	0.00375165	0.00437217	0.0115441	0.0163003	0.0533282	0.135649	0.287309	0.47379
