 	le	guérisseur	a	crachoté	de	l'	herbe	mâchée	sur	le	malade	</S>
a66	0.335358	0.13205	0.07151	0.0534934	0.0573157	0.0690772	0.072395	0.0504468	0.0435915	0.0468	0.037203	0.0307593
a10	0.277378	0.110264	0.0507365	0.0354153	0.0390963	0.0523433	0.0544691	0.0496495	0.053008	0.077852	0.0929548	0.106834
a87	0.372544	0.212182	0.0732372	0.0493929	0.0423438	0.0389353	0.0238615	0.0166805	0.0184024	0.036169	0.0497062	0.0665452
a23	0.274715	0.211974	0.08422	0.0427557	0.03355	0.0379997	0.0320918	0.0374912	0.0444086	0.0584351	0.0670316	0.075327
a70	0.21504	0.13688	0.0807096	0.0504953	0.0318588	0.039765	0.0365112	0.0447058	0.0577621	0.0948438	0.107055	0.104373
a75	0.240188	0.129932	0.0794854	0.0646938	0.0434544	0.0485872	0.0383731	0.0272278	0.0370793	0.0791576	0.0987195	0.113101
a85	0.310649	0.201662	0.12954	0.0803111	0.0371768	0.0343033	0.0275165	0.0139773	0.0180751	0.0347272	0.0482462	0.0638159
a92	0.196813	0.173187	0.159844	0.141649	0.0820409	0.0702492	0.0517517	0.0229186	0.0194073	0.0242976	0.0260898	0.0317518
a85	0.175415	0.152278	0.179295	0.156116	0.0922696	0.0793592	0.059438	0.0285678	0.0200467	0.0196986	0.0182891	0.019227
a37	0.111741	0.137811	0.166527	0.183152	0.134846	0.0986871	0.0676901	0.0287545	0.0210997	0.0168253	0.0155813	0.0172847
a12	0.0853567	0.0979436	0.161884	0.206235	0.174448	0.127856	0.0715864	0.0254689	0.0137331	0.0119415	0.0114684	0.0120777
a37	0.0629843	0.0670812	0.114398	0.1724	0.175058	0.147783	0.106406	0.0556455	0.0308161	0.022814	0.0216195	0.0229942
a98	0.0318359	0.0333407	0.0694325	0.148894	0.19004	0.178944	0.145162	0.0765765	0.0404253	0.0283805	0.0268889	0.0300791
a47	0.0114902	0.0153863	0.0445883	0.130687	0.186725	0.169647	0.159392	0.0976686	0.0695361	0.0400828	0.0351541	0.0396434
a37	0.0142621	0.0167654	0.0346739	0.0805968	0.137273	0.152304	0.196445	0.123885	0.0727016	0.042529	0.0497754	0.078789
a98	0.0142324	0.014483	0.0245477	0.0632083	0.11925	0.147395	0.17241	0.12765	0.0804149	0.0587634	0.0691118	0.108534
a47	0.00848098	0.00889243	0.0164196	0.0504536	0.105667	0.129335	0.179829	0.157033	0.117824	0.0693472	0.0662815	0.090437
a85	0.01297	0.0134398	0.0209432	0.0456482	0.0904161	0.114092	0.185239	0.161286	0.11809	0.0643987	0.0681778	0.105301
a5	0.0123148	0.0131483	0.0217588	0.0535435	0.0959694	0.108901	0.137926	0.108875	0.0985492	0.0835747	0.107417	0.158022
a18	0.0117365	0.0114033	0.0181315	0.040443	0.0762572	0.0925938	0.131129	0.134178	0.1274	0.105081	0.106772	0.144876
a75	0.0101491	0.00881363	0.0130023	0.0293881	0.0561997	0.0702834	0.0976083	0.123137	0.14947	0.139435	0.134164	0.168349
a5	0.00403396	0.00380909	0.00622861	0.0164778	0.0345587	0.0497253	0.0835356	0.138721	0.168509	0.154384	0.149569	0.190447
a18	0.00501956	0.00423896	0.00613668	0.0128092	0.0257732	0.0354956	0.0580588	0.0935429	0.144709	0.168925	0.190876	0.254415
a11	0.0062603	0.00452639	0.00530996	0.00871346	0.0137753	0.0195836	0.0319782	0.0583318	0.118291	0.174809	0.241716	0.316705
a75	0.0127389	0.00889443	0.00852054	0.0106456	0.0134284	0.0171005	0.0278798	0.061683	0.119239	0.164849	0.228133	0.326888
a21	0.00246481	0.00233807	0.0033233	0.00749453	0.0126683	0.0165812	0.0266838	0.0561572	0.105116	0.170446	0.247785	0.348941
a61	0.00160183	0.00135535	0.0019692	0.00518254	0.0107309	0.0162819	0.0283449	0.0678547	0.139882	0.1964	0.238782	0.291615
