 	il	a	honte	parce	qu'	il	a	volé	</S>
a66	0.240932	0.205252	0.152022	0.132038	0.0879412	0.0653971	0.0456362	0.0398773	0.0309037
a87	0.29866	0.189331	0.0838856	0.108614	0.121484	0.0740723	0.0491835	0.0400216	0.034749
a23	0.427586	0.23857	0.0956115	0.0992476	0.0484723	0.0265133	0.0183824	0.0181109	0.0275061
a57	0.376453	0.232191	0.0960242	0.092042	0.0520689	0.036374	0.0288609	0.03583	0.050156
a54	0.273235	0.215891	0.110019	0.0862241	0.053215	0.0452101	0.0469428	0.076147	0.0931155
a36	0.146381	0.145824	0.119908	0.101198	0.0650633	0.0752189	0.100036	0.129374	0.116996
a26	0.0993806	0.11103	0.136775	0.121369	0.111118	0.114845	0.11018	0.102116	0.0931874
a61	0.164314	0.165402	0.171072	0.13536	0.108047	0.070665	0.0619471	0.0563637	0.0668294
a5	0.140336	0.16271	0.223217	0.173578	0.124603	0.0535175	0.0413242	0.0358258	0.0448895
a43	0.12546	0.128503	0.182614	0.168362	0.148568	0.0758925	0.0599593	0.0494162	0.0612262
a11	0.104829	0.0905162	0.13575	0.137065	0.139054	0.101255	0.087934	0.0831603	0.120439
a54	0.0966408	0.076328	0.097793	0.120258	0.120389	0.11088	0.101305	0.107132	0.169275
a6	0.0671517	0.0535096	0.0662865	0.106346	0.122849	0.117767	0.114964	0.140862	0.210264
a37	0.0400618	0.0349275	0.0497695	0.0807576	0.115666	0.13855	0.140816	0.16636	0.233091
a61	0.0584922	0.0465455	0.0658518	0.0704975	0.0777171	0.125513	0.140088	0.162322	0.252973
a66	0.061139	0.0520588	0.0634729	0.0675208	0.0877747	0.163673	0.185172	0.149753	0.169435
a0	0.0228011	0.0189634	0.0325467	0.0335987	0.0410657	0.105504	0.169318	0.236947	0.339256
a61	0.0154714	0.0109148	0.0168944	0.0172999	0.0212277	0.0614289	0.125186	0.272197	0.459379
a5	0.0121861	0.0102954	0.0175205	0.0190429	0.0274517	0.076933	0.163597	0.289934	0.383039
a61	0.0113574	0.00960688	0.0165086	0.018942	0.0283413	0.0763677	0.151279	0.299139	0.388458
a88	0.00485737	0.00423577	0.00783216	0.00932831	0.0147992	0.0479156	0.113196	0.301609	0.496226
a25	0.00162757	0.00157872	0.00293775	0.00433168	0.00681795	0.0237805	0.0623609	0.24062	0.655945
a87	0.000885967	0.000751516	0.00135879	0.0022324	0.00370523	0.0167221	0.0424232	0.215395	0.716525
a23	0.0262155	0.0146041	0.010779	0.0212733	0.028791	0.0744039	0.105125	0.224174	0.494635
a87	0.0161232	0.011628	0.0119742	0.0245042	0.0299021	0.059446	0.0894814	0.240915	0.516026
</S>	0.0151403	0.00919033	0.00882556	0.0167099	0.0178041	0.0423179	0.0781195	0.254253	0.55764
