 	la	femme	a	accouché	de	jumeaux	</S>
a23	0.662525	0.168288	0.0642941	0.0337325	0.0292366	0.0201695	0.021755
a20	0.318159	0.170977	0.108685	0.0880312	0.0790976	0.0995603	0.13549
a14	0.497535	0.23604	0.109641	0.0575498	0.0361167	0.0295399	0.0335772
a43	0.580811	0.262463	0.0840807	0.033253	0.0162137	0.0135113	0.00966704
a11	0.458413	0.252307	0.119289	0.064596	0.0390144	0.0370438	0.0293369
a75	0.256119	0.243197	0.170532	0.113121	0.0808649	0.0755792	0.0605867
a35	0.231758	0.20093	0.164512	0.120605	0.100089	0.0980994	0.0840066
a26	0.175096	0.184558	0.166536	0.134936	0.12314	0.116324	0.0994093
a76	0.0785857	0.104738	0.126445	0.146705	0.188813	0.180716	0.173996
a35	0.0650448	0.0943738	0.13716	0.164672	0.179704	0.180405	0.178641
a14	0.0352935	0.0554089	0.100389	0.155094	0.219599	0.210627	0.22359
a41	0.046956	0.0702225	0.105531	0.133261	0.183751	0.219831	0.240447
a57	0.0215609	0.0352409	0.0652441	0.105938	0.196765	0.249596	0.325656
a38	0.0225873	0.0348131	0.0538741	0.0834436	0.140018	0.261858	0.403405
a24	0.0249088	0.0335727	0.0533465	0.0838968	0.137399	0.238038	0.428839
a41	0.0237402	0.0304879	0.0521518	0.0892852	0.141375	0.236757	0.426202
a30	0.0227634	0.0272878	0.0483175	0.0931438	0.149598	0.242775	0.416114
a57	0.0137019	0.0232217	0.0395326	0.066977	0.124787	0.244421	0.487359
a87	0.0244838	0.0312101	0.0486624	0.0808702	0.167154	0.219009	0.42861
</S>	0.0233239	0.03017	0.05412	0.110417	0.216788	0.235772	0.329409
