 	il	se	vante	à	cause	de	son	niveau	d'	études	</S>
a87	0.0806258	0.0806007	0.0833372	0.12134	0.135804	0.117808	0.146909	0.162178	0.0374027	0.0228173	0.0111766
a23	0.0502951	0.0451843	0.0618962	0.082413	0.0875074	0.0982504	0.123716	0.257312	0.113734	0.0444597	0.0352309
a87	0.0809179	0.0799746	0.0799637	0.0982849	0.102063	0.0893695	0.107556	0.171681	0.0906699	0.0521073	0.0474121
a97	0.110502	0.098498	0.0865931	0.092735	0.0878276	0.0767213	0.0991111	0.165335	0.0870151	0.052593	0.0430692
a87	0.132416	0.1261	0.0890285	0.0961208	0.0893071	0.0759414	0.0873442	0.147686	0.0868352	0.043553	0.0256674
a97	0.104817	0.0992849	0.0793339	0.0838929	0.082284	0.0775778	0.0947363	0.156853	0.11294	0.0640163	0.0442642
a30	0.114907	0.118167	0.0930374	0.0994744	0.0909905	0.0803937	0.0894944	0.142877	0.0986656	0.0480434	0.0239495
a53	0.161664	0.143815	0.106826	0.102646	0.0896273	0.0725248	0.0702135	0.0927012	0.0728291	0.0493636	0.0377901
a15	0.196756	0.141667	0.0707831	0.0582315	0.0489205	0.0421255	0.0459977	0.0705153	0.0949018	0.104307	0.125794
a92	0.290514	0.193043	0.0860279	0.0756056	0.0620007	0.0417107	0.0419031	0.0506716	0.0442395	0.0503994	0.063885
a66	0.250546	0.20513	0.127397	0.117921	0.0951545	0.0599759	0.04615	0.0307592	0.0182139	0.020925	0.0278275
a12	0.215132	0.184974	0.127396	0.125746	0.0996449	0.0576168	0.05122	0.0432744	0.0261133	0.0327079	0.0361757
a61	0.185132	0.171725	0.144331	0.157186	0.126282	0.0703383	0.0531257	0.0335055	0.0160204	0.0191764	0.0231776
a21	0.141422	0.144112	0.141856	0.156389	0.133023	0.0859269	0.0706916	0.0462792	0.0217179	0.0264244	0.0321579
a66	0.189442	0.174208	0.148422	0.157608	0.129218	0.0793678	0.0523541	0.0264868	0.0116576	0.013811	0.017425
a0	0.0884903	0.0962894	0.132768	0.150905	0.138868	0.113786	0.102395	0.0692012	0.0301151	0.0346225	0.0425598
a75	0.068109	0.075569	0.123874	0.141661	0.135671	0.126432	0.120004	0.0812816	0.0385211	0.0398038	0.0490736
a21	0.0934004	0.0957369	0.124328	0.156251	0.145307	0.111938	0.0824078	0.0492187	0.0358456	0.0424388	0.0631284
a96	0.100064	0.101675	0.129926	0.162098	0.152183	0.121193	0.0910221	0.0539448	0.0249167	0.0271922	0.0357856
a75	0.0553869	0.0578618	0.0977582	0.126699	0.13166	0.13605	0.128669	0.0903404	0.0459199	0.0522221	0.0774321
a85	0.0909356	0.0835378	0.101111	0.115671	0.104537	0.0956844	0.0748836	0.0459349	0.0525134	0.0785743	0.156617
a21	0.0830441	0.0758568	0.0892847	0.0954686	0.0883202	0.0955709	0.0882573	0.0678004	0.0657748	0.0901157	0.160506
a5	0.132376	0.113976	0.112739	0.108896	0.0907181	0.0829687	0.077631	0.0636489	0.0554083	0.0645487	0.0970895
a27	0.0896812	0.0731794	0.0690378	0.065585	0.0501078	0.0452842	0.0453547	0.0488838	0.0832316	0.134303	0.295352
a57	0.0288337	0.0249709	0.0383271	0.0383519	0.0331881	0.0364692	0.0423681	0.0535562	0.115547	0.20692	0.381468
a76	0.0164185	0.0148381	0.0263897	0.0331499	0.0340349	0.0376334	0.047559	0.0755816	0.12321	0.215717	0.375467
a25	0.0368851	0.0318777	0.0349778	0.0360425	0.0319081	0.0348641	0.0324632	0.0404287	0.0990596	0.17274	0.448753
a66	0.0231966	0.0209888	0.0246338	0.0270068	0.0260411	0.0338864	0.0379464	0.0496088	0.147169	0.223405	0.386117
a9	0.00840233	0.00692131	0.0104313	0.0105892	0.0088151	0.0114206	0.0144059	0.0270259	0.125129	0.232931	0.543928
a87	0.00468421	0.00401194	0.00733691	0.00983912	0.0112142	0.0165986	0.0284174	0.0703923	0.176556	0.231681	0.439268
a23	0.00627046	0.00605223	0.0154419	0.0272778	0.0360124	0.0627852	0.117394	0.248396	0.186269	0.137586	0.156514
a87	0.00369773	0.00289197	0.00529864	0.00834313	0.0114439	0.0239764	0.0517443	0.165958	0.242463	0.202529	0.281654
a23	0.00407843	0.00346072	0.00663603	0.00979744	0.0121333	0.0228971	0.0471438	0.138609	0.242585	0.231364	0.281295
a87	0.00381565	0.0033296	0.00653438	0.00961058	0.0122006	0.0257878	0.0483491	0.119123	0.22998	0.216023	0.325247
</S>	0.00552844	0.00455668	0.00713869	0.00814394	0.00879846	0.0171462	0.0259476	0.0714985	0.214193	0.247981	0.389067
