 	il	fut	traité	avec	bonté	</S>
a23	0.16533	0.0956393	0.108879	0.132102	0.210146	0.287903
a87	0.239697	0.104511	0.0883348	0.105752	0.18041	0.281296
a23	0.381911	0.149301	0.0975928	0.0856602	0.114797	0.170738
a87	0.0787217	0.0468821	0.0505359	0.082036	0.223866	0.517958
a23	0.146159	0.0756653	0.0649451	0.0939546	0.215463	0.403813
a40	0.137783	0.0877675	0.0652318	0.0948748	0.213397	0.400946
a35	0.317471	0.220805	0.116102	0.10914	0.1107	0.125781
a41	0.458126	0.262006	0.106853	0.0720559	0.0538591	0.0470992
a14	0.39136	0.249336	0.132669	0.0962818	0.0703433	0.06001
a35	0.329703	0.208743	0.140614	0.123891	0.101153	0.095896
a38	0.25667	0.19971	0.154009	0.143478	0.123648	0.122486
a30	0.209954	0.181792	0.163311	0.16229	0.143129	0.139524
a73	0.22044	0.187164	0.163917	0.164124	0.134943	0.129411
a35	0.0896384	0.0989352	0.130884	0.185439	0.21025	0.284854
a73	0.109454	0.108263	0.13641	0.187471	0.207094	0.251308
a69	0.04971	0.0683873	0.126383	0.199328	0.239321	0.31687
a58	0.0221448	0.0350815	0.0924879	0.179276	0.255891	0.415118
a82	0.00528009	0.00875839	0.0309499	0.0973885	0.243473	0.614151
a11	0.00267653	0.00404144	0.0158188	0.0673478	0.213154	0.696962
a75	0.00246068	0.00333422	0.0151641	0.0707582	0.216174	0.692109
a41	0.00166606	0.0035963	0.0182697	0.0732327	0.21586	0.687375
a25	0.00537946	0.0101865	0.0342867	0.0952745	0.236637	0.618236
a87	0.00389043	0.00765338	0.0275809	0.0860451	0.239221	0.63561
</S>	0.00689971	0.00720549	0.0247076	0.0717111	0.239432	0.650045
