 	ses	cheveux	bouffent	autour	de	sa	tête	</S>
a10	0.236024	0.165151	0.0988489	0.100549	0.0969509	0.0886785	0.104094	0.109704
a24	0.223793	0.169423	0.112928	0.0897897	0.0753648	0.0837348	0.103035	0.141932
a75	0.294911	0.20803	0.109952	0.0800015	0.0538449	0.0489321	0.075953	0.128375
a98	0.460633	0.271724	0.0868851	0.04237	0.0311818	0.0272227	0.0329628	0.0470206
a15	0.446213	0.301276	0.0971939	0.0415238	0.0278478	0.023679	0.0269681	0.0352985
a44	0.3939	0.271443	0.116184	0.066009	0.0414401	0.0345341	0.0346725	0.0418174
a79	0.359831	0.302163	0.137783	0.0622583	0.0329885	0.0304033	0.0322094	0.042363
a44	0.256493	0.249839	0.183811	0.108646	0.0627604	0.0479952	0.0415749	0.048881
a61	0.192253	0.212181	0.226196	0.144197	0.0725265	0.052688	0.0446822	0.0552767
a0	0.14036	0.152889	0.215743	0.199259	0.116781	0.0720944	0.0495868	0.0532881
a11	0.0963946	0.101168	0.170429	0.212956	0.145258	0.106865	0.0789727	0.087956
a34	0.0586922	0.0640399	0.132254	0.21998	0.198932	0.14724	0.0903593	0.0885025
a75	0.0407095	0.045168	0.106116	0.211012	0.223561	0.183896	0.102415	0.0871211
a85	0.0530995	0.0531761	0.0832034	0.130709	0.169349	0.181748	0.154616	0.174099
a43	0.0437453	0.0418221	0.0583031	0.0901073	0.139123	0.19935	0.188689	0.238859
a11	0.0138108	0.0114054	0.0191857	0.0378563	0.0769814	0.17767	0.250034	0.413055
a24	0.00421466	0.00346314	0.00670956	0.0165432	0.0447261	0.133202	0.25572	0.535421
a83	0.00254734	0.00213223	0.0042411	0.0124562	0.035974	0.126922	0.263391	0.552336
a18	0.00239636	0.00202106	0.00399803	0.0127396	0.035937	0.124079	0.261077	0.557753
a93	0.00432021	0.00308373	0.00434896	0.0139924	0.0517877	0.149609	0.265411	0.507448
a13	0.00103491	0.000839771	0.00176522	0.00589371	0.019717	0.0941296	0.251696	0.624924
a9	0.013708	0.00993988	0.0124687	0.0269611	0.071533	0.167501	0.259823	0.438065
a87	0.031989	0.0235092	0.0253043	0.0417763	0.0904868	0.146441	0.22518	0.415313
a23	0.126601	0.084016	0.0610629	0.0642202	0.107218	0.146005	0.169851	0.241025
a87	0.058314	0.0374254	0.0304162	0.036162	0.0834141	0.180528	0.251916	0.321824
</S>	0.0180205	0.0136318	0.0159272	0.0268063	0.0674497	0.16135	0.262964	0.433851
