 	il	invoque	les	âmes	de	ces	ancêtres	</S>
a23	0.280946	0.188315	0.144442	0.155923	0.126166	0.0585985	0.0279631	0.0176482
a79	0.23897	0.3209	0.155904	0.118913	0.0849142	0.0342024	0.0226801	0.0235156
a20	0.199915	0.317249	0.178049	0.129137	0.0998639	0.0386732	0.0206762	0.0164367
a14	0.539399	0.312426	0.068471	0.0284302	0.0196987	0.0115511	0.00901015	0.011013
a35	0.426564	0.317025	0.120329	0.060168	0.0398003	0.0177633	0.0104953	0.00785578
a30	0.383224	0.279294	0.142212	0.0849434	0.0597974	0.0250824	0.0144191	0.011028
a35	0.2306	0.229084	0.183877	0.149049	0.111461	0.048334	0.0273143	0.020282
a11	0.164932	0.201151	0.21584	0.187451	0.132176	0.0509325	0.0278447	0.0196733
a75	0.119327	0.165798	0.206832	0.208736	0.164472	0.0725481	0.0381646	0.0241228
a30	0.106443	0.150629	0.196466	0.206133	0.15291	0.0896643	0.0580964	0.0396578
a35	0.188327	0.214361	0.183545	0.137152	0.109273	0.0770406	0.0537048	0.0365965
a66	0.132879	0.165277	0.186818	0.169401	0.140013	0.0911973	0.0690781	0.0453369
a38	0.129975	0.17947	0.177886	0.160388	0.131236	0.088962	0.0771451	0.0549383
a26	0.142197	0.190941	0.193468	0.155948	0.123184	0.0800845	0.0651221	0.0490555
a24	0.119588	0.190075	0.184284	0.154043	0.133573	0.0847818	0.0727045	0.0609514
a25	0.166069	0.223493	0.188471	0.12839	0.103162	0.0747706	0.0636348	0.0520103
a84	0.0196618	0.0515222	0.0954485	0.126706	0.131987	0.141816	0.195682	0.237176
a54	0.0446409	0.0846815	0.0925503	0.0986632	0.0908331	0.129529	0.20191	0.257192
a14	0.052233	0.0937953	0.133129	0.13999	0.113634	0.100349	0.15666	0.210209
a35	0.0363243	0.0712244	0.147204	0.160146	0.128724	0.110062	0.157662	0.188653
a14	0.0222996	0.0387952	0.0899901	0.119346	0.100794	0.118612	0.208995	0.301168
a35	0.033953	0.0505471	0.0799907	0.107288	0.0956222	0.106364	0.189385	0.33685
a57	0.0174406	0.0263458	0.0519714	0.0634509	0.0536283	0.0867217	0.234659	0.465782
a40	0.0142963	0.0284232	0.062265	0.0803966	0.0692674	0.0950911	0.224672	0.425589
a75	0.0118039	0.0185507	0.0413444	0.0503713	0.0429452	0.0818172	0.235445	0.517723
a14	0.00340928	0.00674343	0.0212213	0.0331168	0.0355408	0.0809244	0.242562	0.576482
a41	0.006149	0.00956612	0.0225262	0.0348891	0.0374137	0.0806607	0.242223	0.566572
a14	0.00794913	0.00978955	0.0201921	0.029171	0.0296027	0.0655355	0.241522	0.596238
a73	0.00872723	0.0106957	0.0207238	0.0278007	0.0272883	0.0635637	0.24267	0.598531
a90	0.00469114	0.00727491	0.0196316	0.0349416	0.0364618	0.0660532	0.26439	0.566556
a69	0.00406625	0.00809287	0.0217828	0.042586	0.0440411	0.0769767	0.241703	0.560751
a20	0.0058198	0.0137692	0.0347166	0.0579843	0.0563293	0.0710501	0.217177	0.543154
a84	0.00987075	0.0187334	0.0431392	0.0580078	0.0480743	0.0590333	0.203778	0.559363
a57	0.0110544	0.0120226	0.0209026	0.0327166	0.0349668	0.0785313	0.250165	0.559641
a87	0.167597	0.13656	0.146637	0.0967376	0.0802583	0.0853257	0.134616	0.152269
a10	0.150183	0.0926718	0.0976838	0.0717246	0.0753325	0.103775	0.178634	0.229995
a87	0.0523589	0.0434873	0.0705009	0.0761387	0.0919371	0.157636	0.240802	0.267139
</S>	0.0532735	0.0460812	0.0695657	0.073325	0.0753722	0.122306	0.235245	0.324832
