 	cet	homme	traîne	derrière	lui	un	lot	de	bambous	</S>
a66	0.182776	0.148819	0.124501	0.141653	0.158517	0.142874	0.0681502	0.0202671	0.00745562	0.00498751
a87	0.231733	0.17738	0.108392	0.110024	0.134373	0.147018	0.042499	0.022337	0.0146677	0.0115755
a23	0.275079	0.230118	0.211751	0.122471	0.0779981	0.0469541	0.0124401	0.00866348	0.00712314	0.00740172
a30	0.324555	0.228334	0.236539	0.112117	0.0489695	0.0229432	0.00549615	0.00461096	0.00579477	0.0106411
a70	0.358956	0.234667	0.202085	0.0923839	0.0502345	0.0287585	0.00965728	0.00691026	0.0067532	0.00959444
a93	0.399732	0.19992	0.132685	0.0780649	0.0686032	0.0627014	0.0207219	0.0132901	0.0107926	0.0134891
a4	0.368243	0.225762	0.0956132	0.0686937	0.0866177	0.098188	0.0219177	0.012041	0.0103929	0.0125308
a93	0.207302	0.173157	0.118272	0.091968	0.137653	0.149238	0.0475817	0.0273359	0.0227206	0.0247718
a90	0.174957	0.143503	0.114335	0.0965389	0.155055	0.174838	0.0668763	0.0334656	0.0200145	0.0204174
a98	0.105504	0.0917583	0.0860542	0.075589	0.142852	0.19748	0.114978	0.0824969	0.05046	0.0528274
a47	0.0350896	0.0359827	0.0388926	0.0365484	0.0872044	0.1463	0.178144	0.192867	0.133998	0.114974
a7	0.0774687	0.0691209	0.0668769	0.0623043	0.0920809	0.105261	0.0985835	0.115257	0.122487	0.190559
a90	0.0775309	0.0729485	0.145423	0.135532	0.143062	0.114406	0.0694697	0.0603597	0.0666309	0.114638
a56	0.0347247	0.0380343	0.093648	0.104055	0.134466	0.138332	0.140332	0.107052	0.0899016	0.119455
a47	0.0243204	0.029096	0.0845905	0.121523	0.169912	0.177159	0.154594	0.0912009	0.0689235	0.0786812
a96	0.0119144	0.014576	0.0560833	0.0849167	0.115211	0.119333	0.187196	0.123083	0.110922	0.176764
a88	0.022056	0.0225385	0.0649973	0.0966188	0.10898	0.106215	0.15909	0.113641	0.114166	0.191699
a21	0.0221739	0.0216362	0.0732208	0.0904508	0.0709932	0.0460903	0.0854367	0.093948	0.14764	0.34841
a85	0.0125261	0.0106475	0.0180124	0.0237576	0.0247227	0.0284678	0.0773541	0.150345	0.303621	0.350546
a92	0.00431257	0.00361749	0.00892754	0.0133659	0.0157866	0.0190853	0.0594213	0.113311	0.26928	0.492892
a37	0.00440733	0.00363278	0.00874664	0.0122193	0.0138743	0.0152303	0.0440114	0.0884269	0.258492	0.550959
a98	0.00995048	0.00958666	0.0139845	0.0186373	0.016396	0.0140813	0.0295042	0.0651879	0.209566	0.613106
a47	0.00279715	0.00233333	0.00320502	0.003561	0.00343233	0.00456544	0.0173575	0.051565	0.210482	0.700701
a36	0.00349844	0.00275956	0.00254875	0.00278713	0.00273742	0.00373827	0.0143049	0.057442	0.245321	0.664862
a2	0.0664017	0.0506577	0.0221551	0.0222966	0.0239782	0.026962	0.0269093	0.0785023	0.216507	0.46563
a57	0.140634	0.103549	0.0511504	0.0544884	0.0687573	0.0759018	0.0562046	0.0713229	0.113035	0.264957
a87	0.119375	0.105362	0.0616944	0.062799	0.0875457	0.102563	0.0958216	0.107604	0.120031	0.137204
a23	0.0768525	0.0651219	0.0453123	0.0476471	0.0909541	0.101492	0.0873	0.13208	0.168244	0.184997
a87	0.0267501	0.0319787	0.0444576	0.0489661	0.074421	0.0681972	0.0728066	0.106037	0.2034	0.322985
</S>	0.00530966	0.00540762	0.0143654	0.0112091	0.0156183	0.0176873	0.0372717	0.0905937	0.29415	0.508387
