 	il	a	approuvé	le	jugement	du	chef	</S>
a87	0.154889	0.0583836	0.0308605	0.0293108	0.0422028	0.16309	0.241844	0.279419
a23	0.243446	0.145522	0.092385	0.0991479	0.0869816	0.0945676	0.107289	0.130661
a79	0.25996	0.133478	0.0660818	0.0587056	0.0544066	0.0916005	0.135828	0.199939
a20	0.169829	0.0791655	0.0672587	0.0740501	0.0900934	0.11029	0.157563	0.25175
a73	0.439721	0.249757	0.128551	0.0704517	0.0428733	0.0236693	0.0228055	0.0221718
a26	0.409271	0.330951	0.131668	0.0578751	0.0228391	0.0158329	0.0156653	0.0158982
a38	0.339516	0.311274	0.152532	0.06676	0.0344857	0.0283414	0.0309229	0.0361687
a41	0.250946	0.271258	0.187581	0.103012	0.0556958	0.0421168	0.0430123	0.0463785
a61	0.192943	0.208175	0.203107	0.148469	0.096068	0.0564428	0.0479775	0.046817
a18	0.134004	0.130671	0.16743	0.161836	0.145233	0.0935981	0.0827229	0.0845046
a24	0.076147	0.0587876	0.0744526	0.117141	0.184845	0.16207	0.15764	0.168916
a12	0.0513743	0.0407361	0.0523633	0.0868582	0.170234	0.186565	0.201615	0.210254
a94	0.0468853	0.0347608	0.0456898	0.0743184	0.167964	0.199921	0.217074	0.213387
a38	0.0503069	0.0344246	0.0380342	0.0588175	0.157372	0.211095	0.231396	0.218553
a41	0.0277715	0.0187234	0.0198834	0.0400299	0.158304	0.247569	0.256542	0.231176
a24	0.00620827	0.00479428	0.00796482	0.0241431	0.155471	0.25364	0.275515	0.272263
a41	0.00374841	0.00314407	0.00563196	0.0153081	0.0943152	0.186157	0.285959	0.405737
a76	0.00212665	0.00206611	0.00431019	0.0110476	0.0800195	0.193297	0.305989	0.401143
a69	0.00159495	0.00195674	0.00551676	0.0183601	0.116904	0.233549	0.307842	0.314276
a58	0.00300705	0.00287994	0.00619165	0.0174136	0.0802983	0.189226	0.285548	0.415435
a53	0.000801816	0.000698417	0.00117485	0.00494264	0.0390445	0.134948	0.295642	0.522748
a4	0.000932758	0.000719016	0.00108186	0.00419477	0.0249849	0.111097	0.293146	0.563844
a13	0.00106892	0.000823519	0.00114605	0.00416424	0.0227339	0.108128	0.27881	0.583125
a9	0.00143908	0.00142613	0.00214296	0.00889785	0.039089	0.154842	0.296345	0.495818
a10	0.00160613	0.0017336	0.00254036	0.00940846	0.0462627	0.18117	0.312109	0.44517
a87	0.0019515	0.00194594	0.00239625	0.00591996	0.0282757	0.157856	0.320157	0.481497
</S>	0.0088717	0.0106086	0.0127584	0.018659	0.0487897	0.165903	0.294918	0.439491
