 	le	mari	est	mort	et	a	laissé	sa	femme	dans	les	souffrances	</S>
a87	0.153269	0.095813	0.0623389	0.0713403	0.108161	0.11742	0.113566	0.090625	0.0760544	0.0634376	0.0312031	0.00973531	0.00703669
a23	0.333889	0.152057	0.0739369	0.0537998	0.0485738	0.0452283	0.0430956	0.0434766	0.0515843	0.037464	0.0399378	0.039602	0.0373559
a87	0.182917	0.126303	0.114221	0.125222	0.0919111	0.0679692	0.0515354	0.0419983	0.0377748	0.0299852	0.0240467	0.0374577	0.0686589
a23	0.16498	0.120135	0.114958	0.133748	0.113963	0.0806232	0.0568079	0.0415918	0.0396386	0.0411466	0.0304935	0.0288859	0.0330277
a30	0.199842	0.162091	0.15316	0.154798	0.0919598	0.0584645	0.0384265	0.0278974	0.0259027	0.0221378	0.01756	0.0176908	0.03007
a4	0.130829	0.140202	0.144408	0.150576	0.10556	0.0748173	0.0512958	0.0360838	0.0331772	0.0290259	0.0236595	0.028937	0.0514289
a93	0.26085	0.246926	0.158127	0.080959	0.0494764	0.0391448	0.0267886	0.0138071	0.0107295	0.0122545	0.016241	0.0335494	0.0511467
a56	0.22712	0.239107	0.161455	0.0934888	0.0566671	0.0408072	0.0278756	0.0155582	0.0126974	0.0157609	0.0223651	0.0381151	0.0489827
a44	0.154044	0.189555	0.168714	0.120203	0.0794819	0.0603254	0.043972	0.0259261	0.019714	0.0215678	0.0308624	0.0427997	0.0428358
a56	0.0855034	0.1099	0.13854	0.13102	0.100658	0.0804235	0.0638365	0.040126	0.0298892	0.0280859	0.0448791	0.0740076	0.0731309
a76	0.070743	0.0894506	0.124625	0.131832	0.110811	0.0978849	0.0836745	0.0544487	0.0393019	0.0348459	0.0462253	0.0626282	0.0535294
a69	0.0369929	0.0553064	0.0856545	0.0964923	0.0920374	0.0931079	0.0928531	0.0830962	0.0709163	0.0649159	0.0646188	0.0750201	0.0889881
a4	0.038023	0.058494	0.108866	0.134455	0.122383	0.104727	0.0886972	0.0672037	0.0532373	0.04557	0.0498884	0.0561192	0.0723353
a75	0.0308835	0.0450415	0.0916217	0.140469	0.143582	0.118135	0.0934433	0.0648675	0.048472	0.0390778	0.0423908	0.0590238	0.0829923
a21	0.0230185	0.0305985	0.0561564	0.0964398	0.11578	0.11334	0.11023	0.0989163	0.0778477	0.0572847	0.04893	0.061926	0.109532
a47	0.0335457	0.0455373	0.0774563	0.119796	0.137105	0.123641	0.11016	0.0913376	0.07147	0.0554638	0.0453333	0.0401964	0.0489573
a31	0.021067	0.0275051	0.0423528	0.0747925	0.115872	0.111512	0.110652	0.114139	0.104812	0.0792819	0.0635087	0.0530436	0.081461
a83	0.0169901	0.0214702	0.0358234	0.0644643	0.111278	0.109555	0.11177	0.126392	0.12805	0.0919734	0.0603781	0.0472773	0.0745772
a9	0.0105022	0.0127849	0.0230825	0.0472478	0.0914903	0.0981318	0.107666	0.134262	0.142223	0.0994431	0.0641306	0.0595789	0.109456
a99	0.00360744	0.00425796	0.00896108	0.0262537	0.0586432	0.0795682	0.105883	0.124655	0.134729	0.114549	0.0975899	0.106856	0.134447
