 	j'	ai	attrapé	une	petite	perche	à	l'	hameçon	</S>
a66	0.318213	0.239946	0.164054	0.0928955	0.0467738	0.0299651	0.026601	0.0308437	0.0270052	0.0237022
a87	0.20944	0.25883	0.198934	0.132225	0.127211	0.0429761	0.0148559	0.00632757	0.00462275	0.0045771
a23	0.320406	0.285074	0.164426	0.105065	0.0756173	0.0215644	0.0083796	0.00505244	0.0067439	0.0076712
a99	0.228151	0.273522	0.141857	0.106987	0.136476	0.0276967	0.0178375	0.0165218	0.0227291	0.0282218
a50	0.169606	0.230257	0.134141	0.108582	0.160701	0.0361417	0.0277892	0.0346772	0.0481992	0.0499063
a31	0.215173	0.218249	0.150482	0.185259	0.13802	0.0345988	0.0182397	0.013012	0.013386	0.0135791
a88	0.0855843	0.165163	0.19921	0.216468	0.243667	0.0568728	0.0151548	0.00738771	0.00523395	0.00525802
a62	0.0570019	0.123371	0.176171	0.197603	0.309036	0.0861046	0.024925	0.0112358	0.00735911	0.00719271
a21	0.0530352	0.101224	0.167681	0.171967	0.307336	0.127648	0.0374701	0.0154418	0.00935412	0.00884292
a47	0.0516322	0.0926041	0.152218	0.145368	0.289044	0.163855	0.0486113	0.0232267	0.0166802	0.01676
a96	0.0418086	0.0694198	0.098488	0.107639	0.229372	0.21139	0.0984488	0.0608925	0.0431469	0.0393935
a61	0.0234559	0.0358379	0.0547896	0.0655624	0.140598	0.256408	0.168782	0.111504	0.0781651	0.0648981
a21	0.0257469	0.0349496	0.0478612	0.0559229	0.117514	0.237398	0.195144	0.126464	0.0891947	0.0698055
a12	0.0194288	0.0238095	0.0304012	0.0337527	0.0484305	0.100752	0.197562	0.206697	0.191601	0.147565
a21	0.0117576	0.012528	0.0154645	0.0170397	0.0209007	0.0514578	0.181241	0.251059	0.254719	0.183833
a12	0.00607656	0.00546765	0.00590808	0.00633706	0.00789364	0.0285809	0.137488	0.244997	0.31453	0.24272
a47	0.00445411	0.00443787	0.00480958	0.00553529	0.00624788	0.016623	0.0795788	0.228993	0.34173	0.30759
a75	0.00727949	0.00779518	0.00707295	0.0103709	0.0128561	0.0276692	0.106394	0.237291	0.320411	0.26286
a25	0.00158325	0.00119467	0.00102806	0.00180903	0.0031221	0.0209057	0.101963	0.239184	0.311895	0.317315
a79	0.000985965	0.000575679	0.000415712	0.000700181	0.000907722	0.00643842	0.0520763	0.192252	0.354185	0.391463
a69	0.000760521	0.000465725	0.000367641	0.000572135	0.000801851	0.00336543	0.0226326	0.149305	0.376618	0.445111
a58	0.000764636	0.000394398	0.000335858	0.000532408	0.000896901	0.00344694	0.0185398	0.125443	0.356131	0.493514
a82	0.000948534	0.000489751	0.000344009	0.000402171	0.000727132	0.00389763	0.0200161	0.129193	0.341401	0.502581
a87	0.0631425	0.0483371	0.0357612	0.0355678	0.0297008	0.0364371	0.0544173	0.129573	0.223032	0.34403
a23	0.259176	0.194473	0.135232	0.104974	0.0673294	0.0529652	0.0376623	0.0459783	0.0482653	0.0539445
a99	0.1153	0.0975778	0.0496829	0.0581621	0.0374627	0.0431104	0.0645995	0.12323	0.176573	0.234301
a38	0.0357838	0.0237097	0.0113187	0.015964	0.0147184	0.0263515	0.0712977	0.165316	0.271024	0.364516
</S>	0.00611024	0.00556193	0.00397748	0.00585912	0.00890658	0.0249067	0.0658994	0.161998	0.300575	0.416205
