 	les	moutons	broutent	</S>
a23	0.455823	0.209061	0.157736	0.177381
a50	0.460376	0.283744	0.162898	0.0929827
a62	0.607247	0.217689	0.0925291	0.0825347
a83	0.604675	0.290638	0.0712864	0.0334007
a75	0.633646	0.283759	0.0566292	0.0259655
a92	0.503201	0.335288	0.0982064	0.0633049
a44	0.379099	0.337747	0.162769	0.120385
a90	0.228062	0.329687	0.28033	0.161921
a4	0.180461	0.280066	0.30974	0.229732
a90	0.138609	0.222238	0.334956	0.304196
a4	0.121887	0.189571	0.345054	0.343487
a34	0.0826891	0.139055	0.338361	0.439896
a31	0.0467245	0.0899806	0.318902	0.544393
a0	0.0329648	0.0717403	0.320331	0.574964
a75	0.0243407	0.0616294	0.27105	0.64298
a47	0.0707538	0.110024	0.293406	0.525816
a2	0.0597934	0.0998314	0.308208	0.532167
a57	0.0943576	0.127658	0.242353	0.535631
a87	0.188575	0.131589	0.217941	0.461894
a23	0.310903	0.158249	0.214128	0.31672
a87	0.198641	0.162416	0.260656	0.378286
</S>	0.109621	0.129845	0.296045	0.464489
