 	voler	est	une	mauvaise	action	</S>
a23	0.412692	0.228143	0.133014	0.102963	0.0640899	0.0590987
a24	0.317443	0.194888	0.137341	0.153705	0.113577	0.0830452
a26	0.482641	0.268102	0.125342	0.064564	0.0345068	0.0248447
a35	0.496825	0.258684	0.118014	0.0656811	0.0366586	0.0241372
a26	0.449819	0.24741	0.131931	0.110601	0.0374848	0.0227538
a24	0.380301	0.252173	0.155448	0.14373	0.041598	0.0267496
a71	0.351261	0.273242	0.157498	0.13952	0.0470391	0.0314398
a38	0.241177	0.232586	0.164396	0.213744	0.0922289	0.0558672
a26	0.189793	0.189694	0.176886	0.210223	0.138392	0.0950119
a83	0.133658	0.156474	0.174242	0.223478	0.184572	0.127575
a25	0.0843478	0.104102	0.145577	0.210173	0.255877	0.199922
a87	0.0821703	0.0968545	0.155052	0.212427	0.25115	0.202347
a38	0.0767032	0.0961289	0.135871	0.163282	0.251539	0.276476
a50	0.0716855	0.0808816	0.122777	0.146711	0.263298	0.314647
a62	0.0378023	0.0441883	0.0692183	0.0984508	0.293737	0.456604
a70	0.021413	0.0261488	0.0378972	0.0695807	0.294813	0.550147
a94	0.022257	0.0260434	0.0338665	0.0597639	0.277542	0.580528
a76	0.028257	0.0336423	0.0425626	0.0726514	0.25543	0.567457
a41	0.0191561	0.0211378	0.0305313	0.0344959	0.193786	0.700893
a24	0.0102964	0.0109072	0.0176121	0.0207861	0.178402	0.761996
a62	0.0106841	0.0123085	0.0173523	0.0233385	0.175962	0.760355
a83	0.00996516	0.01151	0.015072	0.0281376	0.199314	0.736001
a13	0.0163012	0.0228153	0.0306362	0.0606127	0.244112	0.625523
a62	0.0239968	0.0332235	0.0443459	0.0710993	0.225137	0.602197
a98	0.0220631	0.0304698	0.03794	0.0768379	0.246296	0.586394
a25	0.0200692	0.0272418	0.0388055	0.0603908	0.219388	0.634104
a87	0.0159785	0.0229122	0.0339247	0.0559353	0.224638	0.646611
a23	0.0251764	0.0321885	0.037224	0.0656413	0.225121	0.614649
a87	0.0793036	0.078891	0.0672271	0.0769463	0.199907	0.497725
</S>	0.0425173	0.0454788	0.0477897	0.0568878	0.204665	0.602661
