 	on	l'	a	grondé	car	il	a	fait	une	bêtise	</S>
a87	0.350113	0.228427	0.101061	0.0815244	0.0636132	0.0524175	0.0478738	0.0283428	0.0152955	0.0146212	0.0167096
a23	0.196798	0.141132	0.0896419	0.0766482	0.0843849	0.0851784	0.0920756	0.070958	0.0540438	0.0528049	0.0563338
a87	0.113706	0.0810223	0.0690053	0.0711428	0.106775	0.126476	0.11728	0.0851939	0.0751844	0.0712263	0.0829881
a40	0.128182	0.0937952	0.0791162	0.0644723	0.0773797	0.0862171	0.0827526	0.0663916	0.0887796	0.0978007	0.135113
a73	0.330218	0.196125	0.10841	0.0618207	0.0528392	0.038743	0.0274388	0.0179032	0.0278041	0.0506228	0.0880749
a94	0.290775	0.239593	0.158904	0.0846853	0.0584507	0.0515755	0.0331154	0.023405	0.0199368	0.021039	0.0185204
a38	0.230746	0.233661	0.182064	0.112319	0.0653323	0.0542212	0.0332283	0.0255572	0.0209276	0.0215346	0.0204098
a73	0.175868	0.210222	0.198955	0.124968	0.0754963	0.0622744	0.0394458	0.0313852	0.0267784	0.027861	0.0267453
a94	0.164341	0.18878	0.206259	0.131621	0.101596	0.0744734	0.0436408	0.0283748	0.019095	0.0206271	0.0211917
a76	0.136033	0.164426	0.200428	0.131894	0.114071	0.0846443	0.051701	0.036538	0.0255346	0.0269139	0.0278159
a73	0.125801	0.147016	0.163748	0.113767	0.135768	0.1061	0.0716906	0.0478081	0.0300867	0.0288728	0.0293431
a32	0.144217	0.150849	0.144863	0.114517	0.139075	0.101384	0.0664785	0.0436092	0.0288797	0.031574	0.0345537
a75	0.0999913	0.105109	0.137039	0.115355	0.168001	0.120455	0.0800561	0.0503465	0.0303775	0.0421748	0.0510942
a94	0.0688349	0.0690344	0.0912306	0.0769594	0.137452	0.121396	0.110993	0.0811671	0.0697949	0.0834162	0.089722
a75	0.0569527	0.0519858	0.0632081	0.0595652	0.106911	0.100358	0.116879	0.0993853	0.0813842	0.118274	0.145097
a73	0.0623581	0.0508775	0.0596936	0.0558181	0.0936125	0.0902217	0.114982	0.0931615	0.087091	0.128989	0.163194
a20	0.0559731	0.0473165	0.0575703	0.0574753	0.101715	0.0864931	0.103595	0.0785628	0.0825409	0.131461	0.197297
a41	0.0774722	0.0555696	0.0549717	0.0481906	0.0567756	0.044346	0.065931	0.0591978	0.0887991	0.169823	0.278923
a27	0.0496893	0.0356878	0.045255	0.0570299	0.0806134	0.0700436	0.0954085	0.074993	0.101924	0.158186	0.23117
a38	0.0216769	0.0175087	0.0326549	0.0478361	0.0704645	0.0491714	0.0825652	0.0730718	0.110027	0.195416	0.299608
a93	0.0317922	0.0235147	0.0403783	0.0487375	0.0603152	0.038735	0.0614346	0.0601171	0.100587	0.195531	0.338857
a13	0.0280702	0.0203602	0.0304126	0.029826	0.0469782	0.0323771	0.0588748	0.0670401	0.115936	0.239421	0.330704
a38	0.0206274	0.0128942	0.0174174	0.0168132	0.0281965	0.0222378	0.0399887	0.0501755	0.114517	0.261654	0.415478
a24	0.0174928	0.00979371	0.0124093	0.012271	0.0219466	0.0188604	0.0365017	0.0450662	0.11588	0.266028	0.44375
a98	0.0217546	0.0131066	0.013375	0.0139177	0.0193718	0.0161615	0.0291666	0.0386499	0.117651	0.269953	0.446892
a50	0.0211147	0.0114034	0.0112398	0.0100812	0.0147448	0.0142502	0.0245061	0.0351066	0.110559	0.2641	0.482894
a24	0.0139622	0.00803049	0.00845125	0.00878448	0.0138552	0.0126026	0.0214505	0.0293674	0.0907212	0.249704	0.543071
a9	0.0208548	0.0118971	0.011843	0.011678	0.018216	0.0168426	0.0257868	0.0329383	0.0995498	0.238524	0.511869
a87	0.0159329	0.0108696	0.0144628	0.0159406	0.0269026	0.0237446	0.0378385	0.0459753	0.131875	0.214293	0.462164
</S>	0.00332094	0.00209945	0.00301636	0.00393041	0.00771558	0.00775981	0.0213352	0.030521	0.126756	0.201902	0.591643
