 	il	a	beaucoup	d'	appétit	</S>
a23	0.277714	0.184065	0.138511	0.161291	0.120993	0.117428
a53	0.219144	0.151054	0.165106	0.169467	0.14262	0.152608
a20	0.331172	0.261609	0.149198	0.111579	0.0836555	0.0627875
a14	0.467268	0.307961	0.121958	0.0566748	0.0281649	0.017973
a35	0.462409	0.274786	0.122715	0.0723855	0.0413349	0.0263697
a66	0.472602	0.262262	0.122961	0.0775717	0.0416428	0.0229599
a38	0.414878	0.258876	0.142346	0.101672	0.0532696	0.028959
a26	0.367196	0.246224	0.159079	0.126648	0.0665219	0.0343312
a35	0.376824	0.248284	0.153647	0.119485	0.0663836	0.035376
a14	0.264614	0.216332	0.17124	0.164483	0.122044	0.0612865
a44	0.207409	0.17374	0.157203	0.181083	0.172869	0.107696
a57	0.139823	0.122002	0.143476	0.201729	0.239937	0.153034
a76	0.0441547	0.0494712	0.0822775	0.148744	0.288159	0.387194
a94	0.0490223	0.054711	0.100945	0.213362	0.304453	0.277506
a43	0.0311517	0.0373904	0.0727903	0.157981	0.299942	0.400744
a76	0.0107014	0.0138802	0.0314937	0.08996	0.268445	0.58552
a90	0.0164007	0.0243372	0.0586963	0.174298	0.325922	0.400346
a38	0.0199796	0.0251457	0.0521518	0.140604	0.271534	0.490584
a14	0.00875028	0.0130304	0.0317798	0.0971984	0.264102	0.585139
a73	0.00784102	0.0137666	0.0343936	0.103654	0.271754	0.568591
a57	0.00581801	0.00964654	0.0264957	0.0798036	0.258581	0.619655
a87	0.00721652	0.0106645	0.0239063	0.0658301	0.243416	0.648967
a23	0.0156757	0.0225596	0.0452823	0.129237	0.320937	0.466308
a87	0.100208	0.116945	0.139314	0.215741	0.221368	0.206424
</S>	0.0171263	0.0279794	0.0713224	0.213323	0.321933	0.348316
