 	aujourd'	hui	le	temps	est	doux	</S>
a66	0.240272	0.220018	0.187176	0.168182	0.082718	0.063853	0.0377805
a87	0.207041	0.194043	0.198169	0.169529	0.0759183	0.0852254	0.0700747
a97	0.26172	0.217996	0.208828	0.183492	0.0695591	0.0430073	0.0153984
a99	0.21747	0.206857	0.231282	0.197109	0.0859987	0.0474435	0.0138399
a0	0.238365	0.199373	0.209415	0.182996	0.0870727	0.0608787	0.0218991
a54	0.22518	0.153471	0.15321	0.173553	0.123515	0.115632	0.0554381
a73	0.264379	0.178143	0.150745	0.115776	0.0764973	0.112102	0.102358
a26	0.237399	0.210166	0.18711	0.128524	0.0710687	0.0806464	0.0850859
a54	0.127303	0.119994	0.120445	0.11919	0.102595	0.189191	0.221282
a15	0.155443	0.157178	0.155551	0.136705	0.105135	0.137961	0.152027
a69	0.170027	0.15212	0.141457	0.115658	0.0885625	0.137541	0.194634
a53	0.106205	0.10216	0.109184	0.115518	0.109421	0.178272	0.279241
a4	0.068757	0.0669576	0.0816741	0.105722	0.110133	0.209057	0.3577
a70	0.0528638	0.0519569	0.0648326	0.0941601	0.11055	0.237015	0.388621
a98	0.0197057	0.0187118	0.0192882	0.0283335	0.0662944	0.245222	0.602444
a50	0.03893	0.034122	0.0310239	0.0377936	0.0763354	0.250457	0.531338
a83	0.00357932	0.00330585	0.00376349	0.00764132	0.0461132	0.242035	0.693562
a18	0.00416971	0.0035966	0.00342822	0.00596613	0.0417406	0.212659	0.72844
a9	0.00361123	0.00325254	0.00384818	0.00746831	0.0498479	0.189127	0.742845
a87	0.0119434	0.00984749	0.00940093	0.0149313	0.051774	0.190982	0.711121
a23	0.141103	0.110103	0.101123	0.101294	0.108824	0.156918	0.280635
a87	0.167926	0.124666	0.0932715	0.0653553	0.0935131	0.144283	0.310985
</S>	0.140637	0.12773	0.11438	0.0881478	0.124382	0.156953	0.24777
