 	la	manière	dont	on	nous	paye	est	tardive	</S>
a66	0.172339	0.145993	0.173877	0.279832	0.134474	0.0551823	0.0171006	0.0113525	0.00984901
a87	0.279047	0.185905	0.150881	0.115848	0.0896897	0.0526371	0.0408221	0.0454357	0.0397348
a23	0.307562	0.211839	0.146407	0.120105	0.0778774	0.0420607	0.02579	0.0340634	0.0342956
a50	0.248547	0.29382	0.128242	0.0669357	0.0590806	0.0494456	0.0510853	0.0612553	0.0415882
a88	0.215864	0.265354	0.204473	0.119338	0.0508762	0.0467293	0.0340466	0.0353382	0.0279812
a43	0.253932	0.263008	0.242478	0.146581	0.0430704	0.0274806	0.0129974	0.00666901	0.00378299
a11	0.265643	0.262885	0.255224	0.127854	0.0379525	0.0228305	0.0145756	0.00820342	0.00483157
a93	0.272989	0.287482	0.242264	0.112405	0.0382726	0.019958	0.0124957	0.00765103	0.00648157
a44	0.207035	0.243562	0.25311	0.137891	0.0576232	0.0368852	0.027272	0.0178823	0.0187393
a34	0.171944	0.183782	0.235365	0.161877	0.0817434	0.0573974	0.0420207	0.0312594	0.0346116
a21	0.171153	0.181803	0.236468	0.195227	0.0977436	0.053468	0.0252661	0.0192001	0.0196711
a75	0.150889	0.189289	0.231851	0.175892	0.0957721	0.0598122	0.0335867	0.0305519	0.0323552
a56	0.0606585	0.108336	0.181548	0.172271	0.146186	0.140438	0.0902417	0.0587901	0.0415295
a75	0.098455	0.134785	0.197924	0.197944	0.132312	0.0768111	0.0455465	0.0560617	0.0601601
a98	0.0638896	0.092788	0.155209	0.172556	0.122832	0.0958916	0.0888046	0.111461	0.096569
a15	0.0205568	0.0309743	0.0889713	0.172175	0.216582	0.161844	0.117565	0.10626	0.0850724
a98	0.0152717	0.020244	0.0529341	0.126953	0.169568	0.1504	0.125624	0.163643	0.175362
a47	0.0139195	0.0199451	0.0566457	0.141585	0.177353	0.149451	0.124425	0.160348	0.156327
a36	0.00938998	0.0107068	0.0229158	0.066685	0.11109	0.163883	0.160366	0.210793	0.244171
a37	0.0105789	0.00954089	0.0135029	0.0332779	0.0694308	0.119706	0.127228	0.227053	0.389682
a43	0.0066831	0.00570265	0.00780635	0.0181351	0.0575685	0.108757	0.158335	0.247161	0.389851
a47	0.00366352	0.00241797	0.00282776	0.00548689	0.0254859	0.0635007	0.149798	0.291711	0.455108
a18	0.00261781	0.00149624	0.00169333	0.00314984	0.0151044	0.0428166	0.140381	0.321944	0.470797
a61	0.00136666	0.000449728	0.000519692	0.000987655	0.00403045	0.0158641	0.0670297	0.295547	0.614205
a96	0.000786827	0.000451723	0.000619602	0.00133294	0.00686481	0.0210787	0.0954145	0.332865	0.540586
a93	0.000324158	0.000161669	0.000240517	0.000501923	0.00262745	0.0105297	0.0606578	0.304988	0.619969
a70	0.000244663	0.000133145	0.000223853	0.000518992	0.00300861	0.0110164	0.0655637	0.311375	0.607915
a13	0.000258432	0.000120871	0.000179601	0.000383083	0.0020796	0.00957405	0.0539012	0.305684	0.627819
a62	0.000393712	0.000167988	0.000237188	0.000539956	0.00282921	0.0151457	0.0615555	0.291611	0.627519
a34	0.000675802	0.000322598	0.000527992	0.00138428	0.0068565	0.0268161	0.0783086	0.294946	0.590162
a54	0.000231234	0.000108452	0.00017119	0.000451167	0.00273023	0.0133855	0.0580159	0.291097	0.63381
a36	5.99849e-05	3.91438e-05	5.64166e-05	0.000117634	0.000690581	0.00356239	0.0226335	0.230029	0.742811
a26	0.00314121	0.00103203	0.00153041	0.00335161	0.0115457	0.0369596	0.0854012	0.256421	0.600618
a82	0.0744819	0.0216409	0.0217418	0.032247	0.0532127	0.0939259	0.144433	0.212399	0.345918
a87	0.1803	0.0760942	0.0560596	0.0583337	0.0765293	0.0821225	0.103545	0.156137	0.210879
a23	0.171506	0.0975005	0.084206	0.0802914	0.0913453	0.0931149	0.105074	0.133951	0.143011
a99	0.0357684	0.00882845	0.00480452	0.0040491	0.00883516	0.0161415	0.0628075	0.253374	0.605391
a26	0.0209831	0.00761771	0.00434273	0.00508419	0.0151471	0.0292968	0.0787701	0.260239	0.57852
</S>	0.00656366	0.003229	0.00270818	0.00390654	0.0101802	0.0193881	0.0654971	0.261558	0.626969
