 	celui	qui	s'	embourbe	à	cet	endroit	n'	arrivera	pas	à	brazaville	aujourd'	hui	</S>
a66	0.0936067	0.0826	0.101243	0.139802	0.179418	0.134914	0.108847	0.0732395	0.0295484	0.0215173	0.0118178	0.00677071	0.0054711	0.0054064	0.00579884
a87	0.286383	0.198919	0.122986	0.0639058	0.0651837	0.0571968	0.0315945	0.0313587	0.0125468	0.0153935	0.0153662	0.013073	0.0227445	0.0267272	0.0366212
a23	0.27367	0.163265	0.122911	0.0700199	0.0806633	0.068066	0.0570812	0.0453127	0.01693	0.0118394	0.00946689	0.00971983	0.0172541	0.0189386	0.0348613
a87	0.274744	0.169991	0.11111	0.115648	0.0711641	0.0558793	0.0411162	0.0243623	0.0131776	0.0123406	0.0111314	0.0106409	0.0181359	0.0234394	0.0471198
a23	0.23549	0.168713	0.131346	0.136753	0.0788544	0.0664716	0.0471815	0.0273179	0.0154432	0.0148142	0.0117306	0.00985808	0.0136987	0.0154559	0.0268719
a87	0.248047	0.154714	0.0886585	0.102328	0.0759489	0.0696193	0.0581364	0.0330807	0.0234497	0.0234046	0.0172938	0.0160514	0.0220218	0.0248417	0.0424043
a23	0.215619	0.146768	0.0895306	0.0950997	0.0794667	0.0752217	0.0657562	0.0429489	0.0341922	0.0345087	0.0236986	0.0199448	0.0226942	0.0218999	0.0326504
a79	0.2188	0.159757	0.0780158	0.074693	0.0706524	0.0673346	0.0672268	0.0494458	0.0387361	0.0393519	0.0258254	0.0224415	0.0262734	0.0252877	0.0361588
a90	0.226206	0.163875	0.0599407	0.0573134	0.0553689	0.0487618	0.0512663	0.0500695	0.0328692	0.043341	0.0358202	0.0310642	0.0410324	0.0444106	0.05866
a56	0.153804	0.113708	0.0751613	0.107601	0.101531	0.0731342	0.0742582	0.0825761	0.0431817	0.0384145	0.0353024	0.026854	0.0231562	0.0248074	0.0265102
a34	0.0586807	0.078715	0.0802709	0.145462	0.15993	0.11574	0.109273	0.0863083	0.0409804	0.0264411	0.0194848	0.0164408	0.016971	0.0215083	0.0237934
a56	0.0338966	0.0579879	0.0742774	0.177841	0.179116	0.129914	0.117101	0.0749455	0.0379241	0.025451	0.0182204	0.0156335	0.0157443	0.0199926	0.0219538
a93	0.0258617	0.0437954	0.0668591	0.172173	0.177076	0.134211	0.123949	0.0844352	0.0462321	0.0295335	0.0196845	0.0158676	0.0161342	0.0209952	0.0231921
a34	0.0241536	0.0403043	0.0675655	0.201167	0.186753	0.141621	0.118824	0.0790507	0.0380133	0.0240013	0.0156612	0.0128353	0.0134004	0.0176233	0.0190263
a61	0.0174129	0.0316253	0.0636429	0.208457	0.19065	0.144097	0.118298	0.0813514	0.0416596	0.0276246	0.0165577	0.0117023	0.0122856	0.0167409	0.0178949
a21	0.00885704	0.0242638	0.0580724	0.221195	0.188546	0.151967	0.124879	0.0762904	0.0361759	0.0263093	0.0180562	0.014008	0.0141786	0.0177068	0.0194943
