 	j'	ai	un	abcès	</S>
a23	0.392186	0.256415	0.16752	0.112677	0.0712025
a83	0.476422	0.230341	0.118795	0.100536	0.0739068
a13	0.469209	0.244962	0.138066	0.0928898	0.0548729
a26	0.443837	0.352547	0.128073	0.0524608	0.0230823
a32	0.346356	0.314547	0.177221	0.097988	0.0638875
a26	0.290126	0.247062	0.222975	0.145555	0.0942812
a35	0.271494	0.233165	0.22375	0.164284	0.107306
a25	0.284551	0.237829	0.232629	0.152576	0.0924144
a90	0.228533	0.211705	0.241212	0.194648	0.123903
a57	0.205147	0.191664	0.233872	0.206579	0.162738
a38	0.075583	0.0919763	0.208219	0.317649	0.306572
a62	0.0460431	0.061119	0.168165	0.330669	0.394003
a34	0.0414123	0.0574896	0.141834	0.304788	0.454476
a93	0.0231092	0.0349825	0.0991836	0.291538	0.551187
a90	0.0252734	0.0339542	0.0813431	0.250879	0.60855
a73	0.0189349	0.0229559	0.0550322	0.204767	0.69831
a57	0.0251668	0.0313792	0.0673511	0.229224	0.646879
a87	0.0383221	0.0419322	0.0768776	0.231958	0.610911
</S>	0.105385	0.119503	0.151167	0.237067	0.386877
