 	la	manière	dont	cette	enfant	vomit	il	a	certainement	des	ascaris	</S>
a66	0.401463	0.220762	0.0971834	0.0681813	0.0666406	0.0332578	0.0224838	0.0173567	0.0142835	0.0182467	0.0214166	0.0187241
a87	0.268066	0.188168	0.157214	0.121042	0.0902365	0.0430312	0.0327312	0.0240064	0.0177202	0.0181869	0.0218823	0.0177152
a23	0.405661	0.32147	0.128868	0.0509689	0.0283055	0.0132128	0.0114693	0.00879643	0.00614367	0.0064564	0.00891985	0.00972813
a62	0.249385	0.346292	0.155174	0.0528444	0.0297986	0.0171358	0.0184638	0.0216578	0.0238016	0.0242738	0.0305774	0.0305956
a47	0.367494	0.228288	0.085158	0.0554618	0.0462734	0.0350914	0.0293919	0.028882	0.0283689	0.0322429	0.0362539	0.0270944
a61	0.222771	0.277919	0.175008	0.0917543	0.067399	0.0280934	0.0299484	0.0296109	0.0169936	0.0202756	0.0230073	0.0172188
a34	0.180303	0.314067	0.239087	0.0952841	0.0584954	0.0276343	0.0244411	0.0199182	0.010076	0.0107946	0.00973454	0.010165
a96	0.192567	0.2941	0.221621	0.0990965	0.0668408	0.036042	0.0284687	0.0205162	0.00977258	0.0102114	0.00924151	0.0115219
a34	0.152166	0.213059	0.194321	0.119861	0.0891296	0.0600872	0.0514896	0.0354884	0.0181644	0.0188032	0.0172762	0.0301545
a21	0.130104	0.165275	0.176248	0.132107	0.110878	0.0838857	0.0655855	0.0400855	0.0215285	0.0208002	0.0195993	0.0339029
a61	0.116131	0.121672	0.156725	0.15471	0.141347	0.0904714	0.0642873	0.0411363	0.0301462	0.0269263	0.0250364	0.0314106
a75	0.0567071	0.0666499	0.102061	0.151122	0.15969	0.133785	0.0937783	0.0650468	0.050536	0.0401766	0.03705	0.0433967
a92	0.0516156	0.0461182	0.0558295	0.111247	0.139747	0.131011	0.120255	0.0891333	0.0749473	0.0602908	0.0542755	0.0655297
a98	0.0201232	0.0166996	0.0195655	0.0489432	0.0776011	0.103434	0.13431	0.12791	0.129623	0.104724	0.0946465	0.122419
a85	0.00852694	0.00605998	0.00725876	0.0220015	0.045612	0.0785793	0.117531	0.13964	0.173065	0.137879	0.115512	0.148335
a92	0.00729021	0.00466764	0.00550771	0.0183695	0.0358343	0.059964	0.0881646	0.115885	0.169559	0.161101	0.155608	0.17805
a44	0.00197674	0.00139453	0.00186935	0.0085453	0.0187444	0.040696	0.0643482	0.107509	0.200087	0.19295	0.18956	0.17232
a93	0.00623809	0.00455011	0.00404887	0.00960525	0.0154646	0.0305351	0.0495227	0.0762532	0.126537	0.169779	0.244283	0.263183
a90	0.00257728	0.00171826	0.00160432	0.00461439	0.00852072	0.020629	0.0357644	0.0641194	0.129333	0.172114	0.252516	0.306489
a4	0.000804887	0.000514889	0.00082054	0.00370961	0.00849901	0.0231203	0.0367355	0.0654036	0.148136	0.180497	0.227718	0.304041
a57	0.00254342	0.00107241	0.00124737	0.00486464	0.00989497	0.0227404	0.0388664	0.0587997	0.117742	0.175303	0.236475	0.33045
a3	0.00249239	0.000982455	0.000674843	0.00134136	0.00288618	0.00899346	0.0187515	0.0298147	0.0622156	0.131343	0.286855	0.453649
a97	0.124029	0.0545819	0.0308925	0.0323522	0.0370693	0.0363698	0.0416628	0.0471753	0.0595624	0.100278	0.177387	0.25864
a87	0.284723	0.155295	0.0924542	0.073047	0.0640206	0.0439561	0.0339685	0.0304609	0.0297343	0.0423865	0.06375	0.0862036
a23	0.315231	0.151369	0.0786895	0.0540035	0.0518278	0.0272972	0.0303911	0.0288073	0.0274167	0.0462409	0.0786678	0.110058
a40	0.0526587	0.0324858	0.0254477	0.0344927	0.0477193	0.0348958	0.0479813	0.0620588	0.0943902	0.128882	0.185855	0.253133
