 	il	a	appris	la	nouvelle	hier	</S>
a23	0.38668	0.206671	0.0987799	0.0614802	0.0686144	0.073015	0.104759
a85	0.468293	0.24149	0.0871107	0.0538459	0.0392672	0.0456384	0.0643544
a66	0.385363	0.249958	0.0965988	0.0615476	0.0473887	0.0580315	0.101112
a87	0.389464	0.27349	0.102808	0.0512087	0.0370777	0.0515617	0.0943903
a23	0.276721	0.256692	0.14533	0.0857133	0.0595474	0.0674997	0.108496
a79	0.292813	0.27214	0.146874	0.0684629	0.0516441	0.0610096	0.107055
a20	0.413153	0.293751	0.125239	0.058568	0.0366783	0.0326022	0.0400086
a30	0.383432	0.298648	0.182106	0.0728582	0.030354	0.0170393	0.0155631
a2	0.370037	0.293324	0.195843	0.0876679	0.0283308	0.0131553	0.0116422
a40	0.238584	0.188283	0.154588	0.16189	0.100495	0.0743083	0.0818519
a30	0.235095	0.222791	0.196175	0.144916	0.0853203	0.0582044	0.0574973
a41	0.243851	0.235583	0.229593	0.168883	0.0684325	0.0307054	0.022952
a26	0.21012	0.223572	0.233202	0.193479	0.075091	0.0354587	0.0290771
a24	0.168842	0.178811	0.196233	0.217266	0.11096	0.0650039	0.0628845
a41	0.145478	0.16013	0.18329	0.231932	0.141617	0.0772294	0.0603234
a37	0.116009	0.114622	0.137786	0.248164	0.166565	0.108949	0.107906
a61	0.0923423	0.0918436	0.116445	0.240967	0.194028	0.137172	0.127202
a75	0.0784382	0.0832377	0.108329	0.217865	0.205035	0.169358	0.137737
a14	0.0488716	0.0454011	0.0565528	0.168227	0.217492	0.232989	0.230467
a2	0.0398096	0.0348136	0.0407711	0.139664	0.238535	0.239911	0.266496
a26	0.0191324	0.0134199	0.0121831	0.0444118	0.144854	0.291776	0.474222
a44	0.0102566	0.00782081	0.0078442	0.0347761	0.123804	0.307669	0.507829
a76	0.0103564	0.00604429	0.0050937	0.0183653	0.0832876	0.290391	0.586462
a73	0.0244417	0.0171977	0.0173607	0.0564351	0.14411	0.30146	0.438994
a84	0.0186744	0.0135869	0.0144178	0.0511577	0.13862	0.291845	0.471697
a57	0.00377354	0.00286457	0.00304073	0.0154395	0.0733851	0.287564	0.613933
a87	0.0042031	0.00273664	0.00286751	0.013216	0.0551994	0.268688	0.653089
</S>	0.00670142	0.00431932	0.00447891	0.02412	0.0967974	0.303388	0.560195
