 	cette	jeune	fille	a	un	niveau	intellectuel	important	</S>
a66	0.150249	0.176167	0.135785	0.147852	0.175156	0.128065	0.0350153	0.0335697	0.0181413
a87	0.359242	0.128686	0.062337	0.0488496	0.0564172	0.111892	0.12198	0.0890165	0.0215796
a97	0.111324	0.0528533	0.0570694	0.0607342	0.111721	0.228892	0.232647	0.0887326	0.056026
a99	0.177851	0.0983778	0.116629	0.0989768	0.137336	0.18152	0.140454	0.0323294	0.0165258
a3	0.255594	0.127499	0.134073	0.100927	0.117004	0.155359	0.0738132	0.0227626	0.0129685
a99	0.259418	0.131345	0.11874	0.100436	0.119333	0.178839	0.067865	0.0155601	0.00846514
a83	0.265462	0.134939	0.113972	0.103214	0.124064	0.178301	0.0580899	0.0144857	0.00747334
a90	0.177059	0.109084	0.112021	0.120636	0.157272	0.21743	0.068412	0.0252672	0.012819
a92	0.190153	0.119612	0.114599	0.124479	0.156125	0.201305	0.0687896	0.0162569	0.00867998
a34	0.0970389	0.0774337	0.0968381	0.126495	0.1652	0.203482	0.143236	0.0575638	0.0327119
a56	0.0721366	0.0664848	0.104509	0.122325	0.164864	0.190165	0.1759	0.0609431	0.0426728
a90	0.0617955	0.0732164	0.119627	0.137473	0.170344	0.164671	0.145954	0.0724252	0.054493
a92	0.052623	0.0767006	0.138835	0.155993	0.178002	0.151545	0.10448	0.0802487	0.0615732
a21	0.0635759	0.087927	0.129861	0.129185	0.123187	0.0903745	0.103622	0.16119	0.111077
a47	0.0455457	0.0641473	0.0917229	0.0903914	0.0894536	0.0742412	0.123117	0.240144	0.181237
a96	0.0444784	0.0661348	0.0849954	0.0877522	0.0784212	0.0721631	0.111914	0.246049	0.208092
a34	0.0132632	0.0218719	0.0359618	0.041233	0.0428159	0.0493209	0.0993137	0.340265	0.355955
a70	0.00562997	0.00802305	0.0134692	0.0164124	0.0182567	0.0240058	0.0561298	0.338005	0.520068
a21	0.00314075	0.00389945	0.00669413	0.0088286	0.0114329	0.0157417	0.0375757	0.301008	0.611679
a61	0.00111201	0.00134229	0.00218799	0.00327952	0.00542546	0.00717246	0.0222409	0.236671	0.720568
a21	0.000573381	0.000704501	0.00123274	0.00207731	0.00406544	0.00657435	0.0194899	0.19708	0.768202
a12	0.000769279	0.000896489	0.00116684	0.00197076	0.0040796	0.00690159	0.0190565	0.184291	0.780868
a43	0.000629493	0.000711501	0.000919594	0.00137684	0.00258926	0.00437375	0.015074	0.146003	0.828322
a11	0.000399038	0.000439304	0.000549799	0.000896833	0.00166039	0.00271187	0.00969093	0.129468	0.854183
a18	0.00221241	0.00241274	0.00256524	0.00390367	0.00562536	0.00905279	0.0263511	0.184247	0.76363
a71	0.00789282	0.0070787	0.00692323	0.0090494	0.0111233	0.0208875	0.0593507	0.245634	0.63206
a3	0.0891337	0.0550754	0.0416639	0.0437827	0.0411907	0.0716723	0.0918018	0.202874	0.362806
a99	0.144943	0.0850067	0.0732157	0.0664679	0.062855	0.0762974	0.0898807	0.149966	0.251367
a3	0.139184	0.0757283	0.0581568	0.0462738	0.037695	0.0399603	0.0469175	0.160423	0.395662
a99	0.0820978	0.0517754	0.0507027	0.0481978	0.0488408	0.0471123	0.0517317	0.201919	0.417623
</S>	0.021512	0.0152591	0.0149211	0.0139249	0.0129112	0.0126598	0.0314374	0.188044	0.689331
