 	il	a	bien	avancé	son	travail	</S>
a23	0.21463	0.135025	0.094159	0.118962	0.104653	0.134314	0.198257
a30	0.231312	0.151398	0.14295	0.1504	0.0961764	0.0910176	0.136746
a53	0.187685	0.174963	0.150365	0.14683	0.0763641	0.0907642	0.17303
a54	0.560483	0.216062	0.106358	0.0514293	0.0284096	0.0204239	0.016834
a14	0.525352	0.204002	0.128213	0.0615345	0.0368922	0.0244275	0.0195788
a35	0.362922	0.240986	0.190917	0.0994295	0.0541724	0.0297765	0.0217966
a62	0.28615	0.221154	0.197364	0.128654	0.0827462	0.0481795	0.0357525
a24	0.262848	0.215963	0.217548	0.136635	0.0770539	0.0474729	0.0424797
a43	0.200526	0.234437	0.254248	0.156329	0.076107	0.0421702	0.036183
a0	0.15769	0.21865	0.270288	0.172749	0.089835	0.0486413	0.0421467
a75	0.121312	0.191075	0.260658	0.19368	0.116384	0.0638871	0.053004
a76	0.0904401	0.125678	0.165394	0.172343	0.164343	0.155936	0.125866
a90	0.088841	0.124725	0.154595	0.182498	0.161633	0.157459	0.130249
a98	0.111382	0.131121	0.163985	0.209895	0.145047	0.126021	0.112549
a14	0.0606418	0.0821545	0.101531	0.171041	0.164028	0.201272	0.219332
a35	0.0594527	0.0929403	0.107583	0.199893	0.147401	0.183612	0.209119
a75	0.0764475	0.0906638	0.098644	0.162432	0.150104	0.193573	0.228135
a35	0.0462494	0.0644008	0.0727944	0.131264	0.14347	0.223859	0.317962
a43	0.0680471	0.0828223	0.0852744	0.142759	0.141303	0.202787	0.277007
a75	0.0661373	0.0752702	0.0748342	0.132853	0.165511	0.216874	0.26852
a41	0.0656206	0.078401	0.0821689	0.126342	0.135478	0.204399	0.30759
a35	0.0449419	0.0607128	0.0642936	0.119126	0.140627	0.221933	0.348366
a56	0.0577454	0.068249	0.0728256	0.118512	0.134172	0.21718	0.331316
a62	0.0607701	0.0701452	0.0707784	0.115584	0.12816	0.213221	0.341341
a24	0.0418042	0.0443481	0.0444879	0.0735135	0.11948	0.2578	0.418566
a83	0.0199468	0.0241635	0.0233443	0.0435393	0.083031	0.249176	0.5568
a9	0.0302041	0.0358589	0.0362271	0.0553955	0.0836381	0.23051	0.528166
a87	0.0116555	0.0175838	0.0175589	0.0411215	0.0596327	0.214268	0.63818
a23	0.00425291	0.00538484	0.0054275	0.0205927	0.0487976	0.248227	0.667318
a83	0.00399968	0.00328701	0.0024794	0.00937395	0.0557867	0.299129	0.625945
a75	0.0103536	0.0102045	0.00909786	0.0196859	0.0716372	0.260888	0.618133
a14	0.0197675	0.0216679	0.0213717	0.0293489	0.0792383	0.258275	0.570331
a44	0.0168606	0.0194979	0.0198607	0.028714	0.0658165	0.248416	0.600834
a34	0.0160808	0.0183054	0.0175512	0.02639	0.05552	0.219432	0.64672
a75	0.0100965	0.0113685	0.0117579	0.0195953	0.0626195	0.241225	0.643337
a56	0.0228448	0.0279865	0.0283985	0.0408156	0.0938885	0.260973	0.525093
a90	0.0191956	0.0227556	0.0223653	0.03156	0.063577	0.210368	0.630178
a56	0.00764455	0.0106437	0.0105379	0.0189942	0.0620425	0.235454	0.654684
a70	0.00871757	0.010296	0.00958586	0.0167667	0.0505858	0.209299	0.69475
a11	0.0043707	0.00589072	0.00506492	0.0109876	0.0470991	0.226018	0.700569
a75	0.00440985	0.00527414	0.00368579	0.00871615	0.0489974	0.236494	0.692423
a25	0.00949579	0.0122491	0.00898799	0.0179147	0.0653399	0.216728	0.669285
a56	0.00628023	0.0101891	0.00914821	0.0186071	0.0517454	0.207599	0.696431
a62	0.00603327	0.007689	0.00578795	0.0135298	0.0585344	0.240356	0.66807
a34	0.00670683	0.00889741	0.00595209	0.0113845	0.0408969	0.19216	0.734002
a56	0.00702732	0.00817071	0.0059974	0.0124052	0.0563264	0.241095	0.668978
a90	0.00482632	0.00604914	0.003881	0.00805261	0.0429783	0.214956	0.719257
a69	0.002936	0.00476632	0.00338814	0.0083248	0.0424576	0.1971	0.741027
a4	0.00151755	0.00318872	0.0025646	0.00809725	0.0294638	0.164078	0.79109
a57	0.00282132	0.00417477	0.00297149	0.00648819	0.0246084	0.172758	0.786177
a82	0.00650496	0.00896866	0.00591952	0.0173402	0.0585316	0.222349	0.680386
a87	0.0116214	0.0165095	0.00985201	0.0415075	0.0675506	0.204657	0.648302
</S>	0.0351922	0.0409255	0.0184127	0.0549067	0.0656186	0.18597	0.598974
