 	il	pleut	vers	le	marché	</S>
a66	0.335025	0.311541	0.179393	0.0911198	0.0508208	0.0321003
a87	0.384896	0.257879	0.144372	0.0973972	0.0652217	0.0502335
a23	0.506168	0.267962	0.0900344	0.0595628	0.0411793	0.0350941
a18	0.401353	0.246878	0.112714	0.0867298	0.070558	0.0817672
a83	0.209856	0.269466	0.169257	0.143733	0.101183	0.106505
a53	0.262475	0.278265	0.158278	0.142286	0.0867443	0.0719522
a15	0.209274	0.232787	0.192032	0.189141	0.110185	0.066581
a47	0.186287	0.232458	0.180377	0.172752	0.138511	0.0896142
a6	0.14332	0.157225	0.140558	0.179398	0.19983	0.179669
a37	0.166347	0.140604	0.132119	0.193356	0.201745	0.165829
a79	0.206501	0.146564	0.122811	0.149285	0.189512	0.185326
a7	0.116888	0.0874797	0.128426	0.184579	0.240295	0.242332
a54	0.0564184	0.046388	0.0997066	0.165925	0.270905	0.360657
a47	0.0602572	0.0588225	0.130741	0.163452	0.254533	0.332194
a85	0.0147557	0.0115264	0.0418866	0.0889472	0.249962	0.592922
a6	0.00969659	0.0090434	0.0430393	0.0867366	0.253922	0.597563
a85	0.0111255	0.00914504	0.042672	0.075086	0.228825	0.633146
a37	0.0117733	0.0100256	0.0415565	0.0754071	0.230566	0.630672
a61	0.01921	0.0201668	0.0519272	0.086307	0.216147	0.606242
a18	0.0135235	0.016785	0.046946	0.0889905	0.239733	0.594022
a71	0.0490441	0.0329768	0.0638412	0.0882017	0.21776	0.548177
a3	0.155252	0.0671088	0.0747846	0.0861959	0.186784	0.429875
a87	0.555032	0.129082	0.0797418	0.0595167	0.0767344	0.099893
a23	0.46296	0.171925	0.104418	0.0770338	0.0851621	0.0985018
a87	0.253339	0.119926	0.108691	0.106765	0.1663	0.24498
</S>	0.0637672	0.0459161	0.0701322	0.122313	0.248697	0.449175
