 	l'	aigle	plane	</S>
a23	0.452737	0.313564	0.134447	0.0992523
a83	0.359123	0.267465	0.190319	0.183093
a13	0.656431	0.233546	0.065357	0.0446658
a38	0.706292	0.202576	0.0557138	0.0354185
a41	0.624437	0.238589	0.0834651	0.0535085
a35	0.624719	0.246073	0.0836894	0.0455192
a66	0.592871	0.261918	0.0952293	0.0499822
a35	0.448096	0.281687	0.15571	0.114507
a41	0.484093	0.279246	0.145199	0.0914627
a35	0.405697	0.297757	0.176274	0.120272
a30	0.32821	0.306252	0.20207	0.163468
a14	0.400678	0.308555	0.167675	0.123092
a2	0.260725	0.29821	0.221964	0.219101
a57	0.121405	0.193176	0.259773	0.425646
a75	0.063785	0.150372	0.271935	0.513908
a41	0.0403388	0.0724982	0.239292	0.647871
a94	0.0509589	0.0847293	0.259295	0.605017
a25	0.0312799	0.0743321	0.226682	0.667706
a87	0.0347122	0.0900731	0.225182	0.650033
</S>	0.0260011	0.0413576	0.197549	0.735092
