 	onduma	découpe	les	feuilles	sauvages	koko	</S>
a66	0.360088	0.238632	0.163227	0.105966	0.0570242	0.0429837	0.03208
a87	0.380808	0.225526	0.145969	0.0877674	0.0460093	0.0561966	0.0577246
a23	0.356214	0.182468	0.119305	0.0857324	0.0628824	0.0913414	0.102056
a79	0.36217	0.169949	0.111959	0.0818211	0.0663086	0.0850563	0.122736
a13	0.29233	0.208518	0.165549	0.101903	0.0670384	0.0741232	0.0905385
a4	0.260649	0.244582	0.208716	0.115972	0.0595293	0.0531934	0.0573588
a70	0.167121	0.201424	0.219792	0.192777	0.108479	0.0649125	0.0454944
a54	0.124931	0.183651	0.188927	0.176809	0.128354	0.108486	0.0888429
a6	0.111756	0.133773	0.155678	0.181631	0.160733	0.129898	0.126532
a92	0.109531	0.128369	0.138361	0.162253	0.155177	0.145327	0.160982
a85	0.158165	0.143831	0.119067	0.135033	0.138696	0.149038	0.156169
a6	0.208174	0.187275	0.147891	0.149276	0.117395	0.0993158	0.0906746
a0	0.22536	0.173714	0.139784	0.140244	0.118387	0.103886	0.0986252
a21	0.157763	0.130519	0.110934	0.116277	0.131622	0.155861	0.197024
a96	0.0639442	0.0664471	0.081418	0.110811	0.155437	0.217078	0.304865
a18	0.0281386	0.0329129	0.0438582	0.0703516	0.169629	0.270856	0.384255
a13	0.025206	0.0224569	0.0188199	0.0296556	0.117025	0.254717	0.53212
a71	0.0243079	0.018342	0.0151802	0.0274772	0.104109	0.253406	0.557177
a13	0.0757263	0.0698388	0.0553813	0.0630054	0.13661	0.234952	0.364486
a99	0.0624313	0.0551431	0.0528799	0.0731074	0.160956	0.244053	0.351429
a87	0.131123	0.089195	0.0771991	0.0879164	0.149596	0.202714	0.262256
a23	0.347741	0.199499	0.113249	0.0774129	0.0778698	0.0877435	0.0964841
a99	0.126561	0.0627539	0.0551904	0.0631904	0.104008	0.198093	0.390204
a97	0.0522605	0.0298405	0.0362138	0.0517998	0.112646	0.235834	0.481406
a9	0.0315665	0.0150693	0.0184469	0.0300015	0.0811223	0.223119	0.600674
a3	0.134795	0.0691222	0.0579811	0.0590573	0.0909637	0.180744	0.407336
</S>	0.230358	0.135614	0.102877	0.0854526	0.0900284	0.126262	0.229407
