 	c'	est	un	travail	bien	fait	</S>
a23	0.443983	0.249427	0.131645	0.0590264	0.0372616	0.038752	0.0399058
a85	0.392564	0.25656	0.159471	0.100006	0.0377263	0.0260711	0.0276018
a87	0.326711	0.260005	0.173744	0.0808783	0.0397855	0.0441856	0.0746907
a23	0.312769	0.253137	0.20125	0.0983993	0.0406123	0.0371112	0.0567208
a79	0.283249	0.199472	0.175209	0.103786	0.0603404	0.066136	0.111807
a56	0.363592	0.281	0.189071	0.0811644	0.0305889	0.023486	0.0310968
a66	0.290833	0.276691	0.259124	0.127815	0.0259913	0.0113642	0.00818096
a61	0.231783	0.249039	0.263788	0.150959	0.0506482	0.0288557	0.0249266
a24	0.225201	0.233649	0.246687	0.148319	0.0722596	0.0425297	0.0313549
a12	0.212411	0.226098	0.207327	0.135441	0.0940006	0.0707832	0.0539385
a56	0.177127	0.192903	0.1956	0.14403	0.122889	0.100462	0.0669896
a32	0.115453	0.123254	0.170461	0.174708	0.1816	0.139731	0.0947931
a75	0.0864652	0.0839914	0.106538	0.124773	0.206186	0.224767	0.16728
a73	0.0627214	0.0542662	0.0705035	0.105693	0.25067	0.264815	0.19133
a94	0.0306224	0.0292347	0.0449192	0.0886159	0.263128	0.313775	0.229705
a12	0.021525	0.0160636	0.0211077	0.0414891	0.221243	0.364374	0.314198
a24	0.0132923	0.0106483	0.0137035	0.0314909	0.175898	0.350871	0.404096
a71	0.00608052	0.00452013	0.00558279	0.0155918	0.117442	0.317396	0.533387
a9	0.0135577	0.00821624	0.00808267	0.0122498	0.076663	0.26165	0.61958
a38	0.00717432	0.00457216	0.00516076	0.00995988	0.0567855	0.234364	0.681984
a21	0.00556275	0.00321269	0.00325387	0.00738022	0.0421578	0.184107	0.754325
a41	0.00566464	0.00453786	0.00590301	0.0131753	0.0633731	0.210455	0.696891
a18	0.00577099	0.00416855	0.00653272	0.016711	0.0969579	0.263319	0.60654
a25	0.00231357	0.00138218	0.00167937	0.00417964	0.0417859	0.199066	0.749594
a87	0.00344364	0.00237748	0.00304336	0.00780083	0.0419634	0.171308	0.770063
</S>	0.00556555	0.00445258	0.00557494	0.013882	0.0696617	0.223963	0.6769
