 	ne	faites	pas	pleurer	mon	enfant	</S>
a66	0.317636	0.229166	0.166393	0.152179	0.0643514	0.0415342	0.0287403
a87	0.174086	0.153277	0.165566	0.224285	0.143466	0.083135	0.0561853
a97	0.250635	0.294327	0.175464	0.170143	0.0611297	0.0286851	0.0196163
a3	0.279849	0.323642	0.203702	0.141426	0.0275932	0.0130737	0.0107139
a97	0.288339	0.344302	0.195218	0.117886	0.0273693	0.0146952	0.0121903
a3	0.270273	0.347448	0.21258	0.131392	0.0204373	0.00986447	0.00800446
a30	0.256397	0.346628	0.218413	0.143843	0.0194855	0.00850277	0.00673088
a93	0.259852	0.360498	0.213817	0.140649	0.0146317	0.00606992	0.00448284
a34	0.321262	0.325879	0.199788	0.104807	0.0203461	0.0147059	0.0132114
a21	0.320375	0.320897	0.208189	0.0996944	0.0213685	0.0147684	0.0147081
a47	0.308598	0.261326	0.23099	0.127798	0.0294006	0.0210611	0.0208266
a31	0.224264	0.25492	0.249357	0.141656	0.0506899	0.0398863	0.0392266
a75	0.202678	0.197413	0.235532	0.151544	0.0757852	0.0699319	0.0671166
a92	0.141652	0.142764	0.209602	0.167178	0.115665	0.115827	0.107311
a98	0.0888745	0.0936766	0.171103	0.182688	0.156302	0.154706	0.15265
a92	0.0764485	0.0818117	0.148644	0.175104	0.169748	0.161833	0.18641
a85	0.0259812	0.0297773	0.0630831	0.0825484	0.175844	0.275604	0.347162
a6	0.00888361	0.0096033	0.022697	0.0430669	0.157594	0.317132	0.441023
a36	0.00403608	0.0040618	0.0089336	0.0197219	0.0930314	0.280289	0.589926
a54	0.00205893	0.00216538	0.00373493	0.00833595	0.074319	0.272123	0.637263
a47	0.00227981	0.00260036	0.00384993	0.00886107	0.061895	0.244701	0.675813
a36	0.00100866	0.00087495	0.00195137	0.00656422	0.0663006	0.259449	0.663851
a2	0.00568568	0.00864158	0.0129641	0.0285416	0.102628	0.27986	0.561679
a57	0.0551064	0.0697514	0.0659366	0.0694918	0.127374	0.242213	0.370128
a97	0.147396	0.170597	0.112189	0.0964731	0.097497	0.144439	0.231409
a3	0.157541	0.143845	0.112729	0.119644	0.135173	0.157261	0.173807
a97	0.109604	0.0994444	0.0806486	0.0985768	0.169146	0.216836	0.225744
</S>	0.081068	0.0752205	0.0626908	0.0878144	0.174469	0.239213	0.279525
