 	je	m'	en	vais	chercher	le	notable	car	on	a	besoin	de	lui	à	la	veillée	mortuaire	</S>
a66	0.0966249	0.0958068	0.102604	0.0701038	0.0718181	0.0763668	0.0794014	0.0766854	0.0584721	0.0626305	0.0511304	0.0430312	0.0373687	0.0337194	0.0239989	0.00891921	0.00613623	0.00518171
a87	0.351631	0.21565	0.105514	0.0449253	0.0227511	0.0239	0.0182804	0.0237689	0.0226018	0.0314253	0.0291864	0.0246896	0.022203	0.0209338	0.0158789	0.0106201	0.00901109	0.00702886
a10	0.301018	0.184399	0.112461	0.063815	0.0436643	0.0466796	0.0455035	0.04445	0.0257522	0.0268965	0.0222421	0.017221	0.0146035	0.0144336	0.0147709	0.0086104	0.00654666	0.00693248
a87	0.241837	0.155392	0.101229	0.0605134	0.0361947	0.0413067	0.0538858	0.0520932	0.0320353	0.0375205	0.0337955	0.032642	0.0338039	0.0349157	0.026945	0.0105724	0.00744826	0.00786909
a99	0.220172	0.1559	0.102779	0.0611342	0.0341601	0.0384338	0.0443574	0.0476799	0.0358218	0.0424974	0.0400839	0.0379136	0.0386115	0.0393553	0.031626	0.0131683	0.00809158	0.00821379
a83	0.256537	0.137783	0.0794383	0.0476587	0.0282351	0.0323439	0.036521	0.0456202	0.0445835	0.048712	0.0478622	0.0422335	0.0402212	0.0380415	0.0349179	0.0164798	0.0110556	0.0117559
a50	0.22975	0.100028	0.0763627	0.0715621	0.0615322	0.0554467	0.0427114	0.0427681	0.0431404	0.0409132	0.0384415	0.0336368	0.0319317	0.0289718	0.0371507	0.0307591	0.0173934	0.0175008
a83	0.234571	0.13834	0.11356	0.111643	0.0655994	0.0496664	0.0365746	0.0331747	0.032454	0.027505	0.024363	0.0196086	0.0182862	0.0159223	0.0247986	0.0266994	0.0141544	0.0130787
a50	0.157219	0.12534	0.106828	0.112705	0.0707049	0.0565581	0.0527715	0.0475228	0.0407406	0.0333694	0.0288154	0.0229146	0.0211151	0.0188152	0.0275883	0.0376164	0.0202683	0.0191064
a93	0.0855573	0.0945039	0.0883852	0.114412	0.0867559	0.0734268	0.0783363	0.0690631	0.0517546	0.0411073	0.0354439	0.0282844	0.0249016	0.0230867	0.0245583	0.0357419	0.0226144	0.0220668
